run_id,polymer_id,heat_min,n,mean_abs_activity,std_abs_activity,sem_abs_activity,mean_REA_percent,std_REA_percent,sem_REA_percent
260203-1,GOx,0.0,1,4.99025974025974,,,100.0,,
260203-1,GOx,5.0,1,4.252207792207793,,,85.21014964216008,,
260203-1,GOx,10.0,1,3.505584415584415,,,70.24853610930384,,
260203-1,GOx,15.0,1,2.4974891774891774,,,50.04727824766862,,
260203-1,GOx,20.0,1,1.4922510822510822,,,29.903274777705487,,
260203-1,GOx,40.0,1,0.7614035087719296,,,15.257793149105682,,
260203-1,GOx,60.0,1,0.23012987012987024,,,4.6115810019518575,,
260203-1,PMBTA-1,0.0,1,4.533073593073594,,,100.0,,
260203-1,PMBTA-1,5.0,1,3.804761904761906,,,83.93338044578567,,
260203-1,PMBTA-1,10.0,1,3.4284848484848496,,,75.632675668965,,
260203-1,PMBTA-1,15.0,1,2.236883116883117,,,49.34583723284375,,
260203-1,PMBTA-1,20.0,1,1.37622549019608,,,30.35965470092771,,
260203-1,PMBTA-1,40.0,1,0.6460651629072691,,,14.252254009165839,,
260203-1,PMBTA-2,0.0,1,5.000088511240927,,,100.0,,
260203-1,PMBTA-2,5.0,1,4.256033613445378,,,85.1191654683151,,
260203-1,PMBTA-2,10.0,1,3.4861512605042013,,,69.72179097763622,,
260203-1,PMBTA-2,15.0,1,2.505553026854801,,,50.110173474368565,,
260203-1,PMBTA-2,20.0,1,1.489836302675694,,,29.79619859381139,,
260203-1,PMBTA-2,40.0,1,0.7520800141617991,,,15.04133401780816,,
260203-1,PMBTA-2,60.0,1,0.2608957337581879,,,5.217822307978275,,
260203-1,PMBTA-3,0.0,1,11.823333333333332,,,100.0,,
260203-1,PMBTA-3,5.0,1,9.836190476190469,,,83.1930403963107,,
260203-1,PMBTA-3,10.0,1,8.180952380952384,,,69.19328204921668,,
260203-1,PMBTA-3,15.0,1,5.880555555555553,,,49.73686683582368,,
260203-1,PMBTA-3,20.0,1,3.8293939393939396,,,32.38844606197299,,
260203-1,PMBTA-3,40.0,1,2.1206060606060633,,,17.935771586744263,,
260203-1,PMBTA-3,60.0,1,0.7266233766233771,,,6.145672765351371,,
260203-1,PMBTA-4,0.0,1,3.9935457516339867,,,100.0,,
260203-1,PMBTA-4,5.0,1,3.4160130718954256,,,85.53834823346497,,
260203-1,PMBTA-4,10.0,1,2.7915032679738565,,,69.9003702870236,,
260203-1,PMBTA-4,15.0,1,1.9789215686274508,,,49.5529960516356,,
260203-1,PMBTA-4,20.0,1,1.1919117647058828,,,29.845952415048803,,
260203-1,PMBTA-4,40.0,1,0.6801587301587302,,,17.031449555334092,,
260203-1,PMBTA-4,60.0,1,0.21876456876456946,,,5.477953236796158,,
260203-1,PMBTA-5,0.0,1,2.958787878787879,,,99.99999999999999,,
260203-1,PMBTA-5,5.0,1,2.5925252525252533,,,87.62119349993175,,
260203-1,PMBTA-5,10.0,1,2.08909090909091,,,70.6063088897993,,
260203-1,PMBTA-5,15.0,1,1.5143434343434345,,,51.18120988665847,,
260203-1,PMBTA-5,20.0,1,0.8866666666666663,,,29.967226546497322,,
260203-1,PMBTA-5,40.0,1,0.3993939393939387,,,13.498566161409233,,
260203-1,PMBTA-5,60.0,1,0.19999999999999737,,,6.759524784924122,,
260203-1,PMPC,0.0,1,2.0607142857142886,,,100.0,,
260203-1,PMPC,5.0,1,1.666666666666669,,,80.87810514153668,,
260203-1,PMPC,10.0,1,1.480952380952384,,,71.86597342576549,,
260203-1,PMPC,15.0,1,0.8476190476190477,,,41.13229347198146,,
260203-1,PMPC,20.0,1,0.5630952380952399,,,27.325245522819227,,
260203-1,PMPC,40.0,1,0.37023809523809537,,,17.966493356441347,,
260203-1,PMTAC,0.0,1,0.7496031746031758,,,100.0,,
260203-1,PMTAC,5.0,1,1.128571428571431,,,150.55584965590268,,
260203-1,PMTAC,10.0,1,0.6628205128205127,,,88.42285295435094,,
260203-1,PMTAC,15.0,1,0.95333333333333,,,127.17840127051285,,
260203-1,PMBTA-6,0.0,1,12.196666666666662,,,100.00000000000001,,
260203-1,PMBTA-6,5.0,1,9.015238095238088,,,73.91558973958533,,
260203-1,PMBTA-6,10.0,1,6.741666666666672,,,55.27466520907358,,
260203-1,PMBTA-6,15.0,1,5.262698412698414,,,43.14866148700533,,
260203-1,PMBTA-6,20.0,1,3.426666666666667,,,28.095107952992638,,
260203-1,PMBTA-6,40.0,1,2.1796969696969706,,,17.871251459663608,,
260203-1,PMBTA-6,60.0,1,1.1136363636363642,,,9.130661631344886,,
260203-1,PMBTA-7,0.0,1,11.659999999999997,,,99.99999999999999,,
260203-1,PMBTA-7,5.0,1,8.87523809523809,,,76.11696479621006,,
260203-1,PMBTA-7,10.0,1,7.687619047619043,,,65.93155272400553,,
260203-1,PMBTA-7,15.0,1,4.804761904761906,,,41.2072204525035,,
260203-1,PMBTA-7,20.0,1,3.2488888888888905,,,27.86354107108826,,
260203-1,PMBTA-7,40.0,1,2.1748484848484857,,,18.652216851187703,,
260203-1,PMBTA-7,60.0,1,1.2330303030303047,,,10.574873953947728,,
260203-1,PMBTA-8,0.0,1,12.479999999999999,,,99.99999999999999,,
260203-1,PMBTA-8,5.0,1,8.959047619047613,,,71.7872405372405,,
260203-1,PMBTA-8,10.0,1,6.8178571428571475,,,54.63026556776561,,
260203-1,PMBTA-8,15.0,1,5.248015873015874,,,42.05140923890926,,
260203-1,PMBTA-8,20.0,1,3.1717171717171735,,,25.414400414400433,,
260203-1,PMBTA-8,40.0,1,2.039090909090909,,,16.338869463869464,,
260203-1,PMBTA-8,60.0,1,1.1730303030303033,,,9.399281274281277,,
260203-1,PMBTA-9,0.0,1,12.066666666666665,,,100.0,,
260203-1,PMBTA-9,5.0,1,10.36333333333333,,,85.88397790055248,,
260203-1,PMBTA-9,10.0,1,6.821428571428576,,,56.53117600631417,,
260203-1,PMBTA-9,15.0,1,4.552777777777777,,,37.73020257826888,,
260203-1,PMBTA-9,20.0,1,3.648282828282829,,,30.234388079691957,,
260203-1,PMBTA-9,40.0,1,1.973030303030303,,,16.351079859367154,,
260203-1,PMBTA-9,60.0,1,1.1715151515151527,,,9.708689100954306,,
260203-1,PMBTA-10,0.0,1,11.033333333333326,,,100.0,,
260203-1,PMBTA-10,5.0,1,9.253333333333329,,,83.86706948640484,,
260203-1,PMBTA-10,10.0,1,6.148809523809527,,,55.729391454467056,,
260203-1,PMBTA-10,15.0,1,5.075396825396829,,,46.00057545676887,,
260203-1,PMBTA-10,20.0,1,3.458333333333332,,,31.34441087613294,,
260203-1,PMBTA-10,40.0,1,2.01909090909091,,,18.299917605053576,,
260203-1,PMBTA-10,60.0,1,1.0237343358395987,,,9.278558935102108,,
260203-1,PMBTA-11,0.0,1,13.063333333333329,,,99.99999999999999,,
260203-1,PMBTA-11,5.0,1,8.713333333333328,,,66.70068895126306,,
260203-1,PMBTA-11,10.0,1,6.048412698412702,,,46.30068409093675,,
260203-1,PMBTA-11,15.0,1,5.451190476190479,,,41.728939598294055,,
260203-1,PMBTA-11,20.0,1,3.2614141414141424,,,24.966171023838815,,
260203-1,PMBTA-11,40.0,1,2.1372727272727285,,,16.3608527221694,,
260203-1,PMBTA-11,60.0,1,1.1824242424242428,,,9.051474170126893,,
