plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
plate1,6.0,7183.0,5953.0,4953.0,4032.0,2953.0,2121.0,977.0,6856.0,6047.0,4913.0,4288.0,3259.0,1976.0,1030.0,6508.0,6309.0,5717.0,4170.0,3193.0,2092.0,1230.0,6938.0,5687.0,4940.0,3830.0,3188.0,2094.0,1196.0,6436.0,6298.0,5407.0,4280.0,3497.0,2129.0,1019.0,7384.0,5635.0,5020.0,3873.0,2762.0,1840.0,1224.0,7126.0,6245.0,5277.0,4049.0,3192.0,1987.0,1215.0,6566.0,5601.0,5124.0,3605.0,3000.0,2280.0,1038.0
plate1,36.0,28902.0,24622.0,20491.0,16444.0,11862.0,7406.0,1921.0,26410.0,24460.0,20882.0,17992.0,12321.0,7252.0,1882.0,26099.0,25014.0,23849.0,16878.0,12844.0,7277.0,1685.0,27791.0,22847.0,20844.0,15811.0,13426.0,7295.0,1826.0,25939.0,25705.0,21050.0,17854.0,13677.0,7516.0,1830.0,28651.0,22584.0,20907.0,15396.0,11542.0,7099.0,1710.0,27544.0,24832.0,22137.0,16425.0,13198.0,7513.0,1807.0,26618.0,23121.0,20699.0,15574.0,11680.0,7958.0,2000.0
plate1,66.0,40253.0,35646.0,30890.0,25719.0,19184.0,11993.0,2707.0,36838.0,34985.0,31339.0,27230.0,19922.0,11626.0,2329.0,36596.0,35830.0,35356.0,25775.0,20404.0,11789.0,2629.0,39332.0,33535.0,30933.0,24883.0,21903.0,11652.0,2569.0,36783.0,36790.0,31302.0,27653.0,21860.0,12193.0,2362.0,39668.0,33057.0,31280.0,24456.0,18797.0,11779.0,2404.0,38058.0,35475.0,32628.0,25402.0,21004.0,12349.0,2522.0,38135.0,33603.0,30833.0,23930.0,18729.0,12863.0,2816.0
plate1,96.0,46235.0,42383.0,37721.0,32372.0,24884.0,16254.0,3689.0,42081.0,40987.0,38494.0,34420.0,25746.0,15825.0,3310.0,42245.0,42206.0,42851.0,32196.0,26346.0,16011.0,3147.0,45537.0,40296.0,37442.0,31666.0,28352.0,15675.0,3371.0,42838.0,43580.0,38020.0,34723.0,28343.0,16349.0,3151.0,45218.0,39281.0,38140.0,30722.0,24682.0,15628.0,3408.0,43536.0,42070.0,39209.0,31915.0,27305.0,16540.0,3101.0,44838.0,40042.0,36934.0,29875.0,24475.0,17398.0,3492.0
plate1,126.0,49574.0,46256.0,42279.0,37315.0,29752.0,20013.0,4396.0,45235.0,44610.0,43005.0,39342.0,30340.0,19650.0,3956.0,45261.0,45790.0,47635.0,36776.0,31414.0,19961.0,3859.0,49052.0,44460.0,41666.0,36695.0,33380.0,19323.0,4273.0,46026.0,47644.0,42123.0,39677.0,33253.0,20151.0,3789.0,48038.0,43450.0,42923.0,35844.0,29470.0,19553.0,3835.0,46160.0,45668.0,43538.0,36507.0,32318.0,20709.0,3990.0,48604.0,44123.0,40921.0,34206.0,29135.0,21573.0,4315.0
plate1,156.0,51216.0,48623.0,45255.0,40821.0,33480.0,22976.0,5099.0,46527.0,46695.0,46255.0,42901.0,34130.0,22849.0,4497.0,47154.0,47878.0,50782.0,39922.0,35224.0,23321.0,4667.0,50839.0,47032.0,44450.0,40306.0,37343.0,22447.0,4986.0,47870.0,49750.0,44533.0,43555.0,37415.0,23249.0,4488.0,49519.0,45691.0,45900.0,39430.0,33519.0,22823.0,4395.0,47586.0,47785.0,46356.0,39928.0,36155.0,24031.0,4517.0,50711.0,46368.0,43767.0,37373.0,33357.0,25014.0,4947.0
plate1,186.0,52270.0,50110.0,47123.0,43207.0,36958.0,26219.0,5844.0,47455.0,47793.0,48417.0,45461.0,36976.0,25725.0,4997.0,48234.0,49117.0,52381.0,42156.0,38189.0,26366.0,5083.0,52059.0,48592.0,46323.0,43267.0,40908.0,25241.0,5730.0,48858.0,51059.0,46514.0,46015.0,40798.0,26253.0,4992.0,50219.0,47091.0,47756.0,42204.0,36688.0,25716.0,5211.0,48469.0,49369.0,48099.0,42344.0,39185.0,27434.0,5335.0,52002.0,47884.0,45350.0,39509.0,36505.0,27965.0,5922.0
plate1,216.0,52519.0,51032.0,48490.0,45186.0,39246.0,28782.0,6788.0,48050.0,48364.0,49722.0,47142.0,39281.0,28210.0,5581.0,48796.0,49891.0,53782.0,43809.0,40712.0,28877.0,5829.0,52531.0,49683.0,47568.0,45301.0,43507.0,27954.0,6387.0,49402.0,52033.0,47304.0,48015.0,43320.0,28811.0,5603.0,50434.0,47975.0,49200.0,44276.0,39328.0,28520.0,5863.0,48545.0,49991.0,49339.0,44384.0,41427.0,29851.0,5713.0,52431.0,48740.0,46471.0,41030.0,39076.0,30860.0,6360.0
plate1,246.0,52777.0,51403.0,49293.0,46644.0,41555.0,30931.0,7495.0,48139.0,48742.0,50267.0,48339.0,41303.0,30591.0,6132.0,48942.0,49941.0,54477.0,45160.0,42723.0,31399.0,6474.0,52753.0,50284.0,48327.0,46787.0,45575.0,30049.0,7160.0,49742.0,52241.0,47994.0,49360.0,45519.0,30996.0,6090.0,50897.0,48424.0,49855.0,45813.0,41568.0,30871.0,6557.0,48703.0,50402.0,49809.0,45653.0,43688.0,32416.0,6527.0,52856.0,49050.0,47022.0,42130.0,41409.0,33151.0,7343.0
plate1,276.0,52942.0,51748.0,49983.0,47619.0,43191.0,32865.0,8071.0,48220.0,49013.0,51245.0,49286.0,42561.0,32729.0,6667.0,49137.0,50266.0,55035.0,45833.0,44352.0,33826.0,7124.0,52960.0,50708.0,48805.0,47951.0,47194.0,32166.0,7801.0,49853.0,52642.0,48268.0,50400.0,47244.0,33206.0,6989.0,50991.0,48986.0,50466.0,46909.0,43252.0,32815.0,6982.0,48867.0,50558.0,50270.0,46536.0,44791.0,34706.0,7241.0,53300.0,49350.0,47319.0,42981.0,43181.0,35403.0,7935.0
