plate_id,time_s,well,signal,source_file,row,polymer_id,sample_name
plate1,6.0,A1,268.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,36.0,A1,482.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,66.0,A1,612.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,96.0,A1,804.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,126.0,A1,862.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,156.0,A1,818.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,186.0,A1,816.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,216.0,A1,784.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,246.0,A1,656.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,276.0,A1,636.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,306.0,A1,620.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,336.0,A1,562.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,366.0,A1,554.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,396.0,A1,476.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,426.0,A1,424.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,456.0,A1,424.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,486.0,A1,392.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,516.0,A1,326.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,546.0,A1,332.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,576.0,A1,314.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,606.0,A1,244.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,6.0,A2,164.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,36.0,A2,340.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,66.0,A2,416.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,96.0,A2,466.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,126.0,A2,674.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,156.0,A2,756.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,186.0,A2,752.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,216.0,A2,898.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,246.0,A2,956.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
plate1,276.0,A2,866.0,"251025PMBTA-1,2,3,4,5,PMPC,PMTAC,EtOH1%,GOx.csv",A,GOx,
