select_method_used,count,fraction
initial_positive_ext_tangent,20,0.35714285714285715
initial_positive,11,0.19642857142857142
initial_positive_tangent,8,0.14285714285714285
initial_positive_ext,6,0.10714285714285714
initial_positive_ext_intskip1_tangent,3,0.05357142857142857
initial_positive_ext_intskip1,2,0.03571428571428571
full_range_outlier_skip,2,0.03571428571428571
initial_positive_intskip1_tangent,1,0.017857142857142856
initial_positive_skip2_intskip1_tangent,1,0.017857142857142856
initial_positive_skip1_tangent,1,0.017857142857142856
initial_positive_post_long_ext,1,0.017857142857142856
