run_id,plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
260209-1,plate1,6.0,572.0,603.0,1111.0,1038.0,902.0,393.0,292.0,672.0,793.0,1151.0,1019.0,868.0,397.0,320.0,701.0,606.0,1200.0,967.0,840.0,377.0,290.0,659.0,734.0,982.0,792.0,675.0,295.0,232.0,605.0,717.0,987.0,909.0,657.0,273.0,239.0,1017.0,935.0,1171.0,883.0,697.0,285.0,244.0,1029.0,870.0,1272.0,823.0,709.0,264.0,224.0,616.0,724.0,1167.0,949.0,720.0,307.0,202.0
260209-1,plate1,36.0,1406.0,1202.0,1580.0,1420.0,1183.0,417.0,297.0,1454.0,1499.0,1610.0,1308.0,1100.0,421.0,326.0,1547.0,1042.0,1670.0,1277.0,1070.0,399.0,297.0,1332.0,1354.0,1382.0,1048.0,806.0,312.0,237.0,1170.0,1320.0,1384.0,1223.0,857.0,294.0,245.0,1831.0,1575.0,1618.0,1174.0,901.0,298.0,252.0,1833.0,1471.0,1738.0,1072.0,903.0,275.0,231.0,1096.0,1142.0,1520.0,1236.0,886.0,318.0,205.0
260209-1,plate1,66.0,2132.0,1762.0,2039.0,1792.0,1442.0,440.0,298.0,2201.0,2167.0,2034.0,1607.0,1318.0,431.0,332.0,2381.0,1455.0,2101.0,1602.0,1263.0,412.0,303.0,1991.0,1941.0,1777.0,1305.0,946.0,323.0,242.0,1737.0,1884.0,1750.0,1528.0,1032.0,316.0,246.0,2617.0,2203.0,2044.0,1474.0,1096.0,313.0,259.0,2565.0,2057.0,2199.0,1313.0,1087.0,293.0,232.0,1584.0,1568.0,1810.0,1515.0,1054.0,329.0,206.0
260209-1,plate1,96.0,2819.0,2271.0,2469.0,2126.0,1684.0,460.0,307.0,2923.0,2780.0,2442.0,1994.0,1543.0,449.0,336.0,3111.0,1853.0,2536.0,1847.0,1468.0,419.0,308.0,2604.0,2533.0,2144.0,1537.0,1085.0,333.0,244.0,2268.0,2433.0,2089.0,1821.0,1210.0,329.0,249.0,3318.0,2769.0,2457.0,1761.0,1292.0,322.0,265.0,3273.0,2592.0,2646.0,1547.0,1272.0,302.0,238.0,2009.0,1935.0,2148.0,1733.0,1235.0,337.0,216.0
260209-1,plate1,126.0,3456.0,2763.0,2878.0,2450.0,1940.0,485.0,309.0,3578.0,3359.0,2874.0,2356.0,1745.0,464.0,343.0,3773.0,2252.0,2942.0,2156.0,1661.0,430.0,311.0,3237.0,3086.0,2529.0,1773.0,1215.0,347.0,247.0,2766.0,2925.0,2448.0,2103.0,1380.0,346.0,255.0,4025.0,3344.0,2864.0,2036.0,1482.0,335.0,271.0,3952.0,3153.0,3066.0,1774.0,1458.0,316.0,238.0,2294.0,2188.0,2488.0,1960.0,1391.0,348.0,209.0
260209-1,plate1,156.0,4055.0,3224.0,3239.0,2765.0,2196.0,506.0,313.0,4157.0,3902.0,3272.0,2672.0,1960.0,476.0,349.0,4425.0,2625.0,3318.0,2422.0,1880.0,433.0,312.0,3810.0,3592.0,2865.0,2016.0,1349.0,358.0,248.0,3285.0,3418.0,2767.0,2370.0,1538.0,362.0,260.0,4654.0,3831.0,3230.0,2306.0,1673.0,347.0,274.0,4525.0,3653.0,3461.0,2003.0,1637.0,328.0,246.0,2552.0,2410.0,2828.0,2166.0,1563.0,354.0,213.0
260209-1,plate1,186.0,4627.0,3662.0,3629.0,3077.0,2431.0,520.0,314.0,4749.0,4369.0,3688.0,2908.0,2157.0,490.0,355.0,4970.0,2978.0,3653.0,2732.0,2060.0,446.0,316.0,4390.0,4056.0,3207.0,2265.0,1478.0,370.0,254.0,3725.0,3886.0,3085.0,2649.0,1725.0,370.0,263.0,5236.0,4368.0,3599.0,2564.0,1858.0,363.0,278.0,5115.0,4124.0,3842.0,2233.0,1833.0,340.0,246.0,2783.0,2615.0,3185.0,2435.0,1715.0,359.0,214.0
260209-1,plate1,216.0,5172.0,4102.0,3987.0,3369.0,2680.0,549.0,324.0,5257.0,4872.0,4022.0,3077.0,2347.0,509.0,355.0,5474.0,3307.0,3999.0,2974.0,2251.0,453.0,317.0,4892.0,4510.0,3568.0,2486.0,1606.0,382.0,254.0,4164.0,4328.0,3422.0,2909.0,1907.0,382.0,265.0,5778.0,4826.0,3945.0,2808.0,2039.0,376.0,280.0,5631.0,4562.0,4210.0,2457.0,2013.0,352.0,251.0,3061.0,2856.0,3468.0,2693.0,1883.0,372.0,217.0
260209-1,plate1,246.0,5787.0,4517.0,4353.0,3626.0,2920.0,566.0,330.0,5777.0,5315.0,4333.0,3299.0,2528.0,517.0,361.0,5961.0,3653.0,4310.0,3231.0,2425.0,471.0,320.0,5354.0,4938.0,3866.0,2717.0,1736.0,391.0,258.0,4608.0,4731.0,3721.0,3172.0,2048.0,397.0,270.0,6239.0,5244.0,4283.0,3072.0,2223.0,390.0,285.0,6127.0,4982.0,4550.0,2649.0,2181.0,366.0,258.0,3346.0,3105.0,3784.0,2900.0,2014.0,383.0,217.0
260209-1,plate1,276.0,6323.0,4965.0,4696.0,3976.0,3131.0,585.0,333.0,6270.0,5722.0,4639.0,3468.0,2734.0,534.0,368.0,6416.0,3965.0,4618.0,3368.0,2599.0,489.0,319.0,5802.0,5315.0,4154.0,2947.0,1861.0,406.0,262.0,4986.0,5137.0,4025.0,3405.0,2199.0,410.0,271.0,6740.0,5657.0,4614.0,3324.0,2400.0,402.0,289.0,6602.0,5374.0,4901.0,2864.0,2366.0,378.0,261.0,3634.0,3350.0,4088.0,3139.0,2187.0,386.0,220.0
260209-1,plate1,306.0,6691.0,5374.0,5040.0,4162.0,3372.0,610.0,339.0,6716.0,6171.0,4962.0,3700.0,2884.0,542.0,371.0,6889.0,4291.0,4863.0,3643.0,2762.0,500.0,323.0,6184.0,5705.0,4460.0,3150.0,1988.0,418.0,265.0,5353.0,5478.0,4351.0,3673.0,2377.0,426.0,273.0,7113.0,6048.0,4927.0,3555.0,2578.0,416.0,293.0,6984.0,5744.0,5189.0,3090.0,2527.0,389.0,262.0,3906.0,3588.0,4355.0,3361.0,2336.0,397.0,223.0
260209-1,plate1,336.0,7099.0,5776.0,5334.0,4473.0,3573.0,636.0,339.0,7093.0,6450.0,5252.0,3935.0,3110.0,562.0,374.0,7230.0,4608.0,5192.0,3759.0,2901.0,520.0,323.0,6558.0,6028.0,4752.0,3390.0,2107.0,430.0,265.0,5723.0,5854.0,4625.0,3877.0,2539.0,439.0,278.0,7493.0,6370.0,5219.0,3821.0,2765.0,431.0,297.0,7363.0,6075.0,5532.0,3294.0,2704.0,406.0,266.0,4171.0,3815.0,4655.0,3568.0,2477.0,405.0,224.0
260209-1,plate1,366.0,7441.0,6161.0,5659.0,4710.0,3795.0,650.0,345.0,7494.0,6729.0,5537.0,4166.0,3267.0,577.0,379.0,7542.0,4864.0,5480.0,3951.0,2992.0,529.0,334.0,6799.0,6342.0,4989.0,3569.0,2232.0,441.0,271.0,6113.0,6188.0,4878.0,4136.0,2697.0,452.0,282.0,7829.0,6714.0,5492.0,4021.0,2922.0,443.0,302.0,7667.0,6391.0,5802.0,3495.0,2866.0,418.0,268.0,4416.0,4022.0,4891.0,3794.0,2640.0,415.0,225.0
260209-1,plate1,396.0,7783.0,6469.0,5894.0,4945.0,3989.0,673.0,346.0,7826.0,7067.0,5810.0,4408.0,3435.0,593.0,380.0,7835.0,5187.0,5744.0,4162.0,3227.0,541.0,330.0,7123.0,6648.0,5266.0,3796.0,2345.0,452.0,274.0,6417.0,6491.0,5126.0,4342.0,2865.0,469.0,288.0,8091.0,6997.0,5776.0,4258.0,3110.0,456.0,310.0,7994.0,6731.0,6063.0,3683.0,3034.0,430.0,277.0,4677.0,4250.0,5124.0,4000.0,2783.0,423.0,226.0
260209-1,plate1,426.0,8138.0,6780.0,6173.0,5164.0,4183.0,702.0,355.0,8170.0,7317.0,6095.0,4629.0,3614.0,603.0,388.0,8161.0,5401.0,5933.0,4299.0,3307.0,551.0,335.0,7346.0,6947.0,5526.0,3964.0,2484.0,465.0,278.0,6676.0,6768.0,5349.0,4580.0,3026.0,483.0,289.0,8353.0,7265.0,6061.0,4491.0,3257.0,470.0,313.0,8250.0,6996.0,6310.0,3895.0,3189.0,444.0,279.0,4841.0,4398.0,5427.0,4209.0,2929.0,439.0,234.0
260209-1,plate1,456.0,8404.0,7108.0,6404.0,5366.0,4379.0,712.0,356.0,8502.0,7687.0,6278.0,4796.0,3770.0,617.0,392.0,8349.0,5694.0,6179.0,4553.0,3468.0,564.0,336.0,7541.0,7202.0,5776.0,4172.0,2608.0,477.0,280.0,6979.0,7046.0,5629.0,4803.0,3177.0,494.0,298.0,8600.0,7628.0,6336.0,4672.0,3434.0,483.0,315.0,8491.0,7262.0,6558.0,4096.0,3346.0,456.0,279.0,5060.0,4582.0,5610.0,4364.0,3075.0,439.0,241.0
260209-1,plate1,486.0,8671.0,7386.0,6710.0,5633.0,4580.0,739.0,361.0,8732.0,7907.0,6524.0,5020.0,3948.0,630.0,397.0,8567.0,5937.0,6381.0,4727.0,3661.0,581.0,341.0,7719.0,7407.0,5976.0,4361.0,2706.0,485.0,281.0,7236.0,7283.0,5852.0,5000.0,3317.0,511.0,298.0,8793.0,7788.0,6577.0,4888.0,3580.0,493.0,318.0,8746.0,7499.0,6805.0,4251.0,3486.0,468.0,284.0,5205.0,4701.0,5843.0,4545.0,3203.0,446.0,235.0
260209-1,plate1,516.0,8871.0,7598.0,6876.0,5861.0,4777.0,762.0,367.0,9076.0,8106.0,6813.0,5209.0,4113.0,643.0,399.0,8811.0,6236.0,6579.0,4974.0,3806.0,595.0,343.0,7898.0,7648.0,6224.0,4531.0,2829.0,499.0,286.0,7487.0,7528.0,6088.0,5205.0,3486.0,524.0,303.0,8963.0,8026.0,6787.0,5085.0,3742.0,510.0,323.0,8898.0,7728.0,7059.0,4451.0,3650.0,487.0,287.0,5356.0,4835.0,6084.0,4712.0,3346.0,456.0,235.0
260209-1,plate1,546.0,9185.0,7893.0,7108.0,6048.0,4948.0,781.0,370.0,9224.0,8320.0,6989.0,5407.0,4275.0,662.0,409.0,9018.0,6405.0,6819.0,5153.0,3958.0,610.0,348.0,8009.0,7841.0,6441.0,4706.0,2961.0,516.0,286.0,7736.0,7781.0,6313.0,5421.0,3642.0,543.0,306.0,9048.0,8240.0,7036.0,5312.0,3907.0,519.0,327.0,8943.0,7958.0,7187.0,4600.0,3796.0,499.0,291.0,5473.0,4930.0,6264.0,4937.0,3492.0,468.0,238.0
