select_method_used,count,fraction
initial_positive_promote_long_ext,33,0.3055555555555556
initial_positive,33,0.3055555555555556
initial_positive_tangent,23,0.21296296296296297
initial_positive_ext,10,0.09259259259259259
initial_positive_post_broad_overfit_ext_neighbor_recheck_right,2,0.018518518518518517
initial_positive_promote_long_ext_early_steep_delayed_steep,2,0.018518518518518517
initial_positive_early_steep_delayed_steep,1,0.009259259259259259
outlier_removed,1,0.009259259259259259
initial_positive_promote_long_ext_early_steep_delayed_steep_col1_consensus_t0,1,0.009259259259259259
initial_positive_early_steep_ext,1,0.009259259259259259
last_resort,1,0.009259259259259259
