polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-11,1.1126289004955134,0.8536327745538196,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8723445032878536,1,1,0.0
PMBTA-8,1.0100441944556042,0.8657730447788528,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8657730447788528,2,2,0.0
PMBTA-4,1.0297308155885896,0.8427370985971165,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8427370985971165,3,3,0.0
PMBTA-7,1.1281639212535153,0.7986879954041829,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8205380003567981,4,4,0.0
PMBTA-9,1.0634793089594212,0.8155225270905708,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8193699651276783,5,5,0.0
PMBTA-5,0.9995982322217755,0.8034924355426162,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8028469304989376,6,6,0.0
PMBTA-6,1.0316631272838581,0.759796818775084,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.759796818775084,7,7,0.0
PMBTA-2,0.844975033002353,0.8938563721051337,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.6381980810717572,8,8,0.0
PMBTA-1,1.0799517878666127,0.6075840927854106,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.6139534732357935,9,9,0.0
PMBTA-3,0.7162562895789087,1.179609067687257,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.6051666680902191,10,10,0.0
PMPC,0.6250167403240924,1.130384649091661,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.44158015762492586,11,11,0.0
PMTAC,0.8285263239059948,0.4371540033088563,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.3000869314053365,12,12,0.0
PMBTA-10,0.5710459354493101,0.7600383753542825,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.24784354385088686,13,13,0.0
PMBTA-8,1.0100441944556042,0.8657730447788528,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8657730447788528,1,2,-1.0
PMBTA-11,1.1126289004955134,0.8536327745538196,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8536327745538196,2,1,1.0
PMBTA-4,1.0297308155885896,0.8427370985971165,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8427370985971165,3,3,0.0
