select_method_used,count,fraction
initial_positive_tangent,43,0.38392857142857145
initial_positive_promote_long_ext,32,0.2857142857142857
initial_positive,24,0.21428571428571427
initial_positive_ext,3,0.026785714285714284
initial_positive_promote_long_ext_tangent,2,0.017857142857142856
initial_positive_ext_tangent,1,0.008928571428571428
initial_positive_early_steep_delayed_steep_ext_intskip1,1,0.008928571428571428
initial_positive_post_tangent_under,1,0.008928571428571428
initial_positive_early_steep_tangent,1,0.008928571428571428
initial_positive_promote_long_ext_early_steep_delayed_steep_tangent,1,0.008928571428571428
initial_positive_post_broad_overfit_ext,1,0.008928571428571428
initial_positive_promote_long_ext_intskip1,1,0.008928571428571428
initial_positive_early_steep_delayed_steep,1,0.008928571428571428
