run_id,polymer_id,functional_activity_at_20_rel,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,abs_activity_at_0,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260211-1,PMBTA-10,1.0316489081126698,9.313333333333327,9.027619047619044,same_run_gox,,260211-1,24.053333333333327,32.07333333333333,0.7499480357514029,True,1
260211-1,GOx,1.0,9.027619047619044,9.027619047619044,same_run_gox,,260211-1,32.07333333333333,32.07333333333333,1.0,True,2
260211-1,GOx with DMSO,0.8617997679080073,7.779999999999998,9.027619047619044,same_run_gox,,260211-1,31.076666666666657,32.07333333333333,0.9689253793390146,True,3
260211-1,PMBTA-11,0.8613338256496824,7.775793650793654,9.027619047619044,same_run_gox,,260211-1,27.463333333333328,32.07333333333333,0.8562668883807939,True,4
260211-1,PMBTA-4,0.7688926398705919,6.941269841269845,9.027619047619044,same_run_gox,,260211-1,33.61,32.07333333333333,1.047911037206402,True,5
260211-1,PMPC,0.7135773815803353,6.441904761904758,9.027619047619044,same_run_gox,,260211-1,28.399999999999995,32.07333333333333,0.8854707960922884,True,6
260211-1,PMBTA-6,0.6885395787178681,6.215873015873019,9.027619047619044,same_run_gox,,260211-1,34.463333333333324,32.07333333333333,1.074516732488048,True,7
260211-1,PMBTA-3,0.6358889027419464,5.74056277056277,9.027619047619044,same_run_gox,,260211-1,25.76333333333333,32.07333333333333,0.8032633548118894,True,8
260211-1,PMBTA-9,0.6319855374080505,5.705324675324675,9.027619047619044,same_run_gox,,260211-1,33.00333333333333,32.07333333333333,1.0289960507171065,True,9
260211-1,PMBTA-7,0.5727013781660899,5.170129870129871,9.027619047619044,same_run_gox,,260211-1,32.56666666666666,32.07333333333333,1.0153814175847018,True,10
260211-1,PMBTA-5,0.547574063240273,4.943290043290044,9.027619047619044,same_run_gox,,260211-1,30.48,32.07333333333333,0.9503221783413013,True,11
260211-1,PMBTA-2,0.5342047972072239,4.822597402597403,9.027619047619044,same_run_gox,,260211-1,31.79333333333333,32.07333333333333,0.9912700062357098,True,12
260211-1,PMBTA-8,0.5137480938725799,4.637922077922079,9.027619047619044,same_run_gox,,260211-1,34.76333333333332,32.07333333333333,1.0838702972355017,True,13
260211-1,PMTAC,0.5011077117839432,4.52380952380952,9.027619047619044,same_run_gox,,260211-1,15.13555555555556,32.07333333333333,0.47190466292524097,True,14
260211-1,GOx with EtOH,0.456175852842168,4.118181818181818,9.027619047619044,same_run_gox,,260211-1,28.11,32.07333333333333,0.8764290168364166,True,15
260211-1,PMBTA-1,0.4433724309238606,4.002597402597403,9.027619047619044,same_run_gox,,260211-1,31.21,32.07333333333333,0.9730825192267721,True,16
