run_id,polymer_id,reference_polymer_id,fog,fog_sem,fog_activity_adjusted,fog_activity_adjusted_sem,log_fog,fog_missing_reason,gox_t50_same_run_min,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
260211-2,PMBTA-11,GOX,1.071524111959006,,1.071524111959006,,0.06908203867317866,,13.725580993734107,14.707290985432351,33.443333333333335,32.51666666666666,32.51666666666666,1.0284982060481807,1.0,0,True,1
260211-2,GOx,GOX,1.0,,1.0,,0.0,,13.725580993734107,13.725580993734107,32.51666666666666,32.51666666666666,32.51666666666666,1.0,1.0,0,True,2
260211-2,PMBTA-9,GOX,1.0039162085074396,,0.9733510507497041,,0.003908560124840227,,13.725580993734107,13.77933323079132,31.526666666666657,32.51666666666666,32.51666666666666,0.9695540748334187,0.9695540748334187,0,True,3
260211-2,PMBTA-4,GOX,0.9708517692901263,,0.9708517692901263,,-0.029581480129855692,,13.725580993734107,13.325504592301687,32.773333333333326,32.51666666666666,32.51666666666666,1.0078933880061507,1.0,0,True,4
260211-2,PMBTA-5,GOX,1.0142944196266372,,0.946709450609998,,0.014193217685612436,,13.725580993734107,13.92178020807794,30.349999999999987,32.51666666666666,32.51666666666666,0.9333675038441823,0.9333675038441823,0,True,5
260211-2,PMBTA-6,GOX,0.9243008269244841,,0.9243008269244841,,-0.07871769006235804,,13.725580993734107,12.686565862527418,32.63999999999999,32.51666666666666,32.51666666666666,1.0037929267042542,1.0,0,True,6
260211-2,PMBTA-10,GOX,1.5956638764220237,,0.9166956747768765,,0.4672898731019348,,13.725580993734107,21.90141377460622,18.680555555555564,32.51666666666666,32.51666666666666,0.5744917136511195,0.5744917136511195,0,True,7
260211-2,PMBTA-3,GOX,0.9166490190771217,,0.9166490190771217,,-0.0870306290908175,,13.725580993734107,12.581540354169954,32.56999999999999,32.51666666666666,32.51666666666666,1.0016401845207585,1.0,0,True,8
260211-2,GOx with DMSO,GOX,0.9495204890832505,,0.8924811239778907,,-0.051798170149292416,,13.725580993734107,13.032720378122177,30.563333333333325,32.51666666666666,32.51666666666666,0.9399282419272168,0.9399282419272168,0,True,9
260211-2,PMBTA-8,GOX,0.9056233207140945,,0.8599475981316923,,-0.09913182019286308,,13.725580993734107,12.430206238275742,30.87666666666666,32.51666666666666,32.51666666666666,0.9495643259866736,0.9495643259866736,0,True,10
260211-2,PMBTA-7,GOX,0.8966662532539017,,0.8567735670507042,,-0.10907155610959646,,13.725580993734107,12.307265283384528,31.07,32.51666666666666,32.51666666666666,0.9555099948744236,0.9555099948744236,0,True,11
260211-2,PMPC,GOX,0.8240529780670256,,0.8240529780670256,,-0.1935204573687591,,13.725580993734107,11.310605893586755,35.75666666666666,32.51666666666666,32.51666666666666,1.0996412096360841,1.0,0,True,12
260211-2,PMBTA-1,GOX,0.863715118929397,,0.8127156408665234,,-0.14651228801015984,,13.725580993734107,11.854991820378126,30.59666666666666,32.51666666666666,32.51666666666666,0.940953357252691,0.940953357252691,0,True,13
260211-2,PMBTA-2,GOX,0.8485762107969449,,0.8108230508291466,,-0.16419538007734447,,13.725580993734107,11.647201510649454,31.07,32.51666666666666,32.51666666666666,0.9555099948744236,0.9555099948744236,0,True,14
260211-2,GOx with EtOH,GOX,0.8912660348826307,,0.8052001604736673,,-0.11511231596231357,,13.725580993734107,12.233144148745795,29.37666666666666,32.51666666666666,32.51666666666666,0.9034341363403383,0.9034341363403383,0,True,15
260211-2,PMTAC,GOX,0.6671356421291814,,0.45000025886314843,,-0.4047618922286472,,13.725580993734107,9.156824289850892,21.933333333333326,32.51666666666666,32.51666666666666,0.6745258841619681,0.6745258841619681,0,True,16
