plate_id,time_s,well,signal,source_file,row,polymer_id,sample_name,use_for_bo,include_in_all_polymers,all_polymers_pair,run_id
plate2,6.0,A1,836,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,36.0,A1,1841,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,66.0,A1,2822,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,96.0,A1,3735,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,126.0,A1,4576,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,156.0,A1,5330,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,186.0,A1,5972,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,216.0,A1,6604,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,246.0,A1,7107,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,276.0,A1,7563,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,306.0,A1,7950,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,336.0,A1,8320,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,366.0,A1,8637,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,396.0,A1,8772,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,426.0,A1,8980,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,456.0,A1,8961,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,486.0,A1,8946,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,516.0,A1,8849,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,546.0,A1,8713,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,576.0,A1,8627,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,606.0,A1,8521,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,6.0,A2,768,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,36.0,A2,1676,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,66.0,A2,2576,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,96.0,A2,3405,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,126.0,A2,4192,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,156.0,A2,4823,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,186.0,A2,5469,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,216.0,A2,6024,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,246.0,A2,6529,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,276.0,A2,7001,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,306.0,A2,7336,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,336.0,A2,7723,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,366.0,A2,8023,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,396.0,A2,8252,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,426.0,A2,8446,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,456.0,A2,8663,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,486.0,A2,8675,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,516.0,A2,8581,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,546.0,A2,8516,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
