run_id,plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7
260211-plate7,plate2,6.0,836,768,634,500,377,248,233,680,591,539,432,349,238,235
260211-plate7,plate2,36.0,1841,1676,1319,962,630,291,262,1714,1426,1327,988,736,301,287
260211-plate7,plate2,66.0,2822,2576,1997,1421,883,313,271,2729,2303,2149,1564,1143,330,305
260211-plate7,plate2,96.0,3735,3405,2664,1881,1131,333,281,3681,3119,2896,2134,1544,356,311
260211-plate7,plate2,126.0,4576,4192,3279,2301,1391,354,283,4540,3882,3612,2662,1922,381,318
260211-plate7,plate2,156.0,5330,4823,3858,2701,1620,372,285,5291,4587,4287,3171,2308,399,322
260211-plate7,plate2,186.0,5972,5469,4349,3132,1855,391,294,5950,5205,4869,3650,2641,424,330
260211-plate7,plate2,216.0,6604,6024,4839,3497,2095,406,298,6603,5796,5421,4123,2983,448,333
260211-plate7,plate2,246.0,7107,6529,5294,3867,2326,426,303,7118,6332,5929,4545,3327,474,342
260211-plate7,plate2,276.0,7563,7001,5713,4221,2535,448,308,7576,6788,6371,4921,3639,491,345
260211-plate7,plate2,306.0,7950,7336,6160,4551,2753,459,314,7969,7190,6753,5295,3939,516,353
260211-plate7,plate2,336.0,8320,7723,6523,4834,2984,479,319,8355,7555,7181,5691,4221,537,359
260211-plate7,plate2,366.0,8637,8023,6817,5149,3195,498,323,8668,7882,7486,5991,4494,563,363
260211-plate7,plate2,396.0,8772,8252,7095,5430,3369,514,327,8874,8206,7811,6326,4760,587,369
260211-plate7,plate2,426.0,8980,8446,7433,5669,3560,535,333,9076,8419,8071,6574,5010,613,375
260211-plate7,plate2,456.0,8961,8663,7643,5942,3755,555,336,9161,8610,8271,6852,5219,635,380
260211-plate7,plate2,486.0,8946,8675,7887,6202,3955,569,340,9145,8747,8474,7128,5437,661,384
260211-plate7,plate2,516.0,8849,8581,8079,6414,4139,593,347,9118,8920,8678,7367,5691,681,391
260211-plate7,plate2,546.0,8713,8516,8187,6625,4343,611,353,9084,8922,8872,7553,5869,706,395
260211-plate7,plate2,576.0,8627,8448,8357,6871,4527,629,360,8939,8887,8962,7768,6064,726,402
260211-plate7,plate2,606.0,8521,8361,8474,7049,4672,650,363,8868,8883,8962,7954,6269,753,409
