run_id,polymer_id,reference_polymer_id,fog,fog_sem,fog_activity_adjusted,fog_activity_adjusted_sem,log_fog,fog_missing_reason,gox_t50_same_run_min,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
260216-1,PMTAC,GOX,2.1969550146665897,,1.5413897140927604,,0.7870723173924723,,8.754283497809826,19.232767030326272,14.883333333333336,21.213333333333328,21.213333333333328,0.7016027655562542,0.7016027655562542,0,True,1
260216-1,PMBTA-5,GOX,1.4430485028241895,,1.4321644160649876,,0.3667578917176225,,8.754283497809826,12.632855694812978,21.053333333333327,21.213333333333328,21.213333333333328,0.9924575738529227,0.9924575738529227,0,True,2
260216-1,PMBTA-4,GOX,1.4173261137722475,,1.4173261137722475,,0.34877207803491733,,8.754283497809826,12.407674608811318,27.09666666666666,21.213333333333328,21.213333333333328,1.2773412947831553,1.0,0,True,3
260216-1,PMBTA-6,GOX,1.3811027456143556,,1.3811027456143556,,0.3228822710907594,,8.754283497809826,12.090564974711596,26.98333333333333,21.213333333333328,21.213333333333328,1.2719987429289756,1.0,0,True,4
260216-1,PMPC,GOX,1.3741543179379452,,1.3741543179379452,,0.3178385004032476,,8.754283497809826,12.02973646896827,22.273333333333326,21.213333333333328,21.213333333333328,1.049968573224387,1.0,0,True,5
260216-1,PMBTA-1,GOX,1.292000795915836,,1.292000795915836,,0.2561920213941491,,8.754283497809826,11.310541246843163,26.733333333333327,21.213333333333328,21.213333333333328,1.2602137020741673,1.0,0,True,6
260216-1,PMBTA-10,GOX,1.655783171151641,,1.2833793927667083,,0.5042741120953912,,8.754283497809826,14.495195291164034,16.442222222222224,21.213333333333328,21.213333333333328,0.7750890425309033,0.7750890425309033,0,True,7
260216-1,PMBTA-3,GOX,1.241859387067474,,1.241859387067474,,0.21660976218047542,,8.754283497809826,10.871589138805012,25.513333333333325,21.213333333333328,21.213333333333328,1.2027027027027026,1.0,0,True,8
260216-1,GOx with EtOH,GOX,1.3097258171647235,,1.1662816162590337,,0.2698178154325279,,8.754283497809826,11.465711107860628,18.89,21.213333333333328,21.213333333333328,0.8904776869893152,0.8904776869893152,0,False,9
260216-1,PMBTA-11,GOX,1.1486136535740101,,1.1486136535740101,,0.13855569652176603,,8.754283497809826,10.055289552842009,30.623333333333328,21.213333333333328,21.213333333333328,1.4435889377749844,1.0,0,True,10
260216-1,PMBTA-2,GOX,1.0797137680474462,,1.0797137680474462,,0.07669597642388322,,8.754283497809826,9.452120421975826,27.82,21.213333333333328,21.213333333333328,1.3114393463230676,1.0,0,True,11
260216-1,GOx with DMSO,GOX,1.027248496286788,,1.027248496286788,,0.02688386495630295,,8.754283497809826,8.992824559193387,22.01333333333333,21.213333333333328,21.213333333333328,1.0377121307353865,1.0,0,False,12
260216-1,PMBTA-7,GOX,1.0132867050979846,,1.0132867050979846,,0.013199210985375305,,8.754283497809826,8.870599080989379,27.693333333333324,21.213333333333328,21.213333333333328,1.3054682589566309,1.0,0,True,13
260216-1,GOx,GOX,1.0,,1.0,,0.0,,8.754283497809826,8.754283497809826,21.213333333333328,21.213333333333328,21.213333333333328,1.0,1.0,0,True,14
260216-1,PMBTA-8,GOX,0.9735866019167996,,0.9735866019167996,,-0.026768498787239265,,8.754283497809826,8.523053122848983,28.0,21.213333333333328,21.213333333333328,1.3199245757385296,1.0,0,True,15
260216-1,PMBTA-9,GOX,0.9691222726881868,,0.9691222726881868,,-0.03136449064721957,,8.754283497809826,8.483971119154148,29.82333333333333,21.213333333333328,21.213333333333328,1.405876807039598,1.0,0,True,16
