run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260216-1,PMTAC,GOX,2.156495226063507,,7.685151515151517,3.563722943722944,same_run_gox,,260216-1,14.883333333333336,21.213333333333328,21.213333333333328,0.7016027655562542,True,1
260216-1,PMBTA-4,GOX,2.0192901047107688,,7.1961904761904725,3.563722943722944,same_run_gox,,260216-1,27.09666666666666,21.213333333333328,21.213333333333328,1.2773412947831553,True,2
260216-1,PMBTA-5,GOX,1.9489605856676624,,6.945555555555556,3.563722943722944,same_run_gox,,260216-1,21.053333333333327,21.213333333333328,21.213333333333328,0.9924575738529227,True,3
260216-1,PMBTA-11,GOX,1.813245547970165,,6.461904761904759,3.563722943722944,same_run_gox,,260216-1,30.623333333333328,21.213333333333328,21.213333333333328,1.4435889377749844,True,4
260216-1,PMBTA-10,GOX,1.7730861738053012,,6.318787878787879,3.563722943722944,same_run_gox,,260216-1,16.442222222222224,21.213333333333328,21.213333333333328,0.7750890425309033,True,5
260216-1,PMBTA-6,GOX,1.6644882291489518,,5.931774891774893,3.563722943722944,same_run_gox,,260216-1,26.98333333333333,21.213333333333328,21.213333333333328,1.2719987429289756,True,6
260216-1,PMPC,GOX,1.6635893199873653,,5.928571428571424,3.563722943722944,same_run_gox,,260216-1,22.273333333333326,21.213333333333328,21.213333333333328,1.049968573224387,True,7
260216-1,PMBTA-1,GOX,1.4247710211122175,,5.077489177489177,3.563722943722944,same_run_gox,,260216-1,26.733333333333327,21.213333333333328,21.213333333333328,1.2602137020741673,True,8
260216-1,PMBTA-3,GOX,1.2922305094628412,,4.605151515151516,3.563722943722944,same_run_gox,,260216-1,25.513333333333325,21.213333333333328,21.213333333333328,1.2027027027027026,True,9
260216-1,GOx with DMSO,GOX,1.2506984767133942,,4.457142857142859,3.563722943722944,same_run_gox,,260216-1,22.01333333333333,21.213333333333328,21.213333333333328,1.0377121307353865,False,10
260216-1,GOx with EtOH,GOX,1.196180850805373,,4.26285714285714,3.563722943722944,same_run_gox,,260216-1,18.89,21.213333333333328,21.213333333333328,0.8904776869893152,False,11
260216-1,PMBTA-9,GOX,1.1900949928330218,,4.2411688311688325,3.563722943722944,same_run_gox,,260216-1,29.82333333333333,21.213333333333328,21.213333333333328,1.405876807039598,True,12
260216-1,PMBTA-2,GOX,1.1538227934209568,,4.111904761904762,3.563722943722944,same_run_gox,,260216-1,27.82,21.213333333333328,21.213333333333328,1.3114393463230676,True,13
260216-1,PMBTA-8,GOX,1.0868419134617722,,3.873203463203464,3.563722943722944,same_run_gox,,260216-1,28.0,21.213333333333328,21.213333333333328,1.3199245757385296,True,14
260216-1,PMBTA-7,GOX,1.0857729404047525,,3.86939393939394,3.563722943722944,same_run_gox,,260216-1,27.693333333333324,21.213333333333328,21.213333333333328,1.3054682589566309,True,15
260216-1,GOx,GOX,1.0,,3.563722943722944,3.563722943722944,same_run_gox,,260216-1,21.213333333333328,21.213333333333328,21.213333333333328,1.0,True,16
