polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-4,1.2773412947831553,1.4173261137722475,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.5301019776144835,1,1,0.0
PMBTA-6,1.2719987429289756,1.3811027456143556,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.4884138212981057,2,2,0.0
PMBTA-5,0.9924575738529227,1.4430485028241895,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.4213624217263452,3,3,0.0
PMBTA-3,1.2027027027027026,1.241859387067474,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.3082317367411478,4,4,0.0
PMBTA-11,1.4435889377749844,1.1486136535740101,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.269218087199281,5,5,0.0
PMBTA-2,1.3114393463230676,1.0797137680474462,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.1785116496544654,6,6,0.0
PMBTA-7,1.3054682589566309,1.0132867050979846,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.1038886117293336,7,7,0.0
PMPC,1.179107111346391,1.0491923576132107,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.0966027257015636,8,8,0.0
PMBTA-1,1.4152108699488262,0.9864666168929476,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.090045611666707,9,9,0.0
PMTAC,0.7016027655562542,2.1969550146665897,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.0814432862074448,10,10,0.0
PMBTA-9,1.405876807039598,0.9691222726881868,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.0708801113204465,11,11,0.0
PMBTA-8,1.3199245757385296,0.9735866019167996,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.0655648345802875,12,12,0.0
PMBTA-10,0.7750890425309033,1.655783171151641,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9947333047434399,13,13,0.0
PMBTA-5,0.9924575738529227,1.4430485028241895,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.4213624217263452,1,3,-2.0
PMBTA-4,1.2773412947831553,1.4173261137722475,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.4173261137722475,2,1,1.0
PMBTA-6,1.2719987429289756,1.3811027456143556,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.3811027456143556,3,2,1.0
PMBTA-3,1.2027027027027026,1.241859387067474,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.241859387067474,4,4,0.0
PMBTA-11,1.4435889377749844,1.1486136535740101,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.1486136535740101,5,5,0.0
PMTAC,0.7016027655562542,2.1969550146665897,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.0814432862074448,6,10,-4.0
PMBTA-2,1.3114393463230676,1.0797137680474462,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.0797137680474462,7,6,1.0
PMPC,1.179107111346391,1.0491923576132107,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.0491923576132107,8,8,0.0
PMBTA-7,1.3054682589566309,1.0132867050979846,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.0132867050979846,9,7,2.0
PMBTA-10,0.7750890425309033,1.655783171151641,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9947333047434399,10,13,-3.0
PMBTA-1,1.4152108699488262,0.9864666168929476,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9864666168929476,11,9,2.0
PMBTA-8,1.3199245757385296,0.9735866019167996,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9735866019167996,12,12,0.0
PMBTA-9,1.405876807039598,0.9691222726881868,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9691222726881868,13,11,2.0
PMBTA-4,1.2773412947831553,1.4173261137722475,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.5301019776144835,1,1,0.0
PMBTA-6,1.2719987429289756,1.3811027456143556,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.4884138212981057,2,2,0.0
PMBTA-5,0.9924575738529227,1.4430485028241895,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.4267531961514675,3,3,0.0
PMBTA-3,1.2027027027027026,1.241859387067474,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.3082317367411478,4,4,0.0
PMTAC,0.7016027655562542,2.1969550146665897,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.2910947129218786,5,10,-5.0
PMBTA-11,1.4435889377749844,1.1486136535740101,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.269218087199281,6,5,1.0
PMBTA-2,1.3114393463230676,1.0797137680474462,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1785116496544654,7,6,1.0
PMBTA-10,0.7750890425309033,1.655783171151641,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1298761987963357,8,13,-5.0
PMBTA-7,1.3054682589566309,1.0132867050979846,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1038886117293336,9,7,2.0
PMPC,1.179107111346391,1.0491923576132107,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.0966027257015636,10,8,2.0
PMBTA-1,1.4152108699488262,0.9864666168929476,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.090045611666707,11,9,2.0
PMBTA-9,1.405876807039598,0.9691222726881868,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.0708801113204465,12,11,1.0
PMBTA-8,1.3199245757385296,0.9735866019167996,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.0655648345802875,13,12,1.0
PMBTA-4,1.2773412947831553,1.4173261137722475,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.5301019776144835,1,1,0.0
PMBTA-6,1.2719987429289756,1.3811027456143556,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.4884138212981057,2,2,0.0
PMBTA-5,0.9924575738529227,1.4430485028241895,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.4159920155393884,3,3,0.0
PMBTA-3,1.2027027027027026,1.241859387067474,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.3082317367411478,4,4,0.0
PMBTA-11,1.4435889377749844,1.1486136535740101,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.269218087199281,5,5,0.0
PMBTA-2,1.3114393463230676,1.0797137680474462,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.1785116496544654,6,6,0.0
PMBTA-7,1.3054682589566309,1.0132867050979846,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.1038886117293336,7,7,0.0
PMPC,1.179107111346391,1.0491923576132107,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0966027257015636,8,8,0.0
PMBTA-1,1.4152108699488262,0.9864666168929476,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.090045611666707,9,9,0.0
PMBTA-9,1.405876807039598,0.9691222726881868,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0708801113204465,10,11,-1.0
PMBTA-8,1.3199245757385296,0.9735866019167996,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0655648345802875,11,12,-1.0
PMTAC,0.7016027655562542,2.1969550146665897,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9058356211810482,12,10,2.0
PMBTA-10,0.7750890425309033,1.655783171151641,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8757546611035083,13,13,0.0
