run_id,polymer_id,native_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,native_activity_soft_penalty,fog,fog_native_constrained,fog_native_soft,log_fog_native_soft,solvent_group,solvent_control_polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,objective_loglinear_main,objective_loglinear_main_exp,fog_activity_bonus_penalty,log_fog_activity_bonus_penalty,fog_solvent_balanced,log_fog_solvent_balanced,t50_min,rank_objective_loglinear_main
260216-1,PMBTA-4,1.2773412947831553,1.2773412947831553,0.7,1,1.0,1.4173261137722475,1.4173261137722475,1.4173261137722475,0.34877207803491733,PBS,GOx,1.2773412947831553,1.4173261137722475,1.0,1.0795694531741042,1.0795694531741042,1.0,1.0795694531741042,1.0795694531741042,0.5935528823238122,1.8104091732958203,1.5301019776144835,0.425334385218806,1.5301019776144835,0.425334385218806,12.407674608811318,1.0
260216-1,PMBTA-6,1.2719987429289756,1.2719987429289756,0.7,1,1.0,1.3811027456143556,1.3811027456143556,1.3811027456143556,0.3228822710907594,PBS,GOx,1.2719987429289756,1.3811027456143556,1.0,1.0776995600251413,1.0776995600251413,1.0,1.0776995600251413,1.0776995600251413,0.5634717477448176,1.7567609562772173,1.4884138212981057,0.3977110034577677,1.4884138212981057,0.3977110034577677,12.090564974711596,2.0
260216-1,PMBTA-11,1.4435889377749844,1.4435889377749844,0.7,1,1.0,1.1486136535740101,1.1486136535740101,1.1486136535740101,0.13855569652176603,PBS,GOx,1.4435889377749844,1.1486136535740101,1.0,1.105,1.105,1.0,1.105,1.105,0.5056880273355551,1.6581259640767492,1.269218087199281,0.23840103149148206,1.269218087199281,0.23840103149148206,10.055289552842009,3.0
260216-1,PMTAC,0.7016027655562542,0.7016027655562542,0.7,1,0.4922464406361842,2.1969550146665897,2.1969550146665897,1.0814432862074448,0.07829652509831707,PBS,GOx,0.7016027655562542,2.1969550146665897,0.4922464406361842,1.0,0.4922464406361842,0.4922464406361842,1.0,0.4922464406361842,0.43268442124539463,1.5413897140927604,1.0814432862074448,0.07829652509831707,1.0814432862074448,0.07829652509831707,19.232767030326272,4.0
260216-1,PMBTA-3,1.2027027027027026,1.2027027027027026,0.7,1,1.0,1.241859387067474,1.241859387067474,1.241859387067474,0.21660976218047542,PBS,GOx,1.2027027027027026,1.241859387067474,1.0,1.053445945945946,1.053445945945946,1.0,1.053445945945946,1.053445945945946,0.40118103870844546,1.4935876412027727,1.3082317367411478,0.26867640610482063,1.3082317367411478,0.26867640610482063,10.871589138805012,5.0
260216-1,PMBTA-2,1.3114393463230676,1.3114393463230676,0.7,1,1.0,1.0797137680474462,1.0797137680474462,1.0797137680474462,0.07669597642388322,PBS,GOx,1.3114393463230676,1.0797137680474462,1.0,1.0915037712130737,1.0915037712130737,1.0,1.0915037712130737,1.0915037712130737,0.3478212481177039,1.415979118184159,1.1785116496544654,0.1642523284995952,1.1785116496544654,0.1642523284995952,9.452120421975826,6.0
260216-1,PMBTA-5,0.9924575738529227,0.9924575738529227,0.7,1,0.9849720358980294,1.4430485028241895,1.4430485028241895,1.4213624217263452,0.3516158635533329,PBS,GOx,0.9924575738529227,1.4430485028241895,0.9849720358980294,1.0,0.9849720358980294,0.9849720358980294,1.0,0.9849720358980294,0.3591868776354777,1.4321644160649876,1.4213624217263452,0.3516158635533329,1.4213624217263452,0.3516158635533329,12.632855694812978,7.0
260216-1,PMBTA-1,1.2602137020741673,1.2602137020741673,0.7,1,1.0,1.292000795915836,1.292000795915836,1.292000795915836,0.2561920213941491,ETOH,GOx with EtOH,1.4152108699488262,0.9864666168929476,1.0,1.105,1.105,1.0,1.105,1.105,0.3336527506525619,1.3960582790685436,1.090045611666707,0.0862195409313373,1.090045611666707,0.0862195409313373,11.310541246843163,8.0
260216-1,PMBTA-9,1.405876807039598,1.405876807039598,0.7,1,1.0,0.9691222726881868,0.9691222726881868,0.9691222726881868,-0.03136449064721957,PBS,GOx,1.405876807039598,0.9691222726881868,1.0,1.105,1.105,1.0,1.105,1.105,0.30929667944269906,1.3624665263578266,1.0708801113204465,0.06848084432249657,1.0708801113204465,0.06848084432249657,8.483971119154148,9.0
260216-1,PMBTA-7,1.3054682589566309,1.3054682589566309,0.7,1,1.0,1.0132867050979846,1.0132867050979846,1.0132867050979846,0.013199210985375305,PBS,GOx,1.3054682589566309,1.0132867050979846,1.0,1.0894138906348207,1.0894138906348207,1.0,1.0894138906348207,1.0894138906348207,0.2797610065237006,1.322813630728167,1.1038886117293336,0.09883904759193818,1.1038886117293336,0.09883904759193818,8.870599080989379,10.0
