run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260216-2,PMBTA-4,GOX,1.7219037580715202,,7.095634920634924,4.120808080808081,same_run_gox,,260216-2,29.263333333333325,20.820952380952377,20.820952380952377,1.405475253865154,True,1
260216-2,PMBTA-10,GOX,1.6762672811059909,,6.907575757575759,4.120808080808081,same_run_gox,,260216-2,18.474545454545453,20.820952380952377,20.820952380952377,0.8873054947979475,True,2
260216-2,PMBTA-6,GOX,1.650643270348634,,6.80198412698413,4.120808080808081,same_run_gox,,260216-2,29.236666666666665,20.820952380952377,20.820952380952377,1.4041944927271066,True,3
260216-2,PMBTA-5,GOX,1.6276473183645452,,6.707222222222222,4.120808080808081,same_run_gox,,260216-2,22.14,20.820952380952377,20.820952380952377,1.063351934864148,True,4
260216-2,PMTAC,GOX,1.5584721191153197,,6.422164502164503,4.120808080808081,same_run_gox,,260216-2,15.786060606060602,20.820952380952377,20.820952380952377,0.7581814855165875,True,5
260216-2,PMBTA-11,GOX,1.503211099127365,,6.194444444444444,4.120808080808081,same_run_gox,,260216-2,27.76190476190476,20.820952380952377,20.820952380952377,1.3333638276461441,True,6
260216-2,PMPC,GOX,1.3755200089644646,,5.66825396825397,4.120808080808081,same_run_gox,,260216-2,22.7,20.820952380952377,20.820952380952377,1.0902479187631509,True,7
260216-2,PMBTA-1,GOX,1.2065468603364478,,4.971948051948053,4.120808080808081,same_run_gox,,260216-2,26.36476190476189,20.820952380952377,20.820952380952377,1.2662610923062845,True,8
260216-2,PMBTA-3,GOX,1.1387145798607703,,4.692424242424242,4.120808080808081,same_run_gox,,260216-2,25.306666666666658,20.820952380952377,20.820952380952377,1.2154423200073183,True,9
260216-2,PMBTA-7,GOX,1.0663230288683767,,4.394112554112556,4.120808080808081,same_run_gox,,260216-2,27.604761904761897,20.820952380952377,20.820952380952377,1.3258164852255052,True,10
260216-2,GOx with DMSO,GOX,1.0653250318658694,,4.3900000000000015,4.120808080808081,same_run_gox,,260216-2,21.826666666666657,20.820952380952377,20.820952380952377,1.0483029914920865,False,11
260216-2,PMBTA-9,GOX,1.0275272085498577,,4.234242424242424,4.120808080808081,same_run_gox,,260216-2,27.88857142857142,20.820952380952377,20.820952380952377,1.3394474430518706,True,12
260216-2,PMBTA-2,GOX,1.001715854495539,,4.127878787878789,4.120808080808081,same_run_gox,,260216-2,29.34999999999999,20.820952380952377,20.820952380952377,1.4096377275638092,True,13
260216-2,GOx,GOX,1.0,,4.120808080808081,4.120808080808081,same_run_gox,,260216-2,20.820952380952377,20.820952380952377,20.820952380952377,1.0,True,14
260216-2,PMBTA-8,GOX,0.9819870295407114,,4.046580086580088,4.120808080808081,same_run_gox,,260216-2,26.72380952380952,20.820952380952377,20.820952380952377,1.2835056262007136,True,15
260216-2,GOx with EtOH,GOX,0.9375814155449412,,3.8635930735930737,4.120808080808081,same_run_gox,,260216-2,18.852380952380944,20.820952380952377,20.820952380952377,0.9054523831305459,False,16
