plate_id,time_s,well,signal,source_file,row,polymer_id,sample_name,use_for_bo,include_in_all_polymers,all_polymers_pair,run_id
plate1,6.0,E1,2858.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,36.0,E1,5452.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,66.0,E1,7289.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,96.0,E1,8440.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,126.0,E1,9018.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,156.0,E1,9291.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,186.0,E1,9319.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,216.0,E1,9260.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,246.0,E1,9247.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,276.0,E1,9179.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,306.0,E1,9168.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,336.0,E1,9089.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,366.0,E1,8992.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,396.0,E1,8878.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,426.0,E1,8757.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,456.0,E1,8640.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,486.0,E1,8465.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,516.0,E1,8333.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,546.0,E1,8143.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,576.0,E1,8028.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,606.0,E1,7886.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,6.0,E2,2006.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,36.0,E2,3192.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,66.0,E2,4277.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,96.0,E2,5237.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,126.0,E2,6067.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,156.0,E2,6759.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,186.0,E2,7402.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,216.0,E2,7830.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,246.0,E2,8183.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,276.0,E2,8634.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,306.0,E2,8898.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,336.0,E2,9121.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,366.0,E2,9305.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,396.0,E2,9377.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,426.0,E2,9161.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,456.0,E2,9134.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,486.0,E2,9039.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,516.0,E2,9147.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,546.0,E2,8900.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,576.0,E2,8777.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,606.0,E2,8721.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,6.0,E3,0.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,36.0,E3,0.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,66.0,E3,0.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,96.0,E3,0.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,126.0,E3,1.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,156.0,E3,0.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
plate1,186.0,E3,0.0,GOx_Concentration_0_8to0_1.csv,E,GOx (0_8 μg_mL),,False,True,True,GOx_Concentration
