plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,use_for_bo,include_in_all_polymers,all_polymers_pair,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,baseline_abs_activity,REA_percent,run_id
plate1,E1,E,1,0.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,61.94333333333332,61.94333333333332,2850.639999999998,0.970719728580236,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,5582.0,1.0,0.0,5.0,5.0,68.384925,360.837324843204,15.469574835212937,0.0,,0,61.94333333333332,100.0,GOx_Concentration
plate1,E2,E,2,60.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,35.92666666666666,35.92666666666666,1845.739999999999,0.9978014664678027,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,3231.0,1.0,0.0,5.0,4.0,354.71205,56.56368092689878,57.12145933670036,0.0,,0,61.94333333333332,57.99924662325782,GOx_Concentration
plate1,E3,E,3,10.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,0.009999999999999985,0.009999999999999985,-4.159999999999993,0.7499999999999996,5.0,396.0,516.0,initial_positive,initial_positive,,1.0,1.0,0.0,1.0,1.0,0.555975,0.24494897427831802,4.08248290462196,0.0,,0,61.94333333333332,0.016143787332508184,GOx_Concentration
plate1,E4,E,4,15.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.3333 (n=7, t_end=336s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,0,61.94333333333332,,GOx_Concentration
plate1,E5,E,5,20.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,0.009999999999999992,0.009999999999999992,-1.5599999999999978,0.7500000000000002,5.0,156.0,276.0,initial_positive,initial_positive,,1.0,1.0,0.0,1.0,1.0,0.0025,0.24494897427831774,4.082482904621965,0.0,,0,61.94333333333332,0.016143787332508194,GOx_Concentration
plate1,E6,E,6,40.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,0.010000000000000007,0.010000000000000007,-1.4600000000000015,0.7499999999999999,5.0,126.0,246.0,initial_positive,initial_positive,,1.0,1.0,0.0,1.0,1.0,0.555975,0.24494897427831788,4.082482904621962,0.0,,0,61.94333333333332,0.016143787332508222,GOx_Concentration
plate1,E7,E,7,60.0,GOx (0_8 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,0.013333333333333334,0.013333333333333334,-0.9800000000000001,0.8,4.0,66.0,156.0,initial_positive,initial_positive,,1.0,1.0,0.0,1.0,1.0,0.555975,0.22360679774997894,4.47213595497958,0.0,,0,61.94333333333332,0.021525049776677616,GOx_Concentration
plate1,F1,F,1,0.0,GOx (0_4 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,48.72333333333332,48.72333333333332,2158.359999999999,0.9917050933590447,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,4378.0,1.0,0.0,5.0,5.0,149.0013,149.46094807674658,29.291932483607123,0.0,,0,48.72333333333332,100.0,GOx_Concentration
plate1,F2,F,2,60.0,GOx (0_4 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,ok,22.253333333333334,22.253333333333334,1641.079999999999,0.9992497271449723,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1995.0,1.0,0.0,5.0,5.0,143.44154999999998,20.452383724152995,97.5436421938403,0.0,,0,48.72333333333332,45.672846685366366,GOx_Concentration
plate1,F3,F,3,10.0,GOx (0_4 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.4286 (n=6, t_end=276s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,0,48.72333333333332,,GOx_Concentration
plate1,F4,F,4,15.0,GOx (0_4 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.00357143, -0.00190476]).",,,,,,,,,,,0,48.72333333333332,,GOx_Concentration
plate1,F5,F,5,20.0,GOx (0_4 μg_mL),,GOx_Concentration_0_8to0_1.csv,False,True,True,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.0833 (n=7, t_end=186s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,0,48.72333333333332,,GOx_Concentration
