plate_id,time_s,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
plate1,6.0,814.0,823.0,795.0,796.0,534.0,431.0,544.0,559.0,573.0,537.0,455.0,437.0,451.0,470.0,474.0,325.0,563.0,976.0,574.0,643.0,862.0,487.0,2868.0,7852.0,2006.0,0.0,0.0,1.0,0.0,1.0,1760.0,0.0,1.0,0.0,1.0,0.0,1408.0,1.0,0.0,0.0,0.0,0.0,1330.0,0.0,2.0,0.0,0.0,1.0
plate1,36.0,814.0,832.0,793.0,799.0,531.0,433.0,544.0,563.0,572.0,533.0,451.0,436.0,443.0,467.0,476.0,325.0,560.0,962.0,572.0,637.0,860.0,487.0,2830.0,7896.0,3192.0,0.0,0.0,1.0,1.0,1.0,2449.0,2.0,1.0,1.0,0.0,0.0,1758.0,0.0,0.0,0.0,1.0,0.0,1496.0,1.0,1.0,0.0,1.0,0.0
plate1,66.0,811.0,829.0,793.0,800.0,531.0,430.0,545.0,560.0,569.0,536.0,450.0,435.0,444.0,464.0,469.0,323.0,556.0,943.0,563.0,634.0,847.0,479.0,2754.0,7808.0,4277.0,0.0,1.0,0.0,1.0,0.0,3140.0,1.0,0.0,0.0,1.0,1.0,2083.0,1.0,1.0,0.0,0.0,0.0,1669.0,1.0,0.0,0.0,0.0,1.0
plate1,96.0,812.0,832.0,792.0,798.0,531.0,427.0,543.0,557.0,570.0,533.0,445.0,432.0,438.0,458.0,471.0,324.0,548.0,945.0,559.0,628.0,835.0,474.0,2721.0,7769.0,5237.0,0.0,0.0,0.0,1.0,0.0,3755.0,0.0,0.0,0.0,0.0,1.0,2408.0,1.0,0.0,1.0,0.0,0.0,1846.0,1.0,0.0,1.0,0.0,1.0
plate1,126.0,816.0,832.0,792.0,795.0,530.0,425.0,537.0,556.0,568.0,531.0,442.0,427.0,439.0,455.0,464.0,326.0,543.0,930.0,552.0,619.0,833.0,474.0,2664.0,7786.0,6067.0,1.0,1.0,1.0,0.0,1.0,4313.0,0.0,0.0,1.0,0.0,1.0,2704.0,0.0,0.0,0.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0
plate1,156.0,813.0,829.0,793.0,796.0,525.0,419.0,536.0,554.0,564.0,528.0,444.0,423.0,434.0,453.0,459.0,327.0,538.0,908.0,551.0,611.0,823.0,466.0,2603.0,7713.0,6759.0,0.0,0.0,0.0,0.0,1.0,4846.0,0.0,1.0,0.0,1.0,0.0,3017.0,1.0,0.0,1.0,0.0,0.0,2167.0,0.0,0.0,0.0,1.0,1.0
plate1,186.0,813.0,820.0,786.0,799.0,519.0,421.0,535.0,544.0,564.0,523.0,438.0,419.0,429.0,454.0,459.0,327.0,533.0,899.0,543.0,605.0,808.0,463.0,2573.0,7627.0,7402.0,0.0,0.0,0.0,0.0,0.0,5317.0,0.0,0.0,1.0,0.0,1.0,3287.0,1.0,1.0,1.0,1.0,0.0,2318.0,0.0,0.0,1.0,0.0,1.0
plate1,216.0,807.0,826.0,788.0,787.0,520.0,419.0,531.0,543.0,556.0,521.0,438.0,417.0,430.0,449.0,455.0,325.0,528.0,887.0,535.0,601.0,796.0,460.0,2512.0,7623.0,7830.0,0.0,0.0,1.0,1.0,1.0,5747.0,0.0,1.0,0.0,0.0,1.0,3580.0,1.0,1.0,0.0,0.0,0.0,2499.0,0.0,1.0,0.0,1.0,1.0
plate1,246.0,812.0,822.0,787.0,789.0,521.0,415.0,529.0,546.0,555.0,517.0,437.0,413.0,428.0,443.0,451.0,326.0,526.0,874.0,534.0,596.0,784.0,458.0,2489.0,7600.0,8183.0,0.0,1.0,1.0,1.0,3.0,6155.0,0.0,2.0,1.0,0.0,0.0,3843.0,0.0,0.0,0.0,0.0,1.0,2645.0,1.0,0.0,0.0,0.0,1.0
plate1,276.0,812.0,813.0,783.0,783.0,513.0,415.0,524.0,542.0,554.0,516.0,435.0,410.0,426.0,442.0,449.0,324.0,520.0,864.0,530.0,591.0,776.0,456.0,2435.0,7589.0,8634.0,1.0,1.0,1.0,1.0,0.0,6523.0,1.0,1.0,1.0,0.0,1.0,4139.0,0.0,0.0,2.0,0.0,1.0,2783.0,0.0,0.0,0.0,1.0,0.0
plate1,306.0,804.0,814.0,781.0,785.0,512.0,414.0,525.0,537.0,550.0,519.0,429.0,409.0,420.0,439.0,443.0,329.0,517.0,851.0,520.0,582.0,775.0,455.0,2389.0,7535.0,8898.0,0.0,0.0,0.0,1.0,1.0,6855.0,0.0,1.0,1.0,1.0,0.0,4360.0,2.0,0.0,0.0,0.0,0.0,2917.0,0.0,0.0,1.0,0.0,2.0
plate1,336.0,805.0,814.0,787.0,789.0,514.0,412.0,523.0,537.0,549.0,516.0,428.0,402.0,419.0,437.0,441.0,325.0,510.0,843.0,516.0,580.0,761.0,450.0,2351.0,7522.0,9121.0,0.0,1.0,0.0,0.0,0.0,7187.0,0.0,0.0,0.0,1.0,0.0,4597.0,0.0,2.0,0.0,2.0,1.0,3086.0,0.0,3.0,2.0,1.0,0.0
plate1,366.0,804.0,815.0,781.0,782.0,514.0,409.0,518.0,535.0,548.0,514.0,429.0,400.0,417.0,436.0,438.0,324.0,504.0,829.0,513.0,572.0,754.0,447.0,2313.0,7482.0,9305.0,2.0,0.0,0.0,1.0,0.0,7505.0,2.0,0.0,1.0,1.0,1.0,4856.0,0.0,1.0,0.0,0.0,2.0,3237.0,2.0,1.0,0.0,0.0,0.0
plate1,396.0,808.0,812.0,776.0,783.0,509.0,408.0,515.0,532.0,546.0,511.0,422.0,396.0,415.0,430.0,434.0,329.0,502.0,824.0,511.0,571.0,744.0,448.0,2273.0,7462.0,9377.0,0.0,2.0,0.0,0.0,0.0,7808.0,1.0,1.0,0.0,0.0,0.0,5094.0,0.0,0.0,2.0,1.0,1.0,3410.0,1.0,1.0,1.0,0.0,0.0
plate1,426.0,800.0,812.0,778.0,786.0,508.0,405.0,518.0,535.0,544.0,508.0,420.0,396.0,411.0,428.0,436.0,326.0,497.0,809.0,506.0,560.0,737.0,442.0,2248.0,7419.0,9161.0,0.0,0.0,0.0,1.0,0.0,8129.0,0.0,1.0,0.0,1.0,1.0,5333.0,0.0,1.0,0.0,1.0,0.0,3564.0,0.0,0.0,1.0,0.0,0.0
plate1,456.0,798.0,815.0,781.0,782.0,506.0,403.0,516.0,531.0,541.0,508.0,423.0,392.0,410.0,429.0,433.0,327.0,493.0,801.0,502.0,556.0,727.0,442.0,2204.0,7394.0,9134.0,0.0,1.0,1.0,0.0,0.0,8331.0,1.0,1.0,1.0,0.0,0.0,5523.0,0.0,1.0,1.0,0.0,1.0,3679.0,2.0,0.0,0.0,0.0,0.0
plate1,486.0,801.0,808.0,777.0,777.0,504.0,400.0,510.0,521.0,541.0,507.0,413.0,389.0,408.0,424.0,432.0,327.0,486.0,793.0,496.0,548.0,721.0,440.0,2152.0,7312.0,9039.0,1.0,0.0,0.0,1.0,0.0,8491.0,1.0,1.0,1.0,2.0,2.0,5738.0,0.0,1.0,0.0,0.0,0.0,3812.0,0.0,0.0,2.0,0.0,0.0
plate1,516.0,800.0,811.0,774.0,774.0,503.0,401.0,512.0,523.0,543.0,500.0,415.0,384.0,403.0,420.0,426.0,332.0,480.0,782.0,491.0,543.0,708.0,436.0,2129.0,7302.0,9147.0,1.0,1.0,1.0,1.0,0.0,8695.0,0.0,0.0,1.0,0.0,0.0,5951.0,0.0,0.0,0.0,2.0,0.0,3965.0,0.0,0.0,2.0,1.0,1.0
plate1,546.0,794.0,807.0,773.0,778.0,503.0,397.0,506.0,521.0,537.0,499.0,412.0,384.0,401.0,418.0,418.0,325.0,481.0,770.0,491.0,541.0,705.0,433.0,2083.0,7279.0,8900.0,0.0,1.0,1.0,1.0,0.0,8883.0,1.0,0.0,2.0,1.0,1.0,6123.0,1.0,1.0,0.0,0.0,1.0,4079.0,0.0,1.0,0.0,0.0,0.0
plate1,576.0,793.0,804.0,770.0,780.0,506.0,396.0,508.0,523.0,536.0,500.0,412.0,378.0,400.0,413.0,423.0,329.0,474.0,769.0,485.0,533.0,693.0,429.0,2073.0,7279.0,8777.0,1.0,0.0,0.0,0.0,1.0,8996.0,1.0,0.0,1.0,0.0,0.0,6344.0,0.0,1.0,0.0,0.0,1.0,4221.0,0.0,1.0,0.0,1.0,2.0
plate1,606.0,793.0,803.0,776.0,769.0,500.0,396.0,507.0,515.0,534.0,500.0,406.0,379.0,400.0,414.0,418.0,331.0,471.0,756.0,481.0,532.0,686.0,425.0,2032.0,7258.0,8721.0,0.0,0.0,0.0,0.0,0.0,9205.0,0.0,0.0,0.0,0.0,0.0,6512.0,0.0,0.0,1.0,0.0,0.0,4369.0,0.0,0.0,1.0,0.0,1.0
