select_method_used,count,fraction
initial_positive_promote_long_ext,24,0.42857142857142855
initial_positive,19,0.3392857142857143
initial_positive_tangent,5,0.08928571428571429
initial_positive_ext,2,0.03571428571428571
initial_positive_early_steep_delayed_steep,1,0.017857142857142856
initial_positive_skip2,1,0.017857142857142856
initial_positive_intskip1,1,0.017857142857142856
initial_positive_promote_long_ext_tangent,1,0.017857142857142856
initial_positive_post_tangent_under,1,0.017857142857142856
initial_positive_post_broad_overfit_ext,1,0.017857142857142856
