plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,use_for_bo,include_in_all_polymers,all_polymers_pair,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,baseline_abs_activity,REA_percent,run_id
plate1,A1,A,1,0.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,17.21333333333333,17.21333333333333,336.6199999999999,0.9998348786898277,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1547.0,1.0,0.0,5.0,5.0,88.95599999999999,7.419568720619787,208.50268502810823,0.0,,0,16.55190476190476,103.99608734428493,Organic_Concentration
plate1,A2,A,2,5.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,13.352380952380946,13.352380952380946,437.1238095238101,0.9989705717976789,6.0,6.0,156.0,initial_positive,initial_positive,,1603.0,1.0,0.0,5.0,5.0,60.601275,21.960643006748285,72.99421968233541,0.0,,0,16.55190476190476,80.66975459593196,Organic_Concentration
plate1,A3,A,3,10.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,7.280952380952377,7.280952380952377,393.7428571428575,0.9996500559252023,6.0,6.0,156.0,initial_positive,initial_positive,,874.0,1.0,0.0,5.0,5.0,19.459125,6.979562000174922,125.22275752804697,0.0,,0,16.55190476190476,43.98860726718259,Organic_Concentration
plate1,A4,A,4,15.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,3.8651515151515152,3.8651515151515152,420.7874458874463,0.9991719751079494,21.0,6.0,606.0,initial_positive_ext,initial_positive_ext,,500.0,1.0,0.0,5.0,5.0,6.115724999999999,6.981153768289886,71.6213990688833,0.0,,0,16.55190476190476,23.3517022406231,Organic_Concentration
plate1,A5,A,5,20.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,2.177878787878788,2.177878787878788,342.80718614718666,0.9991997022487479,21.0,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,490.5,1.0,0.0,8.0,8.0,4.4478,3.090007790952688,158.73746384588046,0.0,,0,16.55190476190476,13.157874088855998,Organic_Concentration
plate1,A6,A,6,40.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,0.4300000000000001,0.4300000000000001,253.81999999999977,0.9826395039858281,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,38.0,1.0,0.0,5.0,5.0,3.3358499999999998,1.9170289512680865,19.822340176367046,0.0,,0,16.55190476190476,2.5978883166949576,Organic_Concentration
plate1,A7,A,7,60.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,0.11436274509803929,0.11436274509803929,204.240294117647,0.9803271365956937,16.0,156.0,606.0,initial_positive_ext,initial_positive_ext,,35.0,1.0,0.0,11.0,8.0,1.6679249999999999,2.0746833670567244,16.870044150224388,0.0,,0,16.55190476190476,0.6909340450124645,Organic_Concentration
plate1,B1,B,1,0.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,15.890476190476186,15.890476190476186,473.0380952380953,0.9985492736573109,6.0,6.0,156.0,initial_positive,initial_positive,,1909.5,1.0,0.0,5.0,5.0,73.3887,31.031985546917987,61.533284652795444,0.0,,0,16.55190476190476,96.00391265571506,Organic_Concentration
plate1,B2,B,2,5.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,13.093333333333328,13.093333333333328,485.10666666666714,0.9994417660742722,6.0,6.0,156.0,initial_positive,initial_positive,,1570.5,1.0,0.0,5.0,5.0,64.4931,15.854196780523354,99.05894456471216,0.0,,0,16.55190476190476,79.10469230990533,Organic_Concentration
plate1,B3,B,3,10.0,GOx (heat time low C),,GOx_DMSO_EtOH.csv,False,True,False,ok,6.938333333333332,6.938333333333332,422.77000000000044,0.9997513106522803,9.0,6.0,246.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1456.0,1.0,0.0,8.0,8.0,16.123275,8.476437931112402,171.77026621709135,0.0,,0,16.55190476190476,41.91863977674846,Organic_Concentration
