polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-11,0.9801321893992374,1.1188821751493807,0.31352204030305975,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.074864353115453,1,1,0.0
PMBTA-4,0.9584125451876947,1.0619807433283135,0.2591437140489972,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9754873040886017,2,2,0.0
PMBTA-7,1.0986692408467214,0.9306607604192823,0.15599043940935725,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9465138538626859,3,3,0.0
PMBTA-9,1.0781907191615525,0.9152485081780715,0.11787507527472517,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9242790379580488,4,4,0.0
PMBTA-8,1.0478521685168583,0.899131967066954,0.03942990014150382,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.899131967066954,5,5,0.0
PMBTA-5,1.0421292146452457,0.8846986468394223,0.0959848994715583,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8846986468394223,6,6,0.0
PMBTA-2,0.973000659961978,0.9051146761870128,0.013307198652203367,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.856899474698364,7,7,0.0
PMBTA-3,0.8723219826439848,1.1146295004176385,0.076805174536261,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8481724601230447,8,8,0.0
PMBTA-6,1.1202805330916754,0.7898453473265226,0.03551704908059799,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8092741105510531,9,9,0.0
PMBTA-1,1.1113562711163205,0.7385066702318837,0.1547491285959215,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.7543658756498691,10,10,0.0
PMPC,0.6435909811763081,1.2572410278454142,0.14994292391626227,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.5207609902591485,11,11,0.0
PMTAC,0.8253631954935136,0.6186704343799122,0.21455053881422245,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.4214533982269085,12,12,0.0
PMBTA-10,0.603875060332345,1.0071112015359112,0.292037517875559,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.3672582954287664,13,13,0.0
PMBTA-11,0.9801321893992374,1.1188821751493807,0.31352204030305975,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.074864353115453,1,1,0.0
PMBTA-4,0.9584125451876947,1.0619807433283135,0.2591437140489972,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9754873040886017,2,2,0.0
PMBTA-7,1.0986692408467214,0.9306607604192823,0.15599043940935725,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9306607604192823,3,3,0.0
PMBTA-9,1.0781907191615525,0.9152485081780715,0.11787507527472517,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9152485081780715,4,4,0.0
PMBTA-8,1.0478521685168583,0.899131967066954,0.03942990014150382,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.899131967066954,5,5,0.0
PMBTA-5,1.0421292146452457,0.8846986468394223,0.0959848994715583,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8846986468394223,6,6,0.0
