polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMPC,1.1185588928833738,1.100366677951563,0.1949553083950377,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.1267706503737034,1,1,0.0
PMBTA-11,0.9453475770243074,1.2152334576046515,0.17428106970975832,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.0860323171523625,2,2,0.0
PMBTA-9,0.963754279128176,1.0563150806827302,0.01953020815393408,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9811290138957303,3,3,0.0
PMBTA-4,1.0277648758837798,0.9732513716935968,0.002612010411204124,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9732513716935968,4,4,0.0
PMBTA-1,1.07514786037342,0.9333262088683694,0.0061501004016142335,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9415411138825858,5,5,0.0
PMBTA-6,1.0367617966317457,0.9321813357925434,0.0033622185505117197,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9321813357925434,6,6,0.0
PMBTA-5,0.9417866542808483,1.0016357314557895,0.013779209941872926,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8884129339921456,7,7,0.0
PMBTA-7,0.9872873337805991,0.884163999127374,0.040910406019451,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8618267269273945,8,8,0.0
PMBTA-8,0.9510932204847672,0.9422533635913928,0.059680598077480544,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8523419590474093,9,9,0.0
PMBTA-2,0.9732672756360635,0.87035594484046,0.023707632561396404,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8244439636086671,10,10,0.0
PMBTA-3,0.9031325798627238,1.0103769523589228,0.10202454256532294,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8241124019874402,11,11,0.0
PMBTA-10,0.6520836167840349,1.276539484930573,0.3118903671005894,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.5428012392520486,12,12,0.0
PMTAC,0.5537130980698096,0.8373622045809076,0.4781881576226877,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.2567337404640114,13,13,0.0
PMPC,1.1185588928833738,1.100366677951563,0.1949553083950377,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.100366677951563,1,1,0.0
PMBTA-11,0.9453475770243074,1.2152334576046515,0.17428106970975832,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.0860323171523625,2,2,0.0
PMBTA-9,0.963754279128176,1.0563150806827302,0.01953020815393408,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9811290138957303,3,3,0.0
PMBTA-4,1.0277648758837798,0.9732513716935968,0.002612010411204124,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9732513716935968,4,4,0.0
PMBTA-1,1.07514786037342,0.9333262088683694,0.0061501004016142335,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9333262088683694,5,5,0.0
PMBTA-6,1.0367617966317457,0.9321813357925434,0.0033622185505117197,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9321813357925434,6,6,0.0
PMBTA-5,0.9417866542808483,1.0016357314557895,0.013779209941872926,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8884129339921456,7,7,0.0
PMBTA-7,0.9872873337805991,0.884163999127374,0.040910406019451,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8618267269273945,8,8,0.0
PMBTA-8,0.9510932204847672,0.9422533635913928,0.059680598077480544,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8523419590474093,9,9,0.0
PMBTA-2,0.9732672756360635,0.87035594484046,0.023707632561396404,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8244439636086671,10,10,0.0
PMBTA-3,0.9031325798627238,1.0103769523589228,0.10202454256532294,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8241124019874402,11,11,0.0
PMBTA-10,0.6520836167840349,1.276539484930573,0.3118903671005894,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.5428012392520486,12,12,0.0
PMTAC,0.5537130980698096,0.8373622045809076,0.4781881576226877,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.2567337404640114,13,13,0.0
PMPC,1.1185588928833738,1.100366677951563,0.1949553083950377,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1267706503737034,1,1,0.0
PMBTA-11,0.9453475770243074,1.2152334576046515,0.17428106970975832,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1169840999732938,2,2,0.0
PMBTA-9,0.963754279128176,1.0563150806827302,0.01953020815393408,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9994083167023177,3,3,0.0
PMBTA-4,1.0277648758837798,0.9732513716935968,0.002612010411204124,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9732513716935968,4,4,0.0
PMBTA-1,1.07514786037342,0.9333262088683694,0.0061501004016142335,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9415411138825858,5,5,0.0
PMBTA-6,1.0367617966317457,0.9321813357925434,0.0033622185505117197,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9321813357925434,6,6,0.0
PMBTA-5,0.9417866542808483,1.0016357314557895,0.013779209941872926,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9154583845168202,7,7,0.0
PMBTA-8,0.9510932204847672,0.9422533635913928,0.059680598077480544,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8739816722664382,8,9,-1.0
PMBTA-7,0.9872873337805991,0.884163999127374,0.040910406019451,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8673575747771747,9,8,1.0
PMBTA-3,0.9031325798627238,1.0103769523589228,0.10202454256532294,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8671828794682219,10,11,-1.0
PMBTA-2,0.9732672756360635,0.87035594484046,0.023707632561396404,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8356897624767727,11,10,1.0
PMBTA-10,0.6520836167840349,1.276539484930573,0.3118903671005894,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.6721855714347533,12,12,0.0
PMTAC,0.5537130980698096,0.8373622045809076,0.4781881576226877,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.3450170439179774,13,13,0.0
PMPC,1.1185588928833738,1.100366677951563,0.1949553083950377,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.1267706503737034,1,1,0.0
PMBTA-11,0.9453475770243074,1.2152334576046515,0.17428106970975832,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0559382124844299,2,2,0.0
PMBTA-4,1.0277648758837798,0.9732513716935968,0.002612010411204124,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9732513716935968,3,4,-1.0
PMBTA-9,0.963754279128176,1.0563150806827302,0.01953020815393408,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.963184041818146,4,3,1.0
PMBTA-1,1.07514786037342,0.9333262088683694,0.0061501004016142335,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9415411138825858,5,5,0.0
PMBTA-6,1.0367617966317457,0.9321813357925434,0.0033622185505117197,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9321813357925434,6,6,0.0
PMBTA-5,0.9417866542808483,1.0016357314557895,0.013779209941872926,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8621664890874464,7,7,0.0
PMBTA-7,0.9872873337805991,0.884163999127374,0.040910406019451,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8563311474361632,8,8,0.0
PMBTA-8,0.9510932204847672,0.9422533635913928,0.059680598077480544,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8312380433205491,9,9,0.0
PMBTA-2,0.9732672756360635,0.87035594484046,0.023707632561396404,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8133494984027175,10,10,0.0
PMBTA-3,0.9031325798627238,1.0103769523589228,0.10202454256532294,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.7831811111469207,11,11,0.0
PMBTA-10,0.6520836167840349,1.276539484930573,0.3118903671005894,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.43832119857121726,12,12,0.0
PMTAC,0.5537130980698096,0.8373622045809076,0.4781881576226877,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.1910404562747108,13,13,0.0
