run_id,source_run_id,rank_in_source_run,polymer_id,t50_min,t50_definition
all_rounds-group_mean,260209-1,1,PMBTA-3,14.930860117523228,rea50
all_rounds-group_mean,260209-1,2,PMPC,14.307803777461158,rea50
all_rounds-group_mean,260209-1,3,PMBTA-2,11.313955464266492,rea50
all_rounds-group_mean,260209-2,1,PMBTA-10,17.024355263189396,rea50
all_rounds-group_mean,260209-2,2,PMPC,14.914339547837164,rea50
all_rounds-group_mean,260209-2,3,PMBTA-11,11.992749360673468,rea50
all_rounds-group_mean,260209-3,1,PMBTA-11,13.740395923646917,rea50
all_rounds-group_mean,260209-3,2,PMPC,13.272634631360342,rea50
all_rounds-group_mean,260209-3,3,PMBTA-4,12.630045369733926,rea50
all_rounds-group_mean,260211-1,1,PMTAC,18.931999387264057,rea50
all_rounds-group_mean,260211-1,2,PMBTA-11,16.55982385521643,rea50
all_rounds-group_mean,260211-1,3,PMPC,14.156198806913505,rea50
all_rounds-group_mean,260211-2,1,PMBTA-10,21.90141377460622,rea50
all_rounds-group_mean,260211-2,2,PMBTA-11,14.707290985432351,rea50
all_rounds-group_mean,260211-2,3,PMBTA-5,13.92178020807794,rea50
all_rounds-group_mean,260211-3,1,PMBTA-10,15.376047964950647,rea50
all_rounds-group_mean,260211-3,2,PMBTA-9,15.19391232836635,rea50
all_rounds-group_mean,260211-3,3,PMBTA-11,15.009073312628932,rea50
all_rounds-group_mean,260211-plate7,1,PMBTA-11,15.102971932990224,rea50
all_rounds-group_mean,260211-plate7,2,PMBTA-5,12.887016751452675,rea50
