run_id,polymer_id,frac_MPC,frac_BMA,frac_MTAC,native_rel,fog,obj_cons070
260209-1,PMBTA-1,0.8,0.04,0.16,1.079951787866613,0.6075840927854106,0.6075840927854106
260209-1,PMBTA-2,0.8,0.16,0.04,0.8449750330023531,0.8938563721051337,0.8938563721051337
260209-1,PMBTA-3,0.3,0.14,0.56,0.7162562895789089,1.179609067687257,1.179609067687257
260209-1,PMBTA-4,0.3,0.56,0.14,1.0297308155885898,0.8427370985971165,0.8427370985971165
260209-1,PMBTA-5,0.55,0.225,0.225,0.9995982322217756,0.8034924355426162,0.8034924355426162
260209-1,PMPC,1.0,0.0,0.0,0.6250167403240925,1.130384649091661,
260209-1,PMTAC,0.0,0.0,1.0,0.8285263239059949,0.4371540033088563,0.4371540033088563
260209-2,PMBTA-1,0.8,0.04,0.16,1.825802922057025,0.4579460903760602,0.4579460903760602
260209-2,PMBTA-2,0.8,0.16,0.04,2.132393640986033,0.3453127586938669,0.3453127586938669
260209-2,PMBTA-3,0.3,0.14,0.56,1.5514578103881056,0.508971705069772,0.508971705069772
260209-2,PMBTA-4,0.3,0.56,0.14,1.9003668661903848,0.4468774568533644,0.4468774568533644
260209-2,PMBTA-5,0.55,0.225,0.225,1.8825706378322715,0.4237505897236255,0.4237505897236255
260209-2,PMPC,1.0,0.0,0.0,1.0357855441848491,0.6400542224280681,0.6400542224280681
260209-2,PMTAC,0.0,0.0,1.0,1.0305963184655982,0.4935537590463398,0.4935537590463398
260209-3,PMBTA-1,0.8,0.04,0.16,1.1446844798180784,0.9170823499772536,0.9170823499772536
260209-3,PMBTA-2,0.8,0.16,0.04,1.108868675383741,0.9204707694095404,0.9204707694095404
260209-3,PMBTA-3,0.3,0.14,0.56,1.0379476975554291,1.025998718614735,1.025998718614735
260209-3,PMBTA-4,0.3,0.56,0.14,0.8827255745959551,1.361024526695111,1.361024526695111
260209-3,PMBTA-5,0.55,0.225,0.225,1.0872654917566802,0.9954622344857328,0.9954622344857328
260209-3,PMPC,1.0,0.0,0.0,0.6633030130756109,1.4302704969241855,
260209-3,PMTAC,0.0,0.0,1.0,0.8220063052354127,0.8662550809373012,0.8662550809373012
260211-1,PMBTA-1,0.8,0.04,0.16,0.973082519226772,0.8514149181261685,0.8514149181261685
260211-1,PMBTA-2,0.8,0.16,0.04,0.9912700062357098,0.8959914759197377,0.8959914759197377
260211-1,PMBTA-3,0.3,0.14,0.56,0.8032633548118894,1.1206981042077675,1.1206981042077675
260211-1,PMBTA-4,0.3,0.56,0.14,1.047911037206402,0.9760757901125346,0.9760757901125346
260211-1,PMBTA-5,0.55,0.225,0.225,0.9503221783413012,0.9867359997428914,0.9867359997428914
260211-1,PMPC,1.0,0.0,0.0,0.8854707960922884,1.213963594857101,1.213963594857101
260211-1,PMTAC,0.0,0.0,1.0,0.414565376423618,1.623511957374557,
260211-2,PMBTA-1,0.8,0.04,0.16,0.940953357252691,0.863715118929397,0.863715118929397
260211-2,PMBTA-2,0.8,0.16,0.04,0.9555099948744236,0.8485762107969449,0.8485762107969449
260211-2,PMBTA-3,0.3,0.14,0.56,1.0016401845207583,0.9166490190771216,0.9166490190771216
260211-2,PMBTA-4,0.3,0.56,0.14,1.0078933880061507,0.9708517692901264,0.9708517692901264
260211-2,PMBTA-5,0.55,0.225,0.225,0.9333675038441824,1.0142944196266372,1.0142944196266372
260211-2,PMPC,1.0,0.0,0.0,1.099641209636084,0.8240529780670256,0.8240529780670256
260211-2,PMTAC,0.0,0.0,1.0,0.6745258841619681,1.0910416884840104,
