policy_id,policy_display,run_id,top_polymer_id,top_family,top_score,top_fog,top_native_rel,theta,alpha,min_fit_r2,min_rea20,pid_norm,frac_MPC,frac_BMA,frac_MTAC
fog_raw,FoG raw,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789089,,,,,PMBTA-3,0.3,0.14,0.56
fog_raw,FoG raw,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,,,,,PMBTA-10,0.11,0.582,0.308
fog_raw,FoG raw,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,,,,,PMBTA-11,0.373,0.615,0.012
fog_raw,FoG raw,260211-1,PMTAC,homopolymer_pmtac,1.7957811987155925,1.7957811987155925,0.4719046629252409,,,,,PMTAC,0.0,0.0,1.0
fog_raw,FoG raw,260211-2,PMBTA-10,pmbta,1.5956638764220237,1.5956638764220237,0.5744917136511195,,,,,PMBTA-10,0.11,0.582,0.308
cons_0.75,Constrained theta=0.75,260209-1,PMBTA-2,pmbta,0.8938563721051337,0.8938563721051337,0.8449750330023531,0.75,,,,PMBTA-2,0.8,0.16,0.04
cons_0.75,Constrained theta=0.75,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.75,,,,PMBTA-10,0.11,0.582,0.308
cons_0.75,Constrained theta=0.75,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.75,,,,PMBTA-11,0.373,0.615,0.012
cons_0.75,Constrained theta=0.75,260211-1,PMBTA-11,pmbta,1.4210387952777173,1.4210387952777173,0.8562668883807939,0.75,,,,PMBTA-11,0.373,0.615,0.012
cons_0.75,Constrained theta=0.75,260211-2,PMBTA-11,pmbta,1.071524111959006,1.071524111959006,1.0284982060481809,0.75,,,,PMBTA-11,0.373,0.615,0.012
logw_1.00,log(FoG)+1.0*log(native),260209-1,PMBTA-11,pmbta,-0.0515285900897808,0.8536327745538196,1.1126289004955134,,1.0,,,PMBTA-11,0.373,0.615,0.012
logw_1.00,log(FoG)+1.0*log(native),260209-2,PMBTA-11,pmbta,-0.07224752931451,0.5146731333425838,1.8075561562721247,,1.0,,,PMBTA-11,0.373,0.615,0.012
logw_1.00,log(FoG)+1.0*log(native),260209-3,PMBTA-11,pmbta,0.2175733945735839,1.4806768551599392,0.8395192073418339,,1.0,,,PMBTA-11,0.373,0.615,0.012
logw_1.00,log(FoG)+1.0*log(native),260211-1,PMBTA-11,pmbta,0.1962149841902567,1.4210387952777173,0.8562668883807939,,1.0,,,PMBTA-11,0.373,0.615,0.012
logw_1.00,log(FoG)+1.0*log(native),260211-2,PMBTA-11,pmbta,0.09718172454158,1.071524111959006,1.0284982060481809,,1.0,,,PMBTA-11,0.373,0.615,0.012
