run_id,run_date_token,has_reference,has_controls,include_for_claim,pmpc_fog,pmtac_fog,best_pmbta_id,best_pmbta_fog,best_pmbta_native_rel,best_pmbta_t50_min,best_pmbta_beats_pmpc,best_pmbta_beats_pmtac,best_pmbta_beats_both,effect_size_claim_pass,top_family_main,top_polymer_main,top_fog_main,top_native_rel_main,top_family_theta_0.60,top_polymer_theta_0.60,top_family_theta_0.75,top_polymer_theta_0.75,theta_sensitivity_evaluable,theta_family_consistent,theta_all_pmbta
260209-1,260209,1,1,1,1.130384649091661,0.4371540033088563,PMBTA-3,1.179609067687257,0.7162562895789087,14.930860117523228,1,1,1,0,pmbta,PMBTA-3,1.179609067687257,0.7162562895789087,pmbta,PMBTA-3,pmbta,PMBTA-2,1,1,1
260209-2,260209,1,1,1,0.6643466644842128,0.5122859627770527,PMBTA-10,0.758335533250903,0.8012837391095745,17.024355263189396,1,1,1,0,pmbta,PMBTA-10,0.758335533250903,0.8012837391095745,pmbta,PMBTA-10,pmbta,PMBTA-10,1,1,1
260209-3,260209,1,1,1,1.4302704969241855,0.8662550809373012,PMBTA-11,1.4806768551599392,0.8395192073418339,13.740395923646917,1,1,1,0,pmbta,PMBTA-11,1.4806768551599392,0.8395192073418339,pmbta,PMBTA-11,pmbta,PMBTA-11,1,1,1
260211-1,260211,1,1,1,1.213963594857101,1.623511957374557,PMBTA-11,1.4200862513785226,0.8562668883807939,16.55982385521643,1,0,0,1,pmbta,PMBTA-11,1.4200862513785226,0.8562668883807939,pmbta,PMBTA-11,pmbta,PMBTA-11,1,1,1
260211-2,260211,1,1,1,0.8240529780670256,1.2588282979563268,PMBTA-10,1.5957776384085527,0.5744917136511195,21.90297522396633,1,1,1,0,pmbta,PMBTA-11,1.071524111959006,1.0284982060481809,pmbta,PMBTA-11,pmbta,PMBTA-11,1,1,1
260211-3,260211,0,0,0,,,,,,,0,0,0,0,,,,,,,,,0,0,0
260211-plate7,260211,0,0,0,,,,,,,0,0,0,0,,,,,,,,,0,0,0
260216-1,260216,1,1,1,1.3741543179379452,2.1969550146665897,PMBTA-10,1.655783171151641,0.7750890425309033,14.495195291164034,1,0,0,0,homopolymer_pmtac,PMTAC,2.1969550146665897,0.7016027655562542,homopolymer_pmtac,PMTAC,pmbta,PMBTA-10,1,0,0
260216-2,260216,1,1,1,1.2178749992834372,1.7046716132319224,PMBTA-10,1.5182693148548712,0.8873054947979475,14.387373253198046,1,0,0,1,homopolymer_pmtac,PMTAC,1.7046716132319224,0.7581814855165875,homopolymer_pmtac,PMTAC,homopolymer_pmtac,PMTAC,1,1,0
260216-3,260216,1,1,1,1.3201379995260296,1.6449104505011864,PMBTA-10,1.8926232232929203,0.7255170673405511,16.942124729062243,1,1,1,0,pmbta,PMBTA-10,1.8926232232929203,0.7255170673405511,pmbta,PMBTA-10,homopolymer_pmtac,PMTAC,1,0,0
Organic_Concentration,,0,0,0,,,,,,,0,0,0,0,,,,,,,,,0,0,0
