run_id,gox_abs0,non_abs0_median,gox_tstart_h0_median,non_tstart_h0_median,gox_start_idx_h0_median,non_start_idx_h0_median,gox_r2_h0_median,non_r2_h0_median
260209-1,24.889999999999997,24.999999999999996,6.0,6.0,0.0,0.0,0.9979808800585728,0.9991322762254016
260209-2,14.797142857142854,26.27666666666666,6.0,6.0,0.0,0.0,0.9993215165456408,0.9993309328282868
260209-3,23.45333333333333,25.03333333333333,6.0,6.0,0.0,0.0,0.9999671965050544,0.9992068157368637
260211-1,32.07333333333333,31.076666666666657,6.0,6.0,0.0,0.0,0.9998179692513176,0.9985652414148536
260211-2,32.51666666666666,31.069999999999997,6.0,6.0,0.0,0.0,0.99925371014583,0.9990587364728764
260211-3,,29.763333333333332,,6.0,,0.0,,0.9994722333921666
260211-plate7,,32.82666666666666,,6.0,,0.0,,0.9995867830793392
260216-1,21.213333333333328,26.733333333333327,6.0,6.0,0.0,0.0,0.9992242167535036,0.9992809888652396
260216-2,20.820952380952377,26.36476190476189,6.0,6.0,0.0,0.0,0.9987767404735328,0.99907059606764
260216-3,20.901904761904756,26.026666666666664,6.0,6.0,0.0,0.0,0.9989136558317117,0.9990551373007512
Organic_Concentration,,16.55190476190476,,6.0,,0.0,,0.9986316127825082
