policy_id,policy_display,n_runs_selected,top_family_pmbta_count,top_family_pmpc_count,top_family_pmtac_count,top_native_rel_median,top_fog_median,unique_top_polymer_count
cons_0.40,Constrained theta=0.40,8,5,0,3,0.7208866784597299,1.609644797891555,4
cons_0.50,Constrained theta=0.50,8,6,0,2,0.7418492764285693,1.538227246784246,4
cons_0.60,Constrained theta=0.60,8,6,0,2,0.779732612313081,1.450381553269231,4
cons_0.70,Constrained theta=0.70,8,6,0,2,0.779732612313081,1.450381553269231,4
cons_0.75,Constrained theta=0.75,8,6,0,2,0.830734182925899,1.450381553269231,4
cons_0.75_r2_0.85,Constrained theta=0.75 + fit_r2>=0.85,8,5,1,2,0.830734182925899,1.3473202250085201,5
cons_0.75_r2_0.90,Constrained theta=0.75 + fit_r2>=0.90,8,5,1,2,0.830734182925899,1.3473202250085201,5
cons_0.75_r2_0.90_rea20_20,Constrained theta=0.75 + fit_r2>=0.90 + REA20>=20,8,5,1,2,0.830734182925899,1.3473202250085201,5
cons_0.80,Constrained theta=0.80,8,7,0,1,0.8506209606915734,1.4315673771013562,5
cons_0.90,Constrained theta=0.90,8,7,1,0,1.032141875116515,1.0910964930909517,7
fog_adj_clip,"FoG * clip(native,0,1)",8,6,1,1,0.8717861915893708,1.450381553269231,5
fog_raw,FoG raw,8,5,0,3,0.7208866784597299,1.609644797891555,4
logw_0.50,log(FoG)+0.5*log(native),8,7,0,1,0.7825181373411925,1.450381553269231,5
logw_1.00,log(FoG)+1.0*log(native),8,8,0,0,1.1949850976393344,1.291241555119515,3
