polymer_id,frac_MPC,frac_BMA,frac_MTAC,log_fog,fog_activity_bonus_penalty,log_fog_activity_bonus_penalty,fog_abs_bonus_penalty,log_fog_abs_bonus_penalty,fog_abs_modulated,log_fog_abs_modulated,fog_solvent_balanced,log_fog_solvent_balanced,objective_loglinear_main,objective_loglinear_main_exp,fog_vs_solvent_control,abs0_vs_solvent_control,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,solvent_group,solvent_control_polymer_id,fog_native_constrained,log_fog_native_constrained,fog_native_soft,log_fog_native_soft,native_activity_soft_penalty,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog_constraint_reason,run_id,input_t50_file,input_tidy
PMPC,1.0,0.0,0.0,0.1225579722284378,0.4415801576249258,-0.8173957179433352,0.4415801576249258,-0.8173957179433352,0.4415801576249258,-0.8173957179433352,0.4415801576249258,-0.8173957179433352,-0.3474188728574486,0.7065093286876629,1.130384649091661,0.6250167403240924,0.3906459256853539,1.0,0.3906459256853539,0.3906459256853539,1.0,0.3906459256853539,ETOH,GOx,,,0.4415801576249258,-0.8173957179433352,0.3906459256853539,0.6250167403240924,0.7,0,native_activity_below_threshold,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMTAC,0.0,0.0,1.0,-0.8274697356507289,0.3000869314053365,-1.2036830749504237,0.3000869314053365,-1.2036830749504237,0.3000869314053365,-1.2036830749504237,0.3000869314053365,-1.2036830749504237,-1.0155764053005762,0.3621935993422758,0.4371540033088563,0.8285263239059948,0.6864558694051814,1.0,0.6864558694051814,0.6864558694051814,1.0,0.6864558694051814,PBS,GOx,0.4371540033088563,-0.8274697356507289,0.3000869314053365,-1.2036830749504237,0.6864558694051814,0.8285263239059948,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-1,0.8,0.04,0.16,-0.4982646890090738,0.6139534732357935,-0.4878361301951134,0.6139534732357935,-0.4878361301951134,0.6139534732357935,-0.4878361301951134,0.6139534732357935,-0.4878361301951134,-0.421348289733626,0.6561615272829181,0.6075840927854106,1.0799517878666127,1.0,1.0104831257533144,1.0104831257533144,1.0,1.0104831257533144,1.0104831257533144,ETOH,GOx,0.6075840927854106,-0.4982646890090738,0.6075840927854106,-0.4982646890090738,1.0,1.0799517878666127,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-2,0.8,0.16,0.04,-0.1122101743159592,0.6381980810717572,-0.4491065719244678,0.6381980810717572,-0.4491065719244678,0.6381980810717572,-0.4491065719244678,0.6381980810717572,-0.4491065719244678,-0.2806583731202135,0.7552863175188989,0.8938563721051337,0.844975033002353,0.7139828063973276,1.0,0.7139828063973276,0.7139828063973276,1.0,0.7139828063973276,PBS,GOx,0.8938563721051337,-0.1122101743159592,0.6381980810717572,-0.4491065719244678,0.7139828063973276,0.844975033002353,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-3,0.3,0.14,0.56,0.1651830850159569,0.6051666680902191,-0.502251374443525,0.6051666680902191,-0.502251374443525,0.6051666680902191,-0.502251374443525,0.6051666680902191,-0.502251374443525,-0.168534144713784,0.8449024139753105,1.179609067687257,0.7162562895789087,0.5130230723613456,1.0,0.5130230723613456,0.5130230723613456,1.0,0.5130230723613456,PBS,GOx,1.179609067687257,0.1651830850159569,0.6051666680902191,-0.502251374443525,0.5130230723613456,0.7162562895789087,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-4,0.3,0.56,0.14,-0.1711002336803505,0.8427370985971165,-0.1711002336803505,0.8427370985971165,-0.1711002336803505,0.8427370985971165,-0.1711002336803505,0.8427370985971165,-0.1711002336803505,-0.1418028096838716,0.8677923598651704,0.8427370985971165,1.0297308155885896,1.0,1.0,1.0,1.0,1.0,1.0,PBS,GOx,0.8427370985971165,-0.1711002336803505,0.8427370985971165,-0.1711002336803505,1.0,1.0297308155885896,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-5,0.55,0.225,0.225,-0.218787508232686,0.8028469304989376,-0.2195912052497305,0.8028469304989376,-0.2195912052497305,0.8028469304989376,-0.2195912052497305,0.8028469304989376,-0.2195912052497305,-0.2191893567412083,0.803169618171968,0.8034924355426162,0.9995982322217756,0.9991966258608984,1.0,0.9991966258608984,0.9991966258608984,1.0,0.9991966258608984,PBS,GOx,0.8034924355426162,-0.218787508232686,0.8028469304989376,-0.2195912052497305,0.9991966258608984,0.9995982322217756,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-6,0.348,0.443,0.209,-0.2747042251614571,0.759796818775084,-0.2747042251614571,0.759796818775084,-0.2747042251614571,0.759796818775084,-0.2747042251614571,0.759796818775084,-0.2747042251614571,-0.2435320384415177,0.7838543621578299,0.759796818775084,1.031663127283858,1.0,1.0,1.0,1.0,1.0,1.0,PBS,GOx,0.759796818775084,-0.2747042251614571,0.759796818775084,-0.2747042251614571,1.0,1.031663127283858,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-7,0.123,0.678,0.199,-0.2247849033405435,0.8205380003567981,-0.1977950558659371,0.8205380003567981,-0.1977950558659371,0.8205380003567981,-0.1977950558659371,0.8205380003567981,-0.1977950558659371,-0.104193440562434,0.9010509807532926,0.7986879954041829,1.1281639212535153,1.0,1.0273573724387304,1.0273573724387304,1.0,1.0273573724387304,1.0273573724387304,PBS,GOx,0.7986879954041829,-0.2247849033405435,0.7986879954041829,-0.2247849033405435,1.0,1.1281639212535153,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
PMBTA-8,0.095,0.752,0.153,-0.1441324777704668,0.8657730447788528,-0.1441324777704668,0.8657730447788528,-0.1441324777704668,0.8657730447788528,-0.1441324777704668,0.8657730447788528,-0.1441324777704668,-0.1341383909878665,0.8744690375950321,0.8657730447788528,1.0100441944556042,1.0,1.0,1.0,1.0,1.0,1.0,PBS,GOx,0.8657730447788528,-0.1441324777704668,0.8657730447788528,-0.1441324777704668,1.0,1.0100441944556042,0.7,1,,260209-1,t50__260209-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-1/extract/tidy.csv
