run_id,lineage_row_id,polymer_id,round_id,source_run_id,source_n_observations,source_objective_source
bo_learning_sync_2026-02-14,0,PMBTA-1,R3,260209-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,0,PMBTA-1,R3,260209-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,0,PMBTA-1,R3,260209-3,5,robust_round_aggregated
bo_learning_sync_2026-02-14,0,PMBTA-1,R3,260211-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,0,PMBTA-1,R3,260211-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,1,PMBTA-2,R3,260209-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,1,PMBTA-2,R3,260209-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,1,PMBTA-2,R3,260209-3,5,robust_round_aggregated
bo_learning_sync_2026-02-14,1,PMBTA-2,R3,260211-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,1,PMBTA-2,R3,260211-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,2,PMBTA-3,R3,260209-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,2,PMBTA-3,R3,260209-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,2,PMBTA-3,R3,260209-3,5,robust_round_aggregated
bo_learning_sync_2026-02-14,2,PMBTA-3,R3,260211-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,2,PMBTA-3,R3,260211-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,3,PMBTA-4,R3,260209-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,3,PMBTA-4,R3,260209-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,3,PMBTA-4,R3,260209-3,5,robust_round_aggregated
bo_learning_sync_2026-02-14,3,PMBTA-4,R3,260211-1,5,robust_round_aggregated
bo_learning_sync_2026-02-14,3,PMBTA-4,R3,260211-2,5,robust_round_aggregated
bo_learning_sync_2026-02-14,4,PMBTA-5,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,4,PMBTA-5,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,4,PMBTA-5,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,4,PMBTA-5,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,4,PMBTA-5,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,4,PMBTA-5,R3,260211-plate7,6,robust_round_aggregated
bo_learning_sync_2026-02-14,5,PMPC,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,5,PMPC,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,5,PMPC,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,5,PMPC,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,5,PMPC,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,5,PMPC,R3,260211-3,6,robust_round_aggregated
