polymer_id,round_id,frac_MPC,frac_BMA,frac_MTAC,log_fog,log_fog_native_constrained,fog_native_constrained,native_feasible_fraction,objective_source,run_ids,n_observations,log_fog_mad
PMBTA-1,R3,0.8,0.04,0.16,-0.1608557038644848,-0.1608557038644848,0.8514149181261685,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2",5,0.0742976967896406
PMBTA-2,R3,0.8,0.16,0.04,-0.1122101743159592,-0.1122101743159592,0.8938563721051337,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2",5,0.0293401403800345
PMBTA-3,R3,0.3,0.14,0.56,0.0256664978342844,0.0256664978342844,1.0259987186147352,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2",5,0.1126971269251019
PMBTA-4,R3,0.3,0.56,0.14,-0.0295814801298556,-0.0295814801298556,0.9708517692901264,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2",5,0.1415187535504948
PMBTA-5,R3,0.55,0.225,0.225,-0.0089504226080238,-0.0089504226080238,0.9910991171143122,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-plate7",6,0.0250336395942702
PMPC,R3,1.0,0.0,0.0,0.071467301507483,-0.0407385715934609,0.962553646564554,0.6666666666666666,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.1175321234664643
PMBTA-10,R3,0.11,0.582,0.308,0.0899460538494923,0.1945638368010653,1.214781028144728,0.5,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.2034513925772264
PMBTA-11,R3,0.373,0.615,0.012,0.150096221337447,0.150096221337447,1.1619460413516305,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3,260211-plate7",7,0.0680032544453944
PMBTA-6,R3,0.348,0.443,0.209,-0.199724906095579,-0.199724906095579,0.8193680521388701,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.1152851305732445
PMBTA-7,R3,0.123,0.678,0.199,-0.215114415508152,-0.215114415508152,0.8064868737929902,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.1063329747311516
PMBTA-8,R3,0.095,0.752,0.153,-0.2332913805211614,-0.2332913805211614,0.7950724945467897,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.1186924494244931
PMBTA-9,R3,0.379,0.533,0.088,-0.1491145362964256,-0.1491145362964256,0.8618938828505596,1.0,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.0830510039085252
PMTAC,R3,0.0,0.0,1.0,-0.2097964083347375,-0.3888649617628182,0.6792633817352884,0.6666666666666666,robust_round_aggregated,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3",6,0.2618267485345014
