run_id,bo_run_id,polymer_id,mean_t50_min,n_observations,rounds,run_ids,rank_t50_desc
bo_r1_7pt,bo_r1_7pt,PMBTA-3,28.402110533307262,5,"R1,R2,R3","260203-2,260204-1,260204-2",1
bo_r1_7pt,bo_r1_7pt,PMBTA-4,25.766140716671025,5,"R1,R2,R3","260203-2,260204-1,260204-2",2
bo_r1_7pt,bo_r1_7pt,PMPC,22.321814589144118,5,"R1,R2,R3","260203-2,260204-1,260204-2",3
bo_r1_7pt,bo_r1_7pt,PMBTA-2,20.100830550911716,5,"R1,R2,R3","260203-2,260204-1,260204-2",4
bo_r1_7pt,bo_r1_7pt,PMBTA-1,15.230576163977798,5,"R1,R2,R3","260203-2,260204-1,260204-2",5
bo_r1_7pt,bo_r1_7pt,PMBTA-5,14.835279259096499,5,"R1,R2,R3","260203-2,260204-1,260204-2",6
bo_r1_7pt,bo_r1_7pt,PMTAC,13.174388434926698,3,R1,260203-2,7
bo_r1_7pt,bo_r1_7pt,PMBTA-10,12.49321734127825,1,R3,260204-2,8
bo_r1_7pt,bo_r1_7pt,PMBTA-7,12.29419199712388,2,"R2,R3","260204-1,260204-2",9
bo_r1_7pt,bo_r1_7pt,PMBTA-6,11.528857697261676,2,"R2,R3","260204-1,260204-2",10
bo_r1_7pt,bo_r1_7pt,PMBTA-9,11.42605621898705,1,R3,260204-2,11
bo_r1_7pt,bo_r1_7pt,PMBTA-8,10.946457296119766,2,"R2,R3","260204-1,260204-2",12
bo_r1_7pt,bo_r1_7pt,PMBTA-11,9.869421781528844,1,R3,260204-2,13
