run_id,bo_run_id,round_id,polymer_id,mean_t50_min,n_observations,run_ids,rank_t50_desc
bo_r1_7pt,bo_r1_7pt,R1,PMBTA-3,37.623973092925034,3,260203-2,1
bo_r1_7pt,bo_r1_7pt,R1,PMBTA-4,33.548681252389876,3,260203-2,2
bo_r1_7pt,bo_r1_7pt,R1,PMPC,28.424120497140866,3,260203-2,3
bo_r1_7pt,bo_r1_7pt,R1,PMBTA-2,24.227047743508624,3,260203-2,4
bo_r1_7pt,bo_r1_7pt,R1,PMBTA-1,15.926254879151282,3,260203-2,5
bo_r1_7pt,bo_r1_7pt,R1,PMBTA-5,15.404512587419466,3,260203-2,6
bo_r1_7pt,bo_r1_7pt,R1,PMTAC,13.174388434926698,3,260203-2,7
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-3,14.569316693880609,1,260204-1,1
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-1,14.18705809121757,1,260204-1,2
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-4,14.092329913092753,1,260204-1,3
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-5,13.981429266612048,1,260204-1,4
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-2,13.911504762016348,1,260204-1,5
bo_r1_7pt,bo_r1_7pt,R2,PMPC,13.168355727148988,1,260204-1,6
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-7,12.29419199712388,1,260204-1,7
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-6,11.528857697261676,1,260204-1,8
bo_r1_7pt,bo_r1_7pt,R2,PMBTA-8,10.946457296119766,1,260204-1,9
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-3,14.569316693880609,1,260204-2,1
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-1,14.18705809121757,1,260204-2,2
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-4,14.092329913092753,1,260204-2,3
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-5,13.981429266612048,1,260204-2,4
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-2,13.911504762016348,1,260204-2,5
bo_r1_7pt,bo_r1_7pt,R3,PMPC,13.168355727148988,1,260204-2,6
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-10,12.49321734127825,1,260204-2,7
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-7,12.29419199712388,1,260204-2,8
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-6,11.528857697261676,1,260204-2,9
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-9,11.42605621898705,1,260204-2,10
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-8,10.946457296119766,1,260204-2,11
bo_r1_7pt,bo_r1_7pt,R3,PMBTA-11,9.869421781528844,1,260204-2,12
