plate_id,well,slope_old,r2_old,n_old,t_start_old,t_end_old,select_method_used_old,slope_new,r2_new,n_new,t_start_new,t_end_new,select_method_used_new,_merge,changed,run_id
plate1,A5,0.2805012531328321,0.9719652576728391,20.0,6.0,576.0,initial_positive_ext,0.2705627705627706,0.965885600571285,21.0,6.0,606.0,initial_positive_ext,both,True,260205-R1
plate1,A6,0.145050505050505,0.8825954459852765,10.0,6.0,276.0,initial_positive,0.1357142857142858,0.8100224382946895,8.0,6.0,216.0,initial_positive,both,True,260205-R1
plate1,A7,0.145050505050505,0.8825954459852765,10.0,6.0,276.0,initial_positive,0.1357142857142858,0.8100224382946895,8.0,6.0,216.0,initial_positive,both,True,260205-R1
plate1,E6,2.447619047619048,0.9769333737621748,7.0,6.0,186.0,initial_positive_ext_tangent,2.2222222222222228,0.9725891945340488,9.0,6.0,246.0,initial_positive_ext_intskip1_tangent,both,True,260205-R1
plate1,F6,3.832380952380951,0.955878158205431,6.0,6.0,156.0,initial_positive,3.7095238095238106,0.9684106881826132,7.0,6.0,186.0,initial_positive,both,True,260205-R1
plate1,G4,2.66904761904762,0.9931911012474944,7.0,6.0,186.0,initial_positive_ext_intskip1_tangent,2.66904761904762,0.9931911012474944,7.0,6.0,186.0,initial_positive_ext_tangent,both,True,260205-R1
plate1,G7,0.251111111111111,0.9354578754578756,9.0,6.0,246.0,initial_positive,0.2527131782945735,0.9917876740453172,5.0,6.0,156.0,initial_positive_intskip1,both,True,260205-R1
plate1,H6,0.3142800788954635,0.9806661051582272,14.0,6.0,426.0,initial_positive_ext_skip1,0.2919699595609474,0.9622956169952144,15.0,6.0,456.0,initial_positive_ext_skip1,both,True,260205-R1
plate1,A2,4.630476190476188,0.9802877341029244,6.0,6.0,156.0,initial_positive,4.1000000000000005,0.9942091539003438,5.0,6.0,186.0,initial_positive_ext_intskip2,both,True,260205-R2
plate1,B5,2.409523809523809,0.9883921429755274,6.0,6.0,156.0,initial_positive_ext_tangent,2.326190476190477,0.9900849300063894,7.0,6.0,186.0,initial_positive_ext_tangent,both,True,260205-R2
plate1,C5,1.9944444444444456,0.9941661404732544,8.0,6.0,216.0,initial_positive_ext_intskip1_tangent,1.9944444444444456,0.9941661404732544,8.0,6.0,216.0,initial_positive_ext_tangent,both,True,260205-R2
plate1,D3,4.866666666666665,0.9905572697869808,4.0,6.0,96.0,initial_positive_tangent,4.866666666666665,0.9905572697869808,4.0,6.0,96.0,initial_positive_ext_tangent,both,True,260205-R2
plate1,D5,2.043223443223442,0.982956240652716,13.0,6.0,366.0,initial_positive_ext,1.9892773892773887,0.9805369177033624,12.0,36.0,366.0,initial_positive_ext,both,True,260205-R2
plate1,D6,0.7116013071895425,0.9779850523076415,17.0,126.0,606.0,initial_positive_ext,0.7129870129870131,0.9862107643860646,21.0,6.0,606.0,initial_positive_ext,both,True,260205-R2
plate1,F5,1.6092929292929288,0.9887435862006468,10.0,66.0,336.0,initial_positive_ext_skip1_tangent,1.6092929292929288,0.9887435862006468,10.0,66.0,336.0,initial_positive_ext_tangent,both,True,260205-R2
plate1,F6,0.295930735930736,0.979795643945218,21.0,6.0,606.0,initial_positive_ext_skip1_tangent_post_full_ext,0.2979448621553885,0.9773068513175984,20.0,36.0,606.0,initial_positive_ext,both,True,260205-R2
plate1,H2,3.713333333333333,0.957877934620182,5.0,6.0,126.0,initial_positive,4.473333333333333,0.9971342199386536,4.0,6.0,96.0,initial_positive_ext_intskip1_tangent,both,True,260205-R2
plate1,H3,3.58,0.9972644902476138,5.0,6.0,126.0,initial_positive_tangent,3.58,0.9972644902476138,5.0,6.0,126.0,initial_positive_ext_tangent,both,True,260205-R2
plate1,H4,1.6500000000000006,0.9764492753623188,7.0,6.0,186.0,initial_positive_ext_intskip1_tangent,1.8533333333333333,0.9780675522390858,9.0,6.0,246.0,initial_positive_ext_tangent,both,True,260205-R2
plate1,H6,0.2899567099567099,0.9616258246613616,21.0,6.0,606.0,initial_positive_post_full_ext,0.2899567099567099,0.9616258246613616,21.0,6.0,606.0,initial_positive_ext,both,True,260205-R2
plate1,H7,0.1399019607843137,0.8672776948450887,16.0,66.0,516.0,initial_positive_post_long_ext,0.1058008658008658,0.795241882229307,21.0,6.0,606.0,last_resort_post_full_ext,both,True,260205-R2
plate2,A6,0.3216541353383459,0.9599093069983003,20.0,36.0,606.0,initial_positive_intskip2_tangent_post_long_ext,0.2999999999999999,0.9773166023166022,5.0,276.0,396.0,initial_positive_skip1_tangent,both,True,260205-R2
plate2,B5,1.1071428571428574,0.970280190982194,7.0,126.0,306.0,initial_positive_ext,0.8575163398692811,0.961748926978678,17.0,126.0,606.0,initial_positive_ext,both,True,260205-R2
plate2,B6,0.2309523809523809,0.8247720897615709,7.0,96.0,276.0,initial_positive,0.1953216374269005,0.9039960065865392,19.0,66.0,606.0,last_resort_post_long_ext,both,True,260205-R2
plate2,C6,0.2808020050125314,0.9622295278200396,20.0,6.0,576.0,initial_positive_ext_post_long_ext,0.2741125541125541,0.9621425321544284,21.0,6.0,606.0,initial_positive_ext,both,True,260205-R2
plate1,A2,3.868571428571427,0.9525181932695004,6.0,6.0,156.0,initial_positive,2.916666666666665,0.996410211916795,6.0,36.0,216.0,initial_positive_ext_intskip1,both,True,260205-R3
plate1,A7,0.59810379241517,0.9850148012560648,17.0,6.0,516.0,initial_positive_ext_intskip1,0.523809523809524,0.9712634451757908,7.0,6.0,186.0,initial_positive_ext_tangent,both,True,260205-R3
plate1,B1,4.933333333333333,0.9854237898146482,4.0,6.0,96.0,initial_positive_intskip1_tangent,4.933333333333333,0.9854237898146482,4.0,6.0,96.0,initial_positive_ext_tangent,both,True,260205-R3
plate1,B3,3.155555555555557,0.9764159182607582,8.0,6.0,216.0,initial_positive_ext,2.8922222222222222,0.9620290385969696,9.0,6.0,246.0,initial_positive_ext,both,True,260205-R3
plate1,B5,1.55,0.9807011973875182,9.0,36.0,276.0,initial_positive_ext_tangent,1.6630303030303033,0.9758469266228484,10.0,6.0,276.0,initial_positive_ext_tangent,both,True,260205-R3
plate1,F6,0.3504739336492892,0.9912792764450484,15.0,126.0,576.0,initial_positive_ext_intskip1,0.3354016280141298,0.9825097143284516,16.0,126.0,606.0,initial_positive_ext_intskip1,both,True,260205-R3
plate1,H5,2.1657142857142846,0.990522588282468,6.0,6.0,156.0,initial_positive_ext_tangent,1.9674603174603185,0.9770333355114288,8.0,6.0,216.0,initial_positive_ext_tangent,both,True,260205-R3
plate1,H7,0.2107769423558897,0.943619935914838,20.0,6.0,576.0,initial_positive_post_long_ext,0.2046753246753246,0.943082984386848,21.0,6.0,606.0,initial_positive_post_full_ext,both,True,260205-R3
