run,plate,well,heat_min,polymer_id,old_slope,old_r2,old_t_start,old_t_end,old_method,new_slope,new_r2,new_t_start,new_t_end,new_method
260205-R1,plate1,H7,60.0,PMTAC,0.2266666666666666,0.6963855421686747,96.0,186.0,initial_positive,0.1358395989974938,0.881469845355999,6.0,576.0,initial_positive_post_long_ext
260205-R2,plate1,F6,40.0,PMBTA-8,0.3595238095238094,0.9790879422878735,276.0,456.0,initial_positive_ext_skip1_tangent,0.295930735930736,0.979795643945218,6.0,606.0,initial_positive_ext_skip1_tangent_post_full_ext
260205-R2,plate1,G7,60.0,PMPC,0.0896825396825397,0.5677382063936687,6.0,216.0,last_resort,0.19316017316017317,0.9284458380588552,6.0,606.0,last_resort_post_full_ext
260205-R2,plate1,H6,40.0,PMTAC,0.2595238095238096,0.8991448248026034,6.0,216.0,initial_positive,0.28995670995670997,0.9616258246613615,6.0,606.0,initial_positive_post_full_ext
260205-R2,plate1,H7,60.0,PMTAC,0.198095238095238,0.8584126984126984,186.0,336.0,initial_positive,0.13990196078431372,0.8672776948450887,66.0,516.0,initial_positive_post_long_ext
260205-R2,plate2,A6,40.0,PMBTA-1,0.6266666666666669,0.9817777777777776,216.0,306.0,initial_positive_intskip2_tangent,0.32165413533834597,0.9599093069983005,36.0,606.0,initial_positive_intskip2_tangent_post_long_ext
260205-R2,plate2,A7,60.0,PMBTA-1,0.1199999999999999,0.6000000000000003,36.0,126.0,last_resort,0.12401002506265671,0.9208444113324772,36.0,606.0,last_resort_post_long_ext
260205-R2,plate2,C6,40.0,PMBTA-3,0.4015873015873016,0.9835584443522488,366.0,576.0,initial_positive_ext,0.28080200501253144,0.9622295278200395,6.0,576.0,initial_positive_ext_post_long_ext
260205-R2,plate2,C7,60.0,PMBTA-3,0.2266666666666666,0.8892307692307692,66.0,156.0,initial_positive,0.12827067669172937,0.8894715788658712,36.0,606.0,initial_positive_post_long_ext
260205-R3,plate1,H7,60.0,PMBTA-11,0.3352380952380953,0.9633837860252954,186.0,336.0,initial_positive,0.21077694235588978,0.9436199359148381,6.0,576.0,initial_positive_post_long_ext
