round_id,run_id,reference_polymer_id,heat_min,plate_id,well,abs_activity,REA_percent
R3,260209-1,GOX,0.0,plate1,A1,24.889999999999997,100.0
R3,260209-1,GOX,5.0,plate1,A2,18.546666666666667,74.51453060131246
R3,260209-1,GOX,10.0,plate1,A3,15.11,60.707111289674586
R3,260209-1,GOX,15.0,plate1,A4,12.119999999999996,48.69425472077139
R3,260209-1,GOX,20.0,plate1,A5,8.414285714285718,33.80588876772085
R3,260209-1,GOX,40.0,plate1,A6,0.7150649350649348,2.872900502470611
R3,260209-1,GOX,60.0,plate1,A7,0.1437662337662336,0.5776064032391871
R3,260209-2,GOX,0.0,plate1,A1,14.797142857142854,100.0
R3,260209-2,GOX,5.0,plate1,A2,12.66466165413534,85.58856109185886
R3,260209-2,GOX,10.0,plate1,A3,14.206666666666662,96.00952564845208
R3,260209-2,GOX,15.0,plate1,A4,12.435317460317464,84.03863894788789
R3,260209-2,GOX,20.0,plate1,A5,8.716269841269845,58.90508678209011
R3,260209-2,GOX,40.0,plate1,A6,0.734285714285714,4.962347943618458
R3,260209-2,GOX,60.0,plate1,A7,0.156017316017316,1.0543746013914006
R3,260209-3,GOX,0.0,plate1,A1,23.45333333333333,100.0
R3,260209-3,GOX,5.0,plate1,A2,13.448571428571425,57.34183383415901
R3,260209-3,GOX,10.0,plate1,A3,12.233333333333327,52.16031836270608
R3,260209-3,GOX,15.0,plate1,A4,7.909523809523814,33.72451880126698
R3,260209-3,GOX,20.0,plate1,A5,6.122857142857143,26.10655404856656
R3,260209-3,GOX,40.0,plate1,A6,0.6529870129870129,2.7841970422982367
R3,260209-3,GOX,60.0,plate1,A7,0.1303504199247031,0.555786327137734
R3,260211-1,GOX,0.0,plate1,A1,32.07333333333333,100.0
R3,260211-1,GOX,5.0,plate1,A2,24.335238095238086,75.87374172283752
R3,260211-1,GOX,10.0,plate1,A3,21.825714285714284,68.04941057695163
R3,260211-1,GOX,15.0,plate1,A4,11.480952380952386,35.79594381922382
R3,260211-1,GOX,20.0,plate1,A5,9.027619047619044,28.146806425750498
R3,260211-1,GOX,40.0,plate1,A6,0.6088744588744591,1.898382224717707
R3,260211-1,GOX,60.0,plate1,A7,0.2633333333333327,0.8210351278320498
R3,260211-2,GOX,0.0,plate1,A1,32.51666666666666,100.0
R3,260211-2,GOX,5.0,plate1,A2,27.926666666666662,85.88416196822145
R3,260211-2,GOX,10.0,plate1,A3,25.286666666666665,77.76524859046644
R3,260211-2,GOX,15.0,plate1,A4,14.749999999999996,45.361353152229626
R3,260211-2,GOX,20.0,plate1,A5,9.239047619047614,28.41326792121256
R3,260211-2,GOX,40.0,plate1,A6,0.9114285714285696,2.8029581899392206
R3,260211-2,GOX,60.0,plate1,A7,0.1806060606060603,0.5554261218023384
