run_id,plate_id,row,well_n,well_n1,cur_slope_n,cur_slope_n1,cur_inversion,new_slope_n,new_slope_n1,new_inversion,n_changed,n_reason
260205-R1,plate1,A,A1,A2,5.793333333333333,3.82095238095238,False,5.793333333333333,3.82095238095238,False,False,keep
260205-R1,plate1,A,A2,A3,3.82095238095238,2.466666666666667,False,3.82095238095238,2.466666666666667,False,False,keep
260205-R1,plate1,A,A3,A4,2.466666666666667,1.214632034632035,False,2.466666666666667,1.214632034632035,False,False,keep
260205-R1,plate1,A,A4,A5,1.214632034632035,0.2805012531328321,False,1.214632034632035,0.2805012531328321,False,False,keep
260205-R1,plate1,A,A5,A6,0.2805012531328321,0.1833333333333334,False,0.2805012531328321,0.1833333333333334,False,False,keep
260205-R1,plate1,A,A6,A7,0.1833333333333334,0.1833333333333334,False,0.1833333333333334,0.1833333333333334,False,False,keep
260205-R1,plate1,B,B1,B2,6.859999999999999,5.986666666666665,False,6.859999999999999,5.986666666666665,False,False,keep
260205-R1,plate1,B,B2,B3,5.986666666666665,5.207619047619046,False,5.986666666666665,5.207619047619046,False,False,keep
260205-R1,plate1,B,B3,B4,5.207619047619046,4.344761904761904,False,5.207619047619046,4.344761904761904,False,False,keep
260205-R1,plate1,B,B4,B5,4.344761904761904,3.839999999999999,False,4.344761904761904,3.839999999999999,False,False,keep
260205-R1,plate1,B,B5,B6,3.839999999999999,1.3951510403064336,False,3.839999999999999,1.3951510403064336,False,False,keep
260205-R1,plate1,B,B6,B7,1.3951510403064336,0.9124812030075192,False,1.3951510403064336,0.9124812030075192,False,False,keep
260205-R1,plate1,C,C1,C2,7.539999999999999,6.039999999999998,False,7.539999999999999,6.039999999999998,False,False,keep
260205-R1,plate1,C,C2,C3,6.039999999999998,5.52,False,6.039999999999998,5.52,False,False,keep
260205-R1,plate1,C,C3,C4,5.52,5.066666666666665,False,5.52,5.066666666666665,False,False,keep
260205-R1,plate1,C,C4,C5,5.066666666666665,3.868571428571428,False,5.066666666666665,3.868571428571428,False,False,keep
260205-R1,plate1,C,C5,C6,3.868571428571428,1.4997668997668996,False,3.868571428571428,1.4997668997668996,False,False,keep
260205-R1,plate1,C,C6,C7,1.4997668997668996,0.7375757575757577,False,1.4997668997668996,0.7375757575757577,False,False,keep
260205-R1,plate1,D,D1,D2,6.119999999999998,7.586666666666666,True,6.119999999999998,7.586666666666666,True,False,keep
260205-R1,plate1,D,D2,D3,7.586666666666666,6.233333333333332,False,7.586666666666666,6.233333333333332,False,False,keep
260205-R1,plate1,D,D3,D4,6.233333333333332,5.839999999999999,False,6.233333333333332,5.839999999999999,False,False,keep
260205-R1,plate1,D,D4,D5,5.839999999999999,4.319999999999999,False,5.839999999999999,4.319999999999999,False,False,keep
260205-R1,plate1,D,D5,D6,4.319999999999999,3.9066666666666654,False,4.319999999999999,3.9066666666666654,False,False,keep
260205-R1,plate1,D,D6,D7,3.9066666666666654,1.9142857142857133,False,3.9066666666666654,1.9142857142857133,False,False,keep
260205-R1,plate1,E,E1,E2,5.993333333333331,6.499999999999998,True,7.053333333333332,6.499999999999998,False,True,underestimate_to_tangent
260205-R1,plate1,E,E2,E3,6.499999999999998,6.633333333333332,True,6.499999999999998,6.633333333333332,True,False,keep
260205-R1,plate1,E,E3,E4,6.633333333333332,5.5666666666666655,False,6.633333333333332,5.5666666666666655,False,False,keep
260205-R1,plate1,E,E4,E5,5.5666666666666655,4.177142857142855,False,5.5666666666666655,4.177142857142855,False,False,keep
260205-R1,plate1,E,E5,E6,4.177142857142855,2.447619047619048,False,4.177142857142855,2.447619047619048,False,False,keep
260205-R1,plate1,E,E6,E7,2.447619047619048,1.4088888888888889,False,2.447619047619048,1.4088888888888889,False,False,keep
260205-R1,plate1,F,F1,F2,6.653333333333332,5.986666666666666,False,6.653333333333332,7.866666666666665,True,False,keep
260205-R1,plate1,F,F2,F3,5.986666666666666,6.393333333333333,True,7.866666666666665,6.393333333333333,False,True,underestimate_to_tangent
260205-R1,plate1,F,F3,F4,6.393333333333333,6.5666666666666655,True,6.393333333333333,6.5666666666666655,True,False,keep
260205-R1,plate1,F,F4,F5,6.5666666666666655,6.186666666666665,False,6.5666666666666655,6.186666666666665,False,False,keep
260205-R1,plate1,F,F5,F6,6.186666666666665,3.832380952380951,False,6.186666666666665,4.579999999999999,False,False,keep
260205-R1,plate1,F,F6,F7,3.832380952380951,2.253333333333333,False,4.579999999999999,2.253333333333333,False,True,underestimate_to_tangent
260205-R1,plate1,G,G1,G2,6.233333333333332,5.499999999999999,False,6.233333333333332,5.499999999999999,False,False,keep
260205-R1,plate1,G,G2,G3,5.499999999999999,4.100952380952379,False,5.499999999999999,4.100952380952379,False,False,keep
260205-R1,plate1,G,G3,G4,4.100952380952379,2.744761904761904,False,4.100952380952379,2.744761904761904,False,False,keep
260205-R1,plate1,G,G4,G5,2.744761904761904,1.798534798534798,False,2.744761904761904,1.798534798534798,False,False,keep
260205-R1,plate1,G,G5,G6,1.798534798534798,0.5460389708910418,False,1.798534798534798,0.5460389708910418,False,False,keep
260205-R1,plate1,G,G6,G7,0.5460389708910418,0.2812745098039216,False,0.5460389708910418,0.2812745098039216,False,False,keep
260205-R1,plate1,H,H1,H2,5.979999999999999,5.686666666666666,False,5.979999999999999,5.686666666666666,False,False,keep
260205-R1,plate1,H,H2,H3,5.686666666666666,4.1933333333333325,False,5.686666666666666,4.1933333333333325,False,False,keep
260205-R1,plate1,H,H3,H4,4.1933333333333325,2.478095238095237,False,4.1933333333333325,2.478095238095237,False,False,keep
260205-R1,plate1,H,H4,H5,2.478095238095237,1.8333333333333328,False,2.478095238095237,1.8333333333333328,False,False,keep
260205-R1,plate1,H,H5,H6,1.8333333333333328,0.3142800788954635,False,1.8333333333333328,0.3142800788954635,False,False,keep
260205-R1,plate1,H,H6,H7,0.3142800788954635,0.1358395989974938,False,0.3142800788954635,0.1358395989974938,False,False,keep
260205-R2,plate1,A,A1,A2,6.72,4.630476190476188,False,6.72,4.630476190476188,False,False,keep
260205-R2,plate1,A,A2,A3,4.630476190476188,3.9,False,4.630476190476188,3.9,False,False,keep
260205-R2,plate1,A,A3,A4,3.9,2.853333333333333,False,3.9,2.853333333333333,False,False,keep
260205-R2,plate1,A,A4,A5,2.853333333333333,1.7885714285714276,False,2.853333333333333,1.7885714285714276,False,False,keep
260205-R2,plate1,A,A5,A6,1.7885714285714276,0.4590476190476189,False,1.7885714285714276,0.4590476190476189,False,False,keep
260205-R2,plate1,A,A6,A7,0.4590476190476189,0.2933333333333333,False,0.4590476190476189,0.2933333333333333,False,False,keep
260205-R2,plate1,B,B1,B2,4.062857142857141,6.106666666666665,True,5.96,6.106666666666665,True,True,underestimate_to_tangent
260205-R2,plate1,B,B2,B3,6.106666666666665,4.913333333333332,False,6.106666666666665,4.913333333333332,False,False,keep
260205-R2,plate1,B,B3,B4,4.913333333333332,3.866666666666666,False,4.913333333333332,3.866666666666666,False,False,keep
260205-R2,plate1,B,B4,B5,3.866666666666666,2.409523809523809,False,3.866666666666666,2.409523809523809,False,False,keep
260205-R2,plate1,B,B5,B6,2.409523809523809,0.6374891774891774,False,2.409523809523809,0.6374891774891774,False,False,keep
260205-R2,plate1,B,B6,B7,0.6374891774891774,0.3466666666666667,False,0.6374891774891774,0.3466666666666667,False,False,keep
260205-R2,plate1,C,C1,C2,6.206666666666666,5.786666666666664,False,6.206666666666666,5.786666666666664,False,False,keep
260205-R2,plate1,C,C2,C3,5.786666666666664,4.406666666666665,False,5.786666666666664,4.406666666666665,False,False,keep
260205-R2,plate1,C,C3,C4,4.406666666666665,2.9309523809523816,False,4.406666666666665,2.9309523809523816,False,False,keep
260205-R2,plate1,C,C4,C5,2.9309523809523816,2.0857142857142845,False,2.9309523809523816,2.0857142857142845,False,False,keep
260205-R2,plate1,C,C5,C6,2.0857142857142845,0.5290909090909092,False,2.0857142857142845,0.5290909090909092,False,False,keep
260205-R2,plate1,C,C6,C7,0.5290909090909092,0.293333333333333,False,0.5290909090909092,0.293333333333333,False,False,keep
260205-R2,plate1,D,D1,D2,5.28,5.733333333333332,True,6.353333333333332,5.733333333333332,False,True,underestimate_to_tangent
260205-R2,plate1,D,D2,D3,5.733333333333332,4.866666666666665,False,5.733333333333332,4.866666666666665,False,False,keep
260205-R2,plate1,D,D3,D4,4.866666666666665,3.246666666666667,False,4.866666666666665,3.246666666666667,False,False,keep
260205-R2,plate1,D,D4,D5,3.246666666666667,2.043223443223442,False,3.246666666666667,2.043223443223442,False,False,keep
260205-R2,plate1,D,D5,D6,2.043223443223442,0.9295238095238092,False,2.043223443223442,0.9295238095238092,False,False,keep
260205-R2,plate1,D,D6,D7,0.9295238095238092,0.3027675070028011,False,0.9295238095238092,0.3027675070028011,False,False,keep
260205-R2,plate1,E,E1,E2,6.239999999999999,5.7333333333333325,False,6.239999999999999,5.7333333333333325,False,False,keep
260205-R2,plate1,E,E2,E3,5.7333333333333325,3.779047619047618,False,5.7333333333333325,3.779047619047618,False,False,keep
