run_id,plate_id,row,well_n,well_n1,cur_slope_n,cur_slope_n1,cur_inversion,new_slope_n,new_slope_n1,new_inversion,n_changed,n_reason
260205-R1,plate1,E,E1,E2,5.993333333333331,6.499999999999998,True,7.053333333333332,6.499999999999998,False,True,underestimate_to_tangent
260205-R1,plate1,F,F2,F3,5.986666666666666,6.393333333333333,True,7.866666666666665,6.393333333333333,False,True,underestimate_to_tangent
260205-R2,plate1,D,D1,D2,5.28,5.733333333333332,True,6.353333333333332,5.733333333333332,False,True,underestimate_to_tangent
260205-R2,plate1,F,F1,F2,4.96,5.933333333333333,True,6.213333333333332,5.933333333333333,False,True,underestimate_to_tangent
260205-R2,plate2,B,B4,B5,1.1574229691876752,1.2095238095238094,True,1.1574229691876752,0.780417028670721,False,False,keep
260205-R3,plate1,D,D1,D2,5.413333333333335,6.199999999999999,True,6.366666666666665,6.199999999999999,False,True,underestimate_to_tangent
260205-R3,plate1,F,F1,F2,4.126666666666665,4.146666666666666,True,5.746666666666666,5.446666666666667,False,True,underestimate_to_tangent
260205-R3,plate1,F,F2,F3,4.146666666666666,4.593333333333333,True,5.446666666666667,4.593333333333333,False,True,underestimate_to_tangent
260205-R3,plate1,H,H1,H2,3.553333333333333,3.5866666666666647,True,5.22,4.533333333333332,False,True,underestimate_to_tangent
260205-R3,plate1,H,H2,H3,3.5866666666666647,3.639999999999998,True,4.533333333333332,3.639999999999998,False,True,underestimate_to_tangent
