run_id,plate_id,well,row,col,changed,reason,method_current,cur_idx,cur_t,cur_n,cur_slope,cur_r2,new_kind,new_idx,new_t,new_n,new_slope,new_r2,slope_ratio_new_over_cur
260205-R1,plate1,A1,A,1,False,keep,initial_positive_tangent,0..3,6-96,4,5.793333333333333,0.9922033386108172,current,0..3,6-96,4,5.793333333333333,0.9922033386108172,1.0
260205-R1,plate1,A2,A,2,False,keep,initial_positive,0..5,6-156,6,3.82095238095238,0.9707341392691896,current,0..5,6-156,6,3.82095238095238,0.9707341392691896,1.0
260205-R1,plate1,A3,A,3,False,keep,initial_positive_tangent,0..3,6-96,4,2.466666666666667,0.9884476534296028,current,0..3,6-96,4,2.466666666666667,0.9884476534296028,1.0
260205-R1,plate1,A4,A,4,False,keep,initial_positive_promote_long_ext,0..20,6-606,21,1.214632034632035,0.991594306053886,current,0..20,6-606,21,1.214632034632035,0.991594306053886,1.0
260205-R1,plate1,A5,A,5,False,keep,initial_positive_ext,0..19,6-576,20,0.2805012531328321,0.9719652576728391,current,0..19,6-576,20,0.2805012531328321,0.9719652576728391,1.0
260205-R1,plate1,A6,A,6,False,keep,initial_positive,2..8,66-246,7,0.1833333333333334,0.8479691075514874,current,2..8,66-246,7,0.1833333333333334,0.8479691075514874,1.0
260205-R1,plate1,A7,A,7,False,keep,initial_positive,2..8,66-246,7,0.1833333333333334,0.8479691075514874,current,2..8,66-246,7,0.1833333333333334,0.8479691075514874,1.0
260205-R1,plate1,B1,B,1,False,keep,initial_positive_tangent,0..3,6-96,4,6.859999999999999,0.9714716932661122,current,0..3,6-96,4,6.859999999999999,0.9714716932661122,1.0
260205-R1,plate1,B2,B,2,False,keep,initial_positive_tangent,0..3,6-96,4,5.986666666666665,0.9908874198225652,current,0..3,6-96,4,5.986666666666665,0.9908874198225652,1.0
260205-R1,plate1,B3,B,3,False,keep,initial_positive,0..5,6-156,6,5.207619047619046,0.9929597409762808,current,0..5,6-156,6,5.207619047619046,0.9929597409762808,1.0
260205-R1,plate1,B4,B,4,False,keep,initial_positive,0..5,6-156,6,4.344761904761904,0.9932805900292564,current,0..5,6-156,6,4.344761904761904,0.9932805900292564,1.0
260205-R1,plate1,B5,B,5,False,keep,initial_positive,0..5,6-156,6,3.839999999999999,0.9857186513191404,current,0..5,6-156,6,3.839999999999999,0.9857186513191404,1.0
260205-R1,plate1,B6,B,6,False,keep,full_range_outlier_skip,0..20,6-606,20,1.3951510403064336,0.9905590743483136,current,0..20,6-606,20,1.3951510403064336,0.9905590743483136,1.0
260205-R1,plate1,B7,B,7,False,keep,full_range_outlier_skip,0..19,6-576,20,0.9124812030075192,0.9938910179327796,current,0..19,6-576,20,0.9124812030075192,0.9938910179327796,1.0
260205-R1,plate1,C1,C,1,False,keep,initial_positive_tangent,0..3,6-96,4,7.539999999999999,0.9958784075736402,current,0..3,6-96,4,7.539999999999999,0.9958784075736402,1.0
260205-R1,plate1,C2,C,2,False,keep,initial_positive_tangent,0..3,6-96,4,6.039999999999998,0.9957251686156534,current,0..3,6-96,4,6.039999999999998,0.9957251686156534,1.0
260205-R1,plate1,C3,C,3,False,keep,initial_positive_tangent,0..3,6-96,4,5.52,0.995764705882353,current,0..3,6-96,4,5.52,0.995764705882353,1.0
260205-R1,plate1,C4,C,4,False,keep,initial_positive_ext_tangent,0..3,6-96,4,5.066666666666665,0.9741617756189704,current,0..3,6-96,4,5.066666666666665,0.9741617756189704,1.0
260205-R1,plate1,C5,C,5,False,keep,initial_positive,0..5,6-156,6,3.868571428571428,0.9952571426962916,current,0..5,6-156,6,3.868571428571428,0.9952571426962916,1.0
260205-R1,plate1,C6,C,6,False,keep,initial_positive_promote_long_ext,0..11,6-336,12,1.4997668997668996,0.995948362797448,current,0..11,6-336,12,1.4997668997668996,0.995948362797448,1.0
260205-R1,plate1,C7,C,7,False,keep,initial_positive_ext,0..20,6-606,21,0.7375757575757577,0.9810573939985734,current,0..20,6-606,21,0.7375757575757577,0.9810573939985734,1.0
260205-R1,plate1,D1,D,1,False,keep,initial_positive_tangent,0..3,6-96,4,6.119999999999998,0.996551724137931,current,0..3,6-96,4,6.119999999999998,0.996551724137931,1.0
260205-R1,plate1,D2,D,2,False,keep,initial_positive_tangent,0..3,6-96,4,7.586666666666666,0.9994165766321964,current,0..3,6-96,4,7.586666666666666,0.9994165766321964,1.0
260205-R1,plate1,D3,D,3,False,keep,initial_positive_tangent,0..3,6-96,4,6.233333333333332,0.9930143404799092,current,0..3,6-96,4,6.233333333333332,0.9930143404799092,1.0
260205-R1,plate1,D4,D,4,False,keep,initial_positive_ext_tangent,0..3,6-96,4,5.839999999999999,0.998953370303835,current,0..3,6-96,4,5.839999999999999,0.998953370303835,1.0
260205-R1,plate1,D5,D,5,False,keep,initial_positive,0..5,6-156,6,4.319999999999999,0.9934458144062296,current,0..5,6-156,6,4.319999999999999,0.9934458144062296,1.0
260205-R1,plate1,D6,D,6,False,keep,initial_positive_intskip1_tangent,0..3,6-96,4,3.9066666666666654,0.9830976238190668,current,0..3,6-96,4,3.9066666666666654,0.9830976238190668,1.0
260205-R1,plate1,D7,D,7,False,keep,initial_positive,0..5,6-156,6,1.9142857142857133,0.9807924801297332,current,0..5,6-156,6,1.9142857142857133,0.9807924801297332,1.0
260205-R1,plate1,E1,E,1,True,underestimate_to_tangent,initial_positive,0..4,6-126,5,5.993333333333331,0.964923947563218,tangent_best,0..3,6-96,4,7.053333333333332,0.9927312072084856,1.1768631813125696
260205-R1,plate1,E2,E,2,False,keep,initial_positive_tangent,0..3,6-96,4,6.499999999999998,0.9897652675034228,current,0..3,6-96,4,6.499999999999998,0.9897652675034228,1.0
260205-R1,plate1,E3,E,3,False,keep,initial_positive_tangent,0..3,6-96,4,6.633333333333332,0.993547124556553,current,0..3,6-96,4,6.633333333333332,0.993547124556553,1.0
260205-R1,plate1,E4,E,4,False,keep,initial_positive_tangent,0..3,6-96,4,5.5666666666666655,0.9993263532059138,current,0..3,6-96,4,5.5666666666666655,0.9993263532059138,1.0
260205-R1,plate1,E5,E,5,False,keep,initial_positive,0..5,6-156,6,4.177142857142855,0.9957205625629972,current,0..5,6-156,6,4.177142857142855,0.9957205625629972,1.0
260205-R1,plate1,E6,E,6,False,keep,initial_positive,0..6,6-186,7,2.447619047619048,0.9769333737621748,current,0..6,6-186,7,2.447619047619048,0.9769333737621748,1.0
260205-R1,plate1,E7,E,7,False,keep,initial_positive,0..8,6-246,9,1.4088888888888889,0.9735183705103054,current,0..8,6-246,9,1.4088888888888889,0.9735183705103054,1.0
260205-R1,plate1,F1,F,1,False,keep,initial_positive_tangent,0..3,6-96,4,6.653333333333332,0.9718629249443816,current,0..3,6-96,4,6.653333333333332,0.9718629249443816,1.0
260205-R1,plate1,F2,F,2,True,underestimate_to_tangent,initial_positive,0..4,6-126,5,5.986666666666666,0.9095794118443256,tangent_best,0..3,6-96,4,7.866666666666665,0.9990815682222605,1.3140311804008906
260205-R1,plate1,F3,F,3,False,keep,initial_positive_tangent,0..3,6-96,4,6.393333333333333,0.9870628451222718,current,0..3,6-96,4,6.393333333333333,0.9870628451222718,1.0
260205-R1,plate1,F4,F,4,False,keep,initial_positive_tangent,0..3,6-96,4,6.5666666666666655,0.9966409688801688,current,0..3,6-96,4,6.5666666666666655,0.9966409688801688,1.0
260205-R1,plate1,F5,F,5,False,keep,initial_positive_tangent,0..3,6-96,4,6.186666666666665,0.9973409922638624,current,0..3,6-96,4,6.186666666666665,0.9973409922638624,1.0
