plate_id,time_s,well,signal,row,polymer_id,sample_name,source_file
plate1,6.0,A1,803,A,GOx,,testdata.csv
plate1,36.0,A1,958,A,GOx,,testdata.csv
plate1,66.0,A1,1103,A,GOx,,testdata.csv
plate1,96.0,A1,1236,A,GOx,,testdata.csv
plate1,126.0,A1,1409,A,GOx,,testdata.csv
plate1,156.0,A1,1554,A,GOx,,testdata.csv
plate1,186.0,A1,1694,A,GOx,,testdata.csv
plate1,216.0,A1,1855,A,GOx,,testdata.csv
plate1,246.0,A1,2003,A,GOx,,testdata.csv
plate1,276.0,A1,2152,A,GOx,,testdata.csv
plate1,306.0,A1,2300,A,GOx,,testdata.csv
plate1,336.0,A1,2455,A,GOx,,testdata.csv
plate1,366.0,A1,2592,A,GOx,,testdata.csv
plate1,396.0,A1,2748,A,GOx,,testdata.csv
plate1,426.0,A1,2895,A,GOx,,testdata.csv
plate1,456.0,A1,3055,A,GOx,,testdata.csv
plate1,486.0,A1,3200,A,GOx,,testdata.csv
plate1,516.0,A1,3347,A,GOx,,testdata.csv
plate1,546.0,A1,3492,A,GOx,,testdata.csv
plate1,576.0,A1,3647,A,GOx,,testdata.csv
plate1,606.0,A1,3800,A,GOx,,testdata.csv
plate1,6.0,A2,801,A,GOx,,testdata.csv
plate1,36.0,A2,922,A,GOx,,testdata.csv
plate1,66.0,A2,1050,A,GOx,,testdata.csv
plate1,96.0,A2,1158,A,GOx,,testdata.csv
plate1,126.0,A2,1327,A,GOx,,testdata.csv
plate1,156.0,A2,1448,A,GOx,,testdata.csv
plate1,186.0,A2,1561,A,GOx,,testdata.csv
plate1,216.0,A2,1700,A,GOx,,testdata.csv
plate1,246.0,A2,1822,A,GOx,,testdata.csv
plate1,276.0,A2,1941,A,GOx,,testdata.csv
plate1,306.0,A2,2084,A,GOx,,testdata.csv
plate1,336.0,A2,2199,A,GOx,,testdata.csv
plate1,366.0,A2,2326,A,GOx,,testdata.csv
plate1,396.0,A2,2449,A,GOx,,testdata.csv
plate1,426.0,A2,2589,A,GOx,,testdata.csv
plate1,456.0,A2,2711,A,GOx,,testdata.csv
plate1,486.0,A2,2845,A,GOx,,testdata.csv
plate1,516.0,A2,2961,A,GOx,,testdata.csv
plate1,546.0,A2,3096,A,GOx,,testdata.csv
plate1,576.0,A2,3213,A,GOx,,testdata.csv
plate1,606.0,A2,3358,A,GOx,,testdata.csv
plate1,6.0,A3,820,A,GOx,,testdata.csv
plate1,36.0,A3,879,A,GOx,,testdata.csv
plate1,66.0,A3,1014,A,GOx,,testdata.csv
plate1,96.0,A3,1109,A,GOx,,testdata.csv
plate1,126.0,A3,1215,A,GOx,,testdata.csv
plate1,156.0,A3,1322,A,GOx,,testdata.csv
plate1,186.0,A3,1409,A,GOx,,testdata.csv
plate1,216.0,A3,1532,A,GOx,,testdata.csv
plate1,246.0,A3,1631,A,GOx,,testdata.csv
