

Software Version,3.17.17



Experiment File Path:,C:\Users\Public\Documents\Experiments\Sudo\260209\Sudo-260129_gain=50-Resolufin_260209_191250.xpt
Protocol File Path:,C:\Users\Public\Documents\Protocols\Sudo-260129_gain=50-Resolufin.prt



Plate Number,Plate 6
Date,2/9/2026
Time,8:45:08 PM
Reader Type:,Synergy H1
Reader Serial Number:,25082104
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE
Eject plate on completion,
Set Temperature,Setpoint 25°C
,Preheat before moving to next step
Shake,Orbital: 0:05 (MM:SS)
,Frequency: 282 cpm (3 mm)
Start Kinetic,Runtime 0:10:00 (HH:MM:SS), Interval 0:00:30, 21 Reads
    Read,Fluorescence Endpoint
,A1..H7
,Filter Set 1
,    Excitation: 540,  Emission: 590
,    Optics: Top,  Gain: 50
,Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
,Read Height: 6.25 mm
End Kinetic,

540,590

Time,T° 540,590,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:06,25.1,806,470,685,415,698,677,561,,,,,,1042,740,596,536,461,387,356,,,,,,770,749,676,607,606,620,394,,,,,,943,830,740,550,536,336,290,,,,,,979,931,753,667,547,297,287,,,,,,841,589,580,570,403,310,274,,,,,,886,1018,760,799,661,326,303,,,,,,902,277,273,271,274,287,288,,,,,
0:00:36,25.0,1205,663,1307,616,908,694,602,,,,,,1973,1290,985,791,627,410,369,,,,,,1569,1327,1115,900,817,643,403,,,,,,1750,1365,1140,779,716,349,293,,,,,,1791,1538,1159,955,739,307,293,,,,,,1326,861,870,666,487,332,271,,,,,,1530,1601,1119,1120,893,343,313,,,,,,1471,284,278,275,277,295,285,,,,,
0:01:06,25.0,1103,954,700,932,1201,691,612,,,,,,2813,1831,1342,1033,792,423,371,,,,,,2323,1886,1532,1187,1035,659,414,,,,,,2523,1888,1530,998,863,360,298,,,,,,2560,2136,1559,1237,930,314,295,,,,,,1728,1210,1161,810,585,351,274,,,,,,2158,2151,1456,1426,1106,359,319,,,,,,2000,286,281,276,277,291,286,,,,,
0:01:36,25.1,1031,1305,795,1082,1084,689,619,,,,,,3610,2361,1685,1273,943,434,377,,,,,,3022,2418,1925,1472,1249,671,422,,,,,,3237,2386,1892,1247,1034,371,303,,,,,,3288,2688,1926,1523,1119,325,300,,,,,,2205,1615,1471,943,687,367,274,,,,,,2746,2701,1803,1731,1331,378,323,,,,,,2549,285,283,277,274,293,288,,,,,
0:02:06,25.1,1075,1587,1080,1085,796,699,611,,,,,,4324,2874,2032,1501,1092,443,380,,,,,,3652,2958,2311,1747,1465,685,428,,,,,,3898,2856,2259,1487,1216,382,304,,,,,,3951,3247,2312,1787,1294,333,305,,,,,,2599,2027,1750,1088,793,384,272,,,,,,3302,3195,2127,2025,1545,397,324,,,,,,3046,285,279,276,276,288,284,,,,,
0:02:36,25.1,1261,1832,1433,1075,797,707,604,,,,,,5018,3322,2387,1734,1243,456,382,,,,,,4270,3435,2668,2022,1669,699,431,,,,,,4517,3315,2604,1667,1375,396,308,,,,,,4582,3729,2654,2053,1482,345,305,,,,,,2941,2407,2006,1244,902,408,272,,,,,,3840,3680,2450,2337,1761,416,334,,,,,,3517,286,281,277,278,292,284,,,,,
0:03:06,25.0,1397,2098,1715,1093,862,712,604,,,,,,5637,3771,2692,1971,1391,459,386,,,,,,4852,3907,3037,2304,1879,715,436,,,,,,5125,3754,2954,1814,1544,404,310,,,,,,5142,4220,3016,2310,1668,353,308,,,,,,3288,2749,2203,1410,1006,425,274,,,,,,4332,4114,2777,2601,1966,430,341,,,,,,3959,287,281,277,277,293,286,,,,,
0:03:36,25.0,1520,2357,1914,1132,931,730,608,,,,,,6222,4206,2983,2198,1539,471,391,,,,,,5352,4354,3394,2562,2081,726,438,,,,,,5624,4174,3296,2012,1716,420,315,,,,,,5675,4660,3367,2571,1855,363,311,,,,,,3649,3013,2388,1600,1121,448,276,,,,,,4814,4536,3074,2864,2180,454,351,,,,,,4360,285,278,277,275,289,284,,,,,
0:04:06,25.0,1824,2668,2024,1198,1170,749,606,,,,,,6746,4611,3278,2423,1697,481,394,,,,,,5798,4765,3727,2808,2283,743,444,,,,,,6192,4570,3604,2204,1887,432,319,,,,,,6148,5066,3693,2827,2031,372,314,,,,,,3971,3273,2576,1787,1237,469,274,,,,,,5273,4919,3367,3143,2373,472,361,,,,,,4746,285,279,277,277,289,285,,,,,
0:04:36,25.0,2498,2998,2059,1294,1675,769,607,,,,,,7203,5007,3572,2628,1843,495,401,,,,,,6237,5168,4054,3066,2489,757,449,,,,,,6571,4954,3947,2407,2046,444,318,,,,,,6557,5493,3998,3050,2200,386,318,,,,,,4294,3484,2722,1991,1344,489,271,,,,,,5702,5284,3639,3377,2573,491,369,,,,,,5117,283,282,273,275,290,285,,,,,
0:05:06,25.1,3314,3330,2075,1389,1948,786,605,,,,,,7639,5385,3870,2852,1982,500,398,,,,,,6676,5548,4386,3348,2668,774,455,,,,,,6989,5336,4233,2591,2200,454,324,,,,,,6951,5836,4271,3292,2376,393,321,,,,,,4603,3700,2886,2197,1450,515,271,,,,,,6051,5633,3909,3652,2772,509,377,,,,,,5422,282,278,276,276,287,283,,,,,
0:05:36,25.0,4030,3633,2032,1480,2021,790,608,,,,,,8039,5730,4135,3063,2133,510,403,,,,,,7052,5928,4690,3570,2859,786,457,,,,,,7337,5649,4524,2816,2363,467,324,,,,,,7334,6195,4570,3524,2556,406,324,,,,,,4868,3870,3052,2428,1561,541,270,,,,,,6469,5982,4167,3899,2955,524,378,,,,,,5734,287,281,276,274,282,284,,,,,
0:06:06,25.0,4634,3918,1943,1560,1967,780,610,,,,,,8376,6084,4413,3243,2278,523,402,,,,,,7427,6257,4997,3803,3061,805,458,,,,,,7686,5959,4820,3015,2516,480,334,,,,,,7640,6523,4869,3751,2713,414,328,,,,,,5143,4036,3224,2652,1675,558,272,,,,,,6776,6295,4434,4142,3146,545,385,,,,,,6033,283,278,275,273,288,284,,,,,
0:06:36,25.0,5204,4186,1872,1606,1873,760,605,,,,,,8672,6430,4658,3475,2429,531,407,,,,,,7817,6583,5270,4052,3246,812,464,,,,,,7988,6289,5062,3188,2664,490,333,,,,,,7934,6815,5151,3967,2895,422,332,,,,,,5436,4181,3390,2868,1787,586,269,,,,,,7176,6613,4695,4360,3314,564,393,,,,,,6325,283,276,274,274,288,282,,,,,
0:07:06,25.1,5716,4354,1868,1631,1755,755,613,,,,,,8942,6684,4919,3644,2551,541,409,,,,,,8091,6906,5560,4269,3441,828,471,,,,,,8233,6634,5351,3363,2845,499,337,,,,,,8192,7139,5385,4183,3043,429,335,,,,,,5706,4351,3553,3084,1897,617,269,,,,,,7438,6896,4919,4600,3513,579,403,,,,,,6530,282,275,273,273,289,281,,,,,
0:07:36,25.0,6208,4583,1935,1660,1683,772,617,,,,,,9160,6952,5162,3826,2707,551,415,,,,,,8386,7172,5823,4482,3611,843,476,,,,,,8470,6854,5572,3564,2990,513,338,,,,,,8412,7373,5637,4393,3218,443,336,,,,,,5941,4488,3696,3286,2020,642,270,,,,,,7732,7108,5175,4812,3674,600,411,,,,,,6766,282,274,273,274,287,281,,,,,
0:08:06,25.1,6689,4750,2044,1719,1787,802,618,,,,,,9305,7229,5392,4045,2847,567,416,,,,,,8658,7426,6052,4686,3785,858,477,,,,,,8728,7072,5840,3749,3149,528,344,,,,,,8592,7616,5859,4595,3369,454,341,,,,,,6203,4658,3853,3509,2135,669,271,,,,,,8041,7373,5386,5019,3864,618,416,,,,,,7019,283,279,272,271,285,281,,,,,
0:08:36,25.1,7049,4905,2255,1829,1921,819,628,,,,,,9356,7479,5598,4231,2979,573,421,,,,,,8891,7698,6238,4888,3979,868,487,,,,,,8735,7377,6062,3924,3283,539,348,,,,,,8813,7842,6073,4788,3514,465,346,,,,,,6497,4807,4006,3676,2254,696,270,,,,,,8221,7606,5614,5230,4032,634,426,,,,,,7172,282,279,273,273,283,280,,,,,
0:09:06,25.1,7318,5115,2524,1975,2141,855,628,,,,,,9279,7701,5832,4437,3108,583,420,,,,,,9140,7940,6482,5130,4126,890,489,,,,,,8822,7589,6361,4091,3444,549,349,,,,,,8869,8040,6299,4975,3667,473,349,,,,,,6795,4935,4161,3784,2385,722,268,,,,,,8440,7845,5842,5437,4201,658,431,,,,,,7321,284,275,273,271,285,282,,,,,
0:09:36,25.1,7565,5263,2824,2237,2328,877,638,,,,,,9095,7900,6041,4568,3237,595,430,,,,,,9248,8160,6739,5312,4263,903,496,,,,,,8900,7795,6548,4284,3596,560,353,,,,,,8855,8213,6538,5157,3830,482,354,,,,,,7086,5111,4295,3907,2493,749,269,,,,,,8743,7993,6038,5615,4361,673,437,,,,,,7529,281,272,272,271,284,279,,,,,
0:10:06,25.1,7749,5343,3113,2627,2467,894,644,,,,,,8969,8108,6246,4767,3350,602,428,,,,,,9422,8321,6963,5486,4471,920,500,,,,,,8835,7971,6772,4432,3731,578,359,,,,,,8775,8403,6717,5338,3974,496,353,,,,,,7332,5299,4432,3990,2589,780,270,,,,,,8858,8247,6244,5839,4529,692,445,,,,,,7667,284,270,270,269,285,283,,,,,

Results
,1,2,3,4,5,6,7,8,9,10,11,12
A,1430400.000,642800.000,574600.000,444800.000,591600.000,52600.000,23400.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,1.000,0.992,0.936,0.948,0.991,0.638,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:05:06,0:04:36,0:02:36,0:09:06,0:04:36,0:08:36,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:03:23,0:00:40,0:01:23,0:05:22,0:03:10,0:05:47,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:04:06,0:03:36,0:01:36,0:08:06,0:03:36,0:07:36,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:06:06,0:05:36,0:03:36,0:10:06,0:05:36,0:09:36,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,OUT-,OUT-,best,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
B,1640200.000,1067800.000,714400.000,482400.000,315600.000,27200.000,11200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,1.000,0.999,1.000,0.999,0.963,0.908,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,good,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
C,1443400.000,1101800.000,816000.000,570400.000,430000.000,31800.000,17400.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,1.000,0.999,1.000,1.000,0.990,0.990,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:09:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,0:00:06,0:00:41,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:08:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:10:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
D,1479400.000,1014600.000,758000.000,468400.000,340600.000,25400.000,8000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.999,1.000,0.999,1.000,0.994,0.873,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:02:06,0:07:36,0:05:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,0:00:07,0:00:08,0:00:36,0:01:02,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:01:06,0:06:36,0:04:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:03:06,0:08:36,0:06:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
E,1488200.000,1156400.000,777000.000,561600.000,374800.000,22200.000,8800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.999,1.000,1.000,1.000,1.000,0.993,0.994,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:07:36,0:08:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,0:01:02,0:01:59,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:06:36,0:07:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:08:36,0:09:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
F,879000.000,781800.000,588200.000,442800.000,242000.000,55600.000,-3000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.999,0.999,1.000,1.000,1.000,0.999,0.893,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:36,0:01:06,0:06:06,0:08:06,0:07:06,0:04:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,0:00:17,0:00:06,0:01:25,0:00:56,0:01:38,0:04:04,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:36,0:00:06,0:05:06,0:07:06,0:06:06,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:36,0:02:06,0:07:06,0:09:06,0:08:06,0:05:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
G,1209600.000,1090800.000,683600.000,612600.000,441200.000,39000.000,18200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.999,0.999,1.000,1.000,1.000,0.997,0.997,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:04:06,0:03:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,0:00:23,0:00:57,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:03:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:05:06,0:04:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
H,1073200.000,3400.000,-5000.000,2400.000,-1800.000,-3200.000,-1800.000,?????,?????,?????,?????,?????,Max V [540,590]
,1.000,0.543,0.947,0.655,0.810,0.621,0.880,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:09:06,0:01:06,0:05:06,0:04:36,0:06:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,0:09:30,?????,0:05:39,0:04:44,0:03:29,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:08:06,0:00:06,0:04:06,0:03:36,0:05:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:10:06,0:02:06,0:06:06,0:05:36,0:07:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,OUT-,,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])

Cutoffs (R-Squared [540,590])

Formula,Value
0.95,0.950
0.98,0.980
1.00,1.000

Cutoffs (Max V [540,590])

Formula,Value
0,0.000

