

Software Version,3.17.17



Experiment File Path:,C:\Users\Public\Documents\Experiments\Sudo\260211\Sudo-260129_gain=50-Resolufin_260211_175543.xpt
Protocol File Path:,C:\Users\Public\Documents\Protocols\Sudo-260129_gain=50-Resolufin.prt



Plate Number,Plate 1
Date,2/11/2026
Time,5:59:46 PM
Reader Type:,Synergy H1
Reader Serial Number:,25082104
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE
Eject plate on completion,
Set Temperature,Setpoint 25°C
,Preheat before moving to next step
Shake,Orbital: 0:05 (MM:SS)
,Frequency: 282 cpm (3 mm)
Start Kinetic,Runtime 0:10:00 (HH:MM:SS), Interval 0:00:30, 21 Reads
    Read,Fluorescence Endpoint
,A1..H7
,Filter Set 1
,    Excitation: 540,  Emission: 590
,    Optics: Top,  Gain: 50
,Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
,Read Height: 6.25 mm
End Kinetic,

540,590

Time,T° 540,590,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:06,25.1,550,825,791,702,519,304,318,,,,,,541,421,646,912,564,379,384,,,,,,734,984,919,760,495,301,307,,,,,,946,1104,998,793,478,271,271,,,,,,822,1172,1003,798,526,273,278,,,,,,1084,1347,1191,985,681,263,284,,,,,,977,759,757,523,629,338,280,,,,,,1425,1714,1503,1294,722,319,305,,,,,
0:00:36,25.1,1528,1742,1478,1203,755,327,324,,,,,,1333,606,1105,1468,781,441,395,,,,,,1771,1892,1619,1218,699,324,313,,,,,,1971,1968,1675,1237,665,288,279,,,,,,1645,2063,1643,1247,717,291,284,,,,,,1987,2243,1903,1492,967,283,291,,,,,,1634,1346,1233,729,913,408,296,,,,,,2412,2672,2267,1883,962,342,314,,,,,
0:01:06,25.1,2523,2655,2166,1688,978,340,335,,,,,,1646,764,1494,1866,927,481,402,,,,,,2792,2779,2293,1664,910,339,320,,,,,,2930,2806,2336,1676,850,299,282,,,,,,2448,2903,2263,1672,909,306,287,,,,,,2840,3081,2598,1990,1239,300,296,,,,,,2296,2013,1751,973,1214,479,306,,,,,,3316,3507,2956,2433,1193,366,320,,,,,
0:01:36,25.1,3448,3467,2775,2147,1194,349,338,,,,,,2317,944,1767,2213,1054,501,388,,,,,,3728,3609,2948,2102,1106,354,325,,,,,,3828,3533,2969,2114,1023,309,287,,,,,,3205,3671,2824,2064,1093,316,296,,,,,,3684,3842,3218,2444,1513,316,300,,,,,,2878,2582,2281,1252,1498,539,312,,,,,,4192,4284,3644,2975,1418,394,323,,,,,
0:02:06,25.1,4247,4221,3391,2552,1409,365,349,,,,,,2465,1198,1677,2492,1166,544,388,,,,,,4566,4358,3536,2524,1304,367,328,,,,,,4651,4208,3526,2519,1198,324,290,,,,,,3872,4370,3386,2444,1277,329,295,,,,,,4399,4530,3782,2894,1767,333,306,,,,,,3482,3047,2796,1506,1774,600,320,,,,,,4954,4988,4235,3442,1656,414,331,,,,,
0:02:36,25.1,5004,4911,3908,2975,1614,380,349,,,,,,2610,1303,1435,2722,1313,598,398,,,,,,5368,5008,4085,2928,1504,384,332,,,,,,5345,4785,4075,2909,1382,334,295,,,,,,4516,5002,3873,2830,1453,345,304,,,,,,5060,5166,4332,3318,2030,348,311,,,,,,4099,3453,3291,1765,2033,654,327,,,,,,5574,5632,4786,3921,1876,439,335,,,,,
0:03:06,25.1,5599,5501,4438,3342,1832,390,351,,,,,,2857,1574,1306,2559,1539,667,404,,,,,,6016,5589,4597,3318,1689,398,338,,,,,,6009,5393,4591,3279,1545,346,296,,,,,,5090,5583,4325,3199,1629,360,305,,,,,,5697,5698,4838,3705,2276,365,313,,,,,,4758,3825,3780,2066,2294,707,341,,,,,,6155,6177,5256,4333,2093,462,340,,,,,
0:03:36,25.1,6248,6044,4936,3732,2022,406,354,,,,,,3190,2062,1344,2224,1901,716,411,,,,,,6652,6156,5104,3670,1889,414,343,,,,,,6620,5928,5094,3641,1730,357,301,,,,,,5649,6116,4811,3529,1826,368,310,,,,,,6231,6201,5280,4096,2516,383,319,,,,,,5357,4181,4223,2348,2528,756,347,,,,,,6724,6684,5744,4743,2312,484,346,,,,,
0:04:06,25.1,6759,6586,5355,4076,2227,417,354,,,,,,3513,2668,1536,2276,2410,704,417,,,,,,7263,6655,5540,4053,2073,429,345,,,,,,7092,6395,5484,3969,1893,367,305,,,,,,6160,6639,5238,3852,1990,384,314,,,,,,6733,6702,5731,4442,2772,404,321,,,,,,5954,4448,4578,2595,2753,803,354,,,,,,7136,7162,6202,5136,2526,507,351,,,,,
0:04:36,25.1,7227,6995,5776,4405,2410,432,358,,,,,,3847,3248,1792,2496,2827,674,421,,,,,,7697,7097,5909,4356,2276,441,349,,,,,,7577,6816,5930,4288,2059,382,307,,,,,,6635,7052,5617,4192,2168,399,319,,,,,,7179,7082,6136,4796,2976,418,328,,,,,,6465,4709,4905,2813,2988,843,362,,,,,,7526,7531,6565,5500,2737,532,359,,,,,
0:05:06,25.1,7683,7371,6201,4633,2613,440,360,,,,,,4120,3870,1984,2749,2883,658,431,,,,,,8093,7474,6313,4679,2455,457,353,,,,,,7969,7189,6292,4623,2212,393,311,,,,,,7071,7450,5960,4497,2340,417,325,,,,,,7580,7447,6465,5119,3208,438,333,,,,,,6925,4922,5184,3064,3181,887,374,,,,,,7883,7874,6924,5819,2927,555,363,,,,,
0:05:36,25.1,8068,7724,6557,4974,2787,455,361,,,,,,4342,4239,2201,3001,2792,666,441,,,,,,8388,7839,6640,5013,2631,472,358,,,,,,8343,7513,6670,4932,2393,402,314,,,,,,7468,7800,6333,4814,2516,431,331,,,,,,7923,7727,6849,5423,3421,452,335,,,,,,7296,5129,5379,3315,3359,938,382,,,,,,8203,8171,7247,6082,3112,578,369,,,,,
0:06:06,25.1,8428,8104,6872,5211,2964,471,368,,,,,,4394,4195,2436,3206,2744,675,446,,,,,,8659,8101,6992,5338,2812,489,359,,,,,,8545,7831,7003,5221,2555,416,316,,,,,,7797,8082,6625,5094,2678,446,333,,,,,,8268,8034,7112,5686,3628,471,340,,,,,,7632,5371,5534,3562,3548,983,397,,,,,,8469,8497,7537,6436,3347,600,375,,,,,
0:06:36,25.1,8746,8313,7146,5448,3167,477,367,,,,,,4503,4062,2734,3456,2735,695,454,,,,,,8896,8380,7263,5551,2977,504,365,,,,,,8830,8109,7282,5505,2711,428,321,,,,,,8142,8365,6954,5363,2834,453,337,,,,,,8558,8196,7434,5960,3822,484,343,,,,,,7926,5602,5729,3843,3700,1024,406,,,,,,8625,8686,7766,6678,3519,629,381,,,,,
0:07:06,25.1,9026,8580,7379,5708,3319,494,368,,,,,,4608,3933,3084,3724,2750,693,462,,,,,,9035,8554,7533,5835,3141,516,374,,,,,,8993,8360,7558,5740,2848,440,325,,,,,,8387,8616,7198,5598,2984,471,343,,,,,,8830,8438,7688,6204,4038,501,351,,,,,,8058,5823,5931,4088,3873,1065,418,,,,,,8776,8804,8002,6973,3703,654,388,,,,,
0:07:36,25.1,9253,8789,7665,5977,3478,506,373,,,,,,4801,4028,3510,3954,2833,705,469,,,,,,9078,8755,7820,6101,3327,531,375,,,,,,9066,8502,7823,6032,3013,454,330,,,,,,8697,8809,7434,5838,3123,483,349,,,,,,9076,8559,7887,6441,4239,519,355,,,,,,8212,6051,6105,4336,4065,1109,425,,,,,,8681,8865,8246,7131,3890,674,394,,,,,
0:08:06,25.1,9420,9014,7847,6193,3652,517,381,,,,,,4964,4292,4041,4232,2919,714,481,,,,,,9104,8826,8040,6379,3484,551,379,,,,,,8950,8628,8030,6223,3184,464,331,,,,,,8916,8966,7703,6083,3322,507,351,,,,,,9195,8685,8120,6703,4442,533,359,,,,,,8323,6268,6262,4615,4195,1158,433,,,,,,8604,8824,8418,7346,4075,698,399,,,,,
0:08:36,25.1,9579,9168,8030,6382,3816,529,376,,,,,,5188,4627,4541,4510,3015,734,482,,,,,,9011,8784,8193,6610,3647,559,380,,,,,,8860,8699,8206,6460,3325,479,337,,,,,,9100,8981,7849,6300,3460,513,356,,,,,,9287,8574,8253,6876,4609,555,363,,,,,,8393,6480,6366,4834,4330,1191,444,,,,,,8578,8772,8568,7589,4255,722,404,,,,,
0:09:06,25.1,9542,9211,8265,6574,3982,543,380,,,,,,5433,5013,5021,4755,3153,751,489,,,,,,8939,8716,8419,6796,3812,578,387,,,,,,8716,8658,8468,6622,3452,489,340,,,,,,9203,8927,8048,6480,3612,533,361,,,,,,9232,8454,8458,7066,4752,572,369,,,,,,8466,6628,6601,5065,4481,1235,457,,,,,,8452,8703,8623,7805,4398,748,409,,,,,
0:09:36,25.1,9555,9278,8440,6771,4138,556,385,,,,,,5743,5460,5498,4987,3282,771,503,,,,,,8843,8623,8500,6978,3939,597,391,,,,,,8575,8523,8567,6839,3603,495,344,,,,,,9336,8818,8184,6730,3764,550,367,,,,,,9159,8442,8574,7256,4932,589,374,,,,,,8583,6836,6745,5275,4629,1283,469,,,,,,8397,8651,8641,7885,4582,771,412,,,,,
0:10:06,25.1,9541,9259,8582,7052,4274,567,386,,,,,,5994,5752,5952,5178,3405,795,508,,,,,,8726,8555,8625,7208,4096,607,393,,,,,,8421,8452,8750,7000,3772,513,348,,,,,,9268,8733,8304,6911,3906,562,370,,,,,,9117,8300,8703,7446,5116,606,379,,,,,,8643,7005,6850,5485,4757,1327,477,,,,,,8260,8559,8568,8008,4743,802,422,,,,,

Results
,1,2,3,4,5,6,7,8,9,10,11,12
A,1862800.000,1703400.000,1299400.000,928800.000,443800.000,28800.000,15200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.998,0.999,0.998,1.000,0.975,0.978,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,?????,0:00:08,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,good,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
B,966400.000,1155600.000,991200.000,781000.000,779800.000,110600.000,17000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.957,0.998,0.999,0.982,0.983,0.994,0.991,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:04:06,0:08:36,0:01:06,0:03:36,0:02:36,0:07:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,0:02:08,0:04:41,?????,0:01:46,0:00:33,0:02:29,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:03:06,0:07:36,0:00:06,0:02:36,0:01:36,0:06:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:05:06,0:09:36,0:02:06,0:04:36,0:03:36,0:08:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,good,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
C,1924200.000,1693000.000,1312600.000,882400.000,405000.000,32400.000,10800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.999,0.999,1.000,1.000,0.987,0.981,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
D,1853400.000,1554600.000,1270000.000,865800.000,359600.000,25600.000,9200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.997,0.999,1.000,1.000,0.999,0.967,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:06:36,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,0:00:28,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:05:36,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:07:36,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
E,1532000.000,1600800.000,1189400.000,821800.000,375600.000,32000.000,10600.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.998,0.999,0.999,1.000,0.978,0.993,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:08:36,0:04:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,0:00:58,0:00:39,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:07:36,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:09:36,0:05:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,good,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
F,1665400.000,1593000.000,1299400.000,954000.000,543600.000,36200.000,10600.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.997,0.998,0.999,1.000,0.997,0.992,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:04:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,0:00:16,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:03:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:05:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
G,1250800.000,1162400.000,1032200.000,552200.000,575000.000,131000.000,22600.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.999,0.996,1.000,0.999,1.000,0.998,0.994,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:36,0:03:06,0:01:06,0:01:06,0:09:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,0:00:08,0:00:19,?????,?????,0:01:19,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:36,0:02:06,0:00:06,0:00:06,0:08:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:36,0:04:06,0:02:06,0:02:06,0:10:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
H,1767600.000,1632000.000,1368200.000,1077600.000,464800.000,51400.000,12600.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.998,0.997,0.998,0.998,1.000,0.998,0.999,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:09:06,0:06:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,?????,0:00:45,0:00:32,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:08:06,0:05:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:10:06,0:07:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,best,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])

Cutoffs (R-Squared [540,590])

Formula,Value
0.95,0.950
0.98,0.980
1.00,1.000

Cutoffs (Max V [540,590])

Formula,Value
0,0.000

