

Software Version,3.17.17



Experiment File Path:,C:\Users\Public\Documents\Experiments\Sudo\260211\Sudo-260129_gain=50-Resolufin_260211_175543.xpt
Protocol File Path:,C:\Users\Public\Documents\Protocols\Sudo-260129_gain=50-Resolufin.prt



Plate Number,Plate 2
Date,2/11/2026
Time,6:16:00 PM
Reader Type:,Synergy H1
Reader Serial Number:,25082104
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE
Eject plate on completion,
Set Temperature,Setpoint 25°C
,Preheat before moving to next step
Shake,Orbital: 0:05 (MM:SS)
,Frequency: 282 cpm (3 mm)
Start Kinetic,Runtime 0:10:00 (HH:MM:SS), Interval 0:00:30, 21 Reads
    Read,Fluorescence Endpoint
,A1..H7
,Filter Set 1
,    Excitation: 540,  Emission: 590
,    Optics: Top,  Gain: 50
,Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
,Read Height: 6.25 mm
End Kinetic,

540,590

Time,T° 540,590,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:06,25.1,836,768,634,500,377,248,233,,,,,,680,591,539,432,349,238,235,,,,,,1,0,0,0,1,0,1,,,,,,0,0,1,0,1,1,0,,,,,,1,0,0,1,2,1,0,,,,,,0,1,0,2,0,1,0,,,,,,0,2,2,0,0,1,2,,,,,,1494,321,2700,198,199,200,201,,,,,
0:00:36,25.1,1841,1676,1319,962,630,291,262,,,,,,1714,1426,1327,988,736,301,287,,,,,,1,0,1,0,1,0,2,,,,,,1,1,0,2,0,0,0,,,,,,0,0,0,2,0,1,0,,,,,,1,1,1,0,0,0,1,,,,,,1,0,1,1,0,1,1,,,,,,2470,339,4351,199,196,197,201,,,,,
0:01:06,25.1,2822,2576,1997,1421,883,313,271,,,,,,2729,2303,2149,1564,1143,330,305,,,,,,2,1,2,1,0,0,1,,,,,,0,0,0,0,1,0,0,,,,,,0,0,0,2,1,0,1,,,,,,0,0,0,0,1,0,0,,,,,,1,1,0,0,0,1,0,,,,,,3299,348,5715,195,197,198,199,,,,,
0:01:36,25.1,3735,3405,2664,1881,1131,333,281,,,,,,3681,3119,2896,2134,1544,356,311,,,,,,0,0,1,0,1,0,1,,,,,,2,0,0,0,0,0,0,,,,,,0,0,1,0,0,0,0,,,,,,0,1,2,1,1,0,3,,,,,,0,1,1,1,1,0,1,,,,,,4100,352,7010,197,198,199,203,,,,,
0:02:06,25.1,4576,4192,3279,2301,1391,354,283,,,,,,4540,3882,3612,2662,1922,381,318,,,,,,0,0,1,1,1,0,0,,,,,,0,0,1,1,0,0,0,,,,,,0,0,0,1,1,0,1,,,,,,0,0,0,0,1,1,0,,,,,,1,1,0,0,1,1,0,,,,,,4821,365,8174,199,197,198,205,,,,,
0:02:36,25.1,5330,4823,3858,2701,1620,372,285,,,,,,5291,4587,4287,3171,2308,399,322,,,,,,0,1,0,1,1,1,2,,,,,,0,0,0,0,1,2,0,,,,,,0,0,0,1,0,1,1,,,,,,1,0,1,0,0,1,0,,,,,,0,1,1,1,0,0,0,,,,,,5512,364,9247,198,196,198,202,,,,,
0:03:06,25.1,5972,5469,4349,3132,1855,391,294,,,,,,5950,5205,4869,3650,2641,424,330,,,,,,0,2,2,0,0,1,1,,,,,,0,0,1,1,1,1,2,,,,,,1,0,1,0,1,0,2,,,,,,1,0,1,1,0,2,1,,,,,,0,1,1,0,1,1,0,,,,,,6189,368,10313,196,195,200,199,,,,,
0:03:36,25.1,6604,6024,4839,3497,2095,406,298,,,,,,6603,5796,5421,4123,2983,448,333,,,,,,1,0,1,1,0,0,1,,,,,,0,0,1,0,2,0,1,,,,,,1,0,0,0,0,2,0,,,,,,1,2,0,1,1,1,0,,,,,,0,0,0,1,1,2,2,,,,,,6760,376,11156,198,198,198,203,,,,,
0:04:06,25.1,7107,6529,5294,3867,2326,426,303,,,,,,7118,6332,5929,4545,3327,474,342,,,,,,0,0,1,0,2,1,0,,,,,,0,2,1,2,1,3,0,,,,,,0,0,0,0,0,1,0,,,,,,0,1,1,0,1,0,1,,,,,,0,2,0,1,1,1,1,,,,,,7221,380,11975,198,197,197,203,,,,,
0:04:36,25.1,7563,7001,5713,4221,2535,448,308,,,,,,7576,6788,6371,4921,3639,491,345,,,,,,0,2,0,1,0,0,0,,,,,,1,0,1,1,1,0,0,,,,,,0,1,1,0,2,1,0,,,,,,0,2,1,0,2,1,0,,,,,,0,0,0,0,0,1,0,,,,,,7586,383,12688,197,196,198,204,,,,,
0:05:06,25.1,7950,7336,6160,4551,2753,459,314,,,,,,7969,7190,6753,5295,3939,516,353,,,,,,0,0,1,0,0,1,0,,,,,,1,1,0,2,0,1,0,,,,,,1,0,1,0,1,2,0,,,,,,1,0,0,0,0,0,0,,,,,,0,0,0,2,1,1,0,,,,,,7973,391,13308,196,198,199,203,,,,,
0:05:36,25.1,8320,7723,6523,4834,2984,479,319,,,,,,8355,7555,7181,5691,4221,537,359,,,,,,0,0,0,0,1,0,1,,,,,,1,0,1,0,0,0,1,,,,,,0,0,1,1,1,1,3,,,,,,0,2,0,0,0,0,0,,,,,,0,0,1,0,1,0,1,,,,,,8316,396,13588,198,198,200,201,,,,,
0:06:06,25.1,8637,8023,6817,5149,3195,498,323,,,,,,8668,7882,7486,5991,4494,563,363,,,,,,0,1,0,0,0,0,0,,,,,,1,1,0,0,1,2,1,,,,,,0,0,0,1,0,1,0,,,,,,1,1,1,1,0,2,0,,,,,,0,0,2,0,2,0,1,,,,,,8612,401,13582,197,195,196,204,,,,,
0:06:36,25.1,8772,8252,7095,5430,3369,514,327,,,,,,8874,8206,7811,6326,4760,587,369,,,,,,3,0,0,0,0,2,0,,,,,,1,1,0,0,1,0,0,,,,,,2,0,0,1,0,0,0,,,,,,0,0,0,0,1,1,1,,,,,,0,0,0,0,1,1,0,,,,,,8876,404,13312,197,198,196,204,,,,,
0:07:06,25.1,8980,8446,7433,5669,3560,535,333,,,,,,9076,8419,8071,6574,5010,613,375,,,,,,0,0,0,2,0,2,1,,,,,,1,0,0,0,1,0,0,,,,,,0,1,1,2,1,0,0,,,,,,0,1,0,0,1,0,0,,,,,,0,1,1,1,0,0,0,,,,,,9111,410,13006,196,196,197,204,,,,,
0:07:36,25.1,8961,8663,7643,5942,3755,555,336,,,,,,9161,8610,8271,6852,5219,635,380,,,,,,0,1,1,0,0,0,0,,,,,,0,0,1,1,1,1,1,,,,,,0,0,0,1,2,1,0,,,,,,0,1,1,1,0,1,0,,,,,,1,1,0,0,0,1,0,,,,,,9316,417,12723,198,198,200,204,,,,,
0:08:06,25.1,8946,8675,7887,6202,3955,569,340,,,,,,9145,8747,8474,7128,5437,661,384,,,,,,0,0,1,1,0,0,0,,,,,,0,2,0,0,0,1,0,,,,,,1,0,0,0,0,1,1,,,,,,2,1,0,0,0,0,0,,,,,,0,0,0,1,1,0,0,,,,,,9496,419,12408,199,198,199,203,,,,,
0:08:36,25.1,8849,8581,8079,6414,4139,593,347,,,,,,9118,8920,8678,7367,5691,681,391,,,,,,0,1,0,1,0,1,1,,,,,,1,1,1,2,1,1,1,,,,,,0,1,0,1,3,1,0,,,,,,1,0,0,2,1,1,0,,,,,,2,0,1,1,1,0,1,,,,,,9543,425,12135,199,198,199,204,,,,,
0:09:06,25.1,8713,8516,8187,6625,4343,611,353,,,,,,9084,8922,8872,7553,5869,706,395,,,,,,1,0,0,0,0,0,0,,,,,,0,0,2,2,1,2,0,,,,,,0,0,2,0,2,0,1,,,,,,1,0,1,0,0,1,0,,,,,,1,0,0,0,2,0,1,,,,,,9499,428,11793,197,195,200,203,,,,,
0:09:36,25.1,8627,8448,8357,6871,4527,629,360,,,,,,8939,8887,8962,7768,6064,726,402,,,,,,1,0,1,0,1,0,1,,,,,,1,0,0,0,1,0,0,,,,,,0,0,0,1,2,0,0,,,,,,1,0,0,1,0,0,0,,,,,,1,0,1,2,1,0,1,,,,,,9492,434,11491,199,199,197,204,,,,,
0:10:06,25.1,8521,8361,8474,7049,4672,650,363,,,,,,8868,8883,8962,7954,6269,753,409,,,,,,0,0,1,0,1,1,1,,,,,,0,0,1,1,0,0,0,,,,,,0,1,1,1,1,0,0,,,,,,1,0,0,0,0,0,0,,,,,,0,2,0,0,2,1,1,,,,,,9398,446,11214,198,198,199,203,,,,,

Results
,1,2,3,4,5,6,7,8,9,10,11,12
A,1874800.000,1715400.000,1327000.000,904200.000,505800.000,50800.000,23800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.999,0.999,1.000,1.000,1.000,0.969,0.861,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,0:00:06,?????,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,good,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
B,1937400.000,1655000.000,1543000.000,1121200.000,790800.000,68200.000,38000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.999,0.999,0.999,1.000,1.000,0.954,0.806,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,?????,0:00:06,?????,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,best,best,best,good,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
C,1200.000,600.000,-600.000,800.000,-600.000,800.000,-1000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.500,0.321,0.450,0.500,0.750,0.400,0.893,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:05:36,0:02:06,0:01:36,0:06:06,0:02:36,0:06:06,0:03:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:05:56,0:00:46,0:03:16,0:05:36,0:01:56,0:04:51,0:03:24,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:04:36,0:01:06,0:00:36,0:05:06,0:01:36,0:05:06,0:02:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:06:36,0:03:06,0:02:36,0:07:06,0:03:36,0:07:06,0:04:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,OUT-,,OUT-,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
D,-800.000,-1000.000,800.000,-1000.000,1000.000,800.000,-1000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.500,0.781,0.571,0.625,0.893,0.500,0.781,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:02:36,0:09:06,0:08:06,0:05:06,0:02:36,0:01:36,0:04:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:03:06,0:09:42,0:08:21,0:06:06,0:02:48,0:02:21,0:04:42,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:01:36,0:08:06,0:07:06,0:04:06,0:01:36,0:00:36,0:03:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:03:36,0:10:06,0:09:06,0:06:06,0:03:36,0:02:36,0:05:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,OUT-,,OUT-,,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
E,600.000,400.000,600.000,800.000,-1000.000,-1000.000,1200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.750,0.500,0.750,0.800,0.893,0.893,0.500,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:02:36,0:03:36,0:04:36,0:06:06,0:05:36,0:06:06,0:04:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:03:36,0:03:06,0:03:36,0:06:06,0:04:24,0:05:54,0:04:06,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:01:36,0:02:36,0:03:36,0:05:06,0:04:36,0:05:06,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:03:36,0:04:36,0:05:36,0:07:06,0:06:36,0:07:06,0:05:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,OUT-,OUT-,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
F,800.000,1000.000,-600.000,800.000,1000.000,1000.000,-1000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.500,0.625,0.321,0.500,0.893,0.893,0.368,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:07:36,0:03:36,0:02:36,0:07:36,0:03:36,0:02:06,0:02:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:06:51,0:03:36,0:03:56,0:09:21,0:02:48,0:02:18,0:03:24,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:06:36,0:02:36,0:01:36,0:06:36,0:02:36,0:01:06,0:01:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:08:36,0:04:36,0:03:36,0:08:36,0:04:36,0:03:06,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,OUT-,,,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
G,800.000,-800.000,1000.000,600.000,1000.000,800.000,-800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.500,0.500,0.781,0.321,0.893,0.571,0.571,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:07:36,0:05:06,0:05:06,0:04:06,0:08:06,0:02:36,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:06:51,0:03:06,0:06:30,0:02:46,0:07:18,0:02:51,?????,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:06:36,0:04:06,0:04:06,0:03:06,0:07:06,0:01:36,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:08:36,0:06:06,0:06:06,0:05:06,0:09:06,0:03:36,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,OUT-,,,,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
H,1656800.000,20200.000,2721400.000,1400.000,-1200.000,2000.000,2000.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.997,0.953,0.996,0.721,0.692,0.758,0.481,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:06,0:01:06,0:01:06,0:07:36,0:02:06,0:07:06,0:01:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,?????,0:07:45,0:00:06,0:08:18,0:00:42,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:06,0:00:06,0:00:06,0:06:36,0:01:06,0:06:06,0:00:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:06,0:02:06,0:02:06,0:08:36,0:03:06,0:08:06,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,good,best,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,,,,,OUT-,,,?????,?????,?????,?????,?????,Symbols (Max V [540,590])

Cutoffs (R-Squared [540,590])

Formula,Value
0.95,0.950
0.98,0.980
1.00,1.000

Cutoffs (Max V [540,590])

Formula,Value
0,0.000

