

Software Version,3.17.17



Experiment File Path:,C:\Users\Public\Documents\Experiments\Sudo-260129_gain=50-Resolufin_260130_011559.xpt
Protocol File Path:,C:\Users\Public\Documents\Protocols\Sudo-260129_gain=50-Resolufin.prt



Plate Number,Plate 1
Date,1/30/2026
Time,1:15:58 AM
Reader Type:,Synergy H1
Reader Serial Number:,25082104
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE
Eject plate on completion,
Set Temperature,Setpoint 25°C
,Preheat before moving to next step
Shake,Orbital: 0:05 (MM:SS)
,Frequency: 282 cpm (3 mm)
Start Kinetic,Runtime 0:10:00 (HH:MM:SS), Interval 0:00:30, 21 Reads
    Read,Fluorescence Endpoint
,A1..H7
,Filter Set 1
,    Excitation: 540,  Emission: 590
,    Optics: Top,  Gain: 50
,Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
,Read Height: 6.25 mm
End Kinetic,

540,590

Time,T° 540,590,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:06,25.0,813,814,823,795,796,534,431,,,,,,549,544,559,573,537,455,437,,,,,,471,451,470,474,325,563,976,,,,,,530,574,643,862,487,2868,7852,,,,,,2883,2006,0,0,1,0,1,,,,,,2490,1760,0,1,0,1,0,,,,,,2685,1408,1,0,0,0,0,,,,,,3258,1330,0,2,0,0,1,,,,,
0:00:36,25.0,814,814,832,793,799,531,433,,,,,,556,544,563,572,533,451,436,,,,,,465,443,467,476,325,560,962,,,,,,529,572,637,860,487,2830,7896,,,,,,2868,3192,0,0,1,1,1,,,,,,2474,2449,2,1,1,0,0,,,,,,2649,1758,0,0,0,1,0,,,,,,3243,1496,1,1,0,1,0,,,,,
0:01:06,25.0,819,811,829,793,800,531,430,,,,,,552,545,560,569,536,450,435,,,,,,465,444,464,469,323,556,943,,,,,,527,563,634,847,479,2754,7808,,,,,,2853,4277,0,1,0,1,0,,,,,,2457,3140,1,0,0,1,1,,,,,,2606,2083,1,1,0,0,0,,,,,,3184,1669,1,0,0,0,1,,,,,
0:01:36,25.0,818,812,832,792,798,531,427,,,,,,549,543,557,570,533,445,432,,,,,,462,438,458,471,324,548,945,,,,,,523,559,628,835,474,2721,7769,,,,,,2828,5237,0,0,0,1,0,,,,,,2426,3755,0,0,0,0,1,,,,,,2583,2408,1,0,1,0,0,,,,,,3124,1846,1,0,1,0,1,,,,,
0:02:06,25.0,816,816,832,792,795,530,425,,,,,,547,537,556,568,531,442,427,,,,,,458,439,455,464,326,543,930,,,,,,519,552,619,833,474,2664,7786,,,,,,2815,6067,1,1,1,0,1,,,,,,2410,4313,0,0,1,0,1,,,,,,2541,2704,0,0,0,0,0,,,,,,3106,2017,0,0,0,0,0,,,,,
0:02:36,25.0,818,813,829,793,796,525,419,,,,,,543,536,554,564,528,444,423,,,,,,459,434,453,459,327,538,908,,,,,,511,551,611,823,466,2603,7713,,,,,,2805,6759,0,0,0,0,1,,,,,,2380,4846,0,1,0,1,0,,,,,,2504,3017,1,0,1,0,0,,,,,,3055,2167,0,0,0,1,1,,,,,
0:03:06,25.1,813,813,820,786,799,519,421,,,,,,539,535,544,564,523,438,419,,,,,,455,429,454,459,327,533,899,,,,,,512,543,605,808,463,2573,7627,,,,,,2784,7402,0,0,0,0,0,,,,,,2363,5317,0,0,1,0,1,,,,,,2485,3287,1,1,1,1,0,,,,,,3000,2318,0,0,1,0,1,,,,,
0:03:36,25.0,812,807,826,788,787,520,419,,,,,,536,531,543,556,521,438,417,,,,,,450,430,449,455,325,528,887,,,,,,502,535,601,796,460,2512,7623,,,,,,2765,7830,0,0,1,1,1,,,,,,2326,5747,0,1,0,0,1,,,,,,2441,3580,1,1,0,0,0,,,,,,2966,2499,0,1,0,1,1,,,,,
0:04:06,25.0,814,812,822,787,789,521,415,,,,,,534,529,546,555,517,437,413,,,,,,446,428,443,451,326,526,874,,,,,,497,534,596,784,458,2489,7600,,,,,,2764,8183,0,1,1,1,3,,,,,,2318,6155,0,2,1,0,0,,,,,,2411,3843,0,0,0,0,1,,,,,,2945,2645,1,0,0,0,1,,,,,
0:04:36,25.0,810,812,813,783,783,513,415,,,,,,536,524,542,554,516,435,410,,,,,,449,426,442,449,324,520,864,,,,,,494,530,591,776,456,2435,7589,,,,,,2734,8634,1,1,1,1,0,,,,,,2295,6523,1,1,1,0,1,,,,,,2379,4139,0,0,2,0,1,,,,,,2871,2783,0,0,0,1,0,,,,,
0:05:06,25.0,811,804,814,781,785,512,414,,,,,,534,525,537,550,519,429,409,,,,,,439,420,439,443,329,517,851,,,,,,488,520,582,775,455,2389,7535,,,,,,2718,8898,0,0,0,1,1,,,,,,2286,6855,0,1,1,1,0,,,,,,2357,4360,2,0,0,0,0,,,,,,2835,2917,0,0,1,0,2,,,,,
0:05:36,25.0,808,805,814,787,789,514,412,,,,,,537,523,537,549,516,428,402,,,,,,439,419,437,441,325,510,843,,,,,,486,516,580,761,450,2351,7522,,,,,,2706,9121,0,1,0,0,0,,,,,,2272,7187,0,0,0,1,0,,,,,,2331,4597,0,2,0,2,1,,,,,,2801,3086,0,3,2,1,0,,,,,
0:06:06,25.0,807,804,815,781,782,514,409,,,,,,528,518,535,548,514,429,400,,,,,,438,417,436,438,324,504,829,,,,,,483,513,572,754,447,2313,7482,,,,,,2665,9305,2,0,0,1,0,,,,,,2233,7505,2,0,1,1,1,,,,,,2302,4856,0,1,0,0,2,,,,,,2778,3237,2,1,0,0,0,,,,,
0:06:36,25.0,806,808,812,776,783,509,408,,,,,,532,515,532,546,511,422,396,,,,,,434,415,430,434,329,502,824,,,,,,478,511,571,744,448,2273,7462,,,,,,2658,9377,0,2,0,0,0,,,,,,2231,7808,1,1,0,0,0,,,,,,2279,5094,0,0,2,1,1,,,,,,2722,3410,1,1,1,0,0,,,,,
0:07:06,25.0,805,800,812,778,786,508,405,,,,,,528,518,535,544,508,420,396,,,,,,432,411,428,436,326,497,809,,,,,,476,506,560,737,442,2248,7419,,,,,,2633,9161,0,0,0,1,0,,,,,,2210,8129,0,1,0,1,1,,,,,,2249,5333,0,1,0,1,0,,,,,,2693,3564,0,0,1,0,0,,,,,
0:07:36,25.0,808,798,815,781,782,506,403,,,,,,525,516,531,541,508,423,392,,,,,,430,410,429,433,327,493,801,,,,,,470,502,556,727,442,2204,7394,,,,,,2628,9134,0,1,1,0,0,,,,,,2188,8331,1,1,1,0,0,,,,,,2238,5523,0,1,1,0,1,,,,,,2653,3679,2,0,0,0,0,,,,,
0:08:06,25.0,808,801,808,777,777,504,400,,,,,,522,510,521,541,507,413,389,,,,,,428,408,424,432,327,486,793,,,,,,468,496,548,721,440,2152,7312,,,,,,2605,9039,1,0,0,1,0,,,,,,2179,8491,1,1,1,2,2,,,,,,2198,5738,0,1,0,0,0,,,,,,2641,3812,0,0,2,0,0,,,,,
0:08:36,25.0,803,800,811,774,774,503,401,,,,,,520,512,523,543,500,415,384,,,,,,423,403,420,426,332,480,782,,,,,,460,491,543,708,436,2129,7302,,,,,,2585,9147,1,1,1,1,0,,,,,,2157,8695,0,0,1,0,0,,,,,,2186,5951,0,0,0,2,0,,,,,,2597,3965,0,0,2,1,1,,,,,
0:09:06,25.0,802,794,807,773,778,503,397,,,,,,518,506,521,537,499,412,384,,,,,,426,401,418,418,325,481,770,,,,,,459,491,541,705,433,2083,7279,,,,,,2575,8900,0,1,1,1,0,,,,,,2150,8883,1,0,2,1,1,,,,,,2160,6123,1,1,0,0,1,,,,,,2557,4079,0,1,0,0,0,,,,,
0:09:36,25.1,799,793,804,770,780,506,396,,,,,,516,508,523,536,500,412,378,,,,,,420,400,413,423,329,474,769,,,,,,459,485,533,693,429,2073,7279,,,,,,2553,8777,1,0,0,0,1,,,,,,2126,8996,1,0,1,0,0,,,,,,2135,6344,0,1,0,0,1,,,,,,2520,4221,0,1,0,1,2,,,,,
0:10:06,25.0,797,793,803,776,769,500,396,,,,,,517,507,515,534,500,406,379,,,,,,419,400,414,418,331,471,756,,,,,,449,481,532,686,425,2032,7258,,,,,,2541,8721,0,0,0,0,0,,,,,,2105,9205,0,0,0,0,0,,,,,,2115,6512,0,0,1,0,0,,,,,,2503,4369,0,0,1,0,1,,,,,

Results
,1,2,3,4,5,6,7,8,9,10,11,12
A,-5200.000,-4600.000,-6400.000,-5200.000,-7200.000,-6600.000,-6600.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.955,0.743,0.749,0.966,0.750,0.893,0.965,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:09:06,0:05:06,0:04:36,0:08:36,0:03:36,0:02:36,0:01:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:06:57,0:03:40,0:03:47,0:04:45,0:02:53,0:01:14,0:00:58,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:08:06,0:04:06,0:03:36,0:07:36,0:02:36,0:01:36,0:00:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:10:06,0:06:06,0:05:36,0:09:36,0:04:36,0:03:36,0:02:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,good,OUT-,OUT-,good,OUT-,OUT-,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
B,-6800.000,-6000.000,-8000.000,-6800.000,-7000.000,-6400.000,-8200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.990,0.957,0.875,0.909,0.988,0.973,0.996,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:02:36,0:03:36,0:02:36,0:03:06,0:03:06,0:01:06,0:02:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:01:41,0:01:26,0:01:35,0:01:24,0:01:15,0:00:06,0:00:54,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:01:36,0:02:36,0:01:36,0:02:06,0:02:06,0:00:06,0:01:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:03:36,0:04:36,0:03:36,0:04:06,0:04:06,0:02:06,0:03:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,good,OUT-,OUT-,best,good,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
C,-6600.000,-6800.000,-7800.000,-8600.000,2200.000,-11400.000,-29400.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.899,0.912,0.983,0.906,0.917,0.991,0.979,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:03:06,0:02:06,0:01:06,0:08:06,0:02:06,0:01:36,0:02:36,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:00:28,?????,0:00:11,0:02:52,0:01:55,0:00:22,0:00:29,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:02:06,0:01:06,0:00:06,0:07:06,0:01:06,0:00:36,0:01:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:04:06,0:03:06,0:02:06,0:09:06,0:03:06,0:02:36,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,OUT-,OUT-,best,OUT-,OUT-,best,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,OUT-,OUT-,OUT-,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
D,-11200.000,-11400.000,-15000.000,-25000.000,-9400.000,-108800.000,-92400.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.958,0.973,0.995,0.997,0.928,0.989,0.880,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:04:06,0:01:06,0:02:06,0:03:06,0:01:36,0:01:36,0:03:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:01:18,0:00:13,0:00:32,0:00:58,0:00:26,0:00:11,0:01:08,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:03:06,0:00:06,0:01:06,0:02:06,0:00:36,0:00:36,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:05:06,0:02:06,0:03:06,0:04:06,0:02:36,0:02:36,0:04:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,good,good,best,best,OUT-,best,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
E,-45200.000,2033400.000,600.000,600.000,600.000,-600.000,-1200.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.959,0.995,0.281,0.750,0.750,0.750,0.529,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:05:06,0:01:06,0:05:06,0:03:36,0:03:36,0:01:36,0:05:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:01:26,?????,0:04:06,0:02:56,0:04:16,0:02:36,0:04:56,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:04:06,0:00:06,0:04:06,0:02:36,0:02:36,0:00:36,0:04:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:06:06,0:02:06,0:06:06,0:04:36,0:04:36,0:02:36,0:06:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,good,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,,,,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
F,-49400.000,1282400.000,-1000.000,-1000.000,800.000,-800.000,-800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.981,0.998,0.781,0.893,0.800,0.500,0.500,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:02:36,0:01:06,0:01:36,0:05:06,0:08:06,0:09:06,0:09:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:00:24,?????,0:02:12,0:04:54,0:06:51,0:08:36,0:09:51,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:01:36,0:00:06,0:00:36,0:04:06,0:07:06,0:08:06,0:08:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:03:36,0:02:06,0:02:36,0:06:06,0:09:06,0:10:06,0:10:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,,OUT-,OUT-,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
G,-71000.000,648400.000,-800.000,800.000,-800.000,800.000,-800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.993,0.999,0.500,0.500,0.500,0.500,0.571,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:36,0:01:06,0:06:06,0:05:06,0:07:36,0:04:36,0:07:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,?????,?????,0:05:21,0:04:21,0:08:21,0:04:06,0:08:06,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:36,0:00:06,0:05:06,0:04:06,0:06:36,0:03:36,0:06:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:36,0:02:06,0:07:06,0:06:06,0:08:36,0:05:36,0:08:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,best,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,,OUT-,,OUT-,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])
H,-90800.000,344800.000,800.000,-1400.000,1000.000,400.000,-800.000,?????,?????,?????,?????,?????,Max V [540,590]
,0.974,1.000,0.500,0.817,0.781,0.333,0.500,?????,?????,?????,?????,?????,R-Squared [540,590]
,0:01:36,0:01:06,0:05:36,0:06:36,0:04:36,0:02:36,0:06:06,?????,?????,?????,?????,?????,t at Max V [540,590]
,0:00:20,0:00:07,0:04:51,0:05:53,0:04:00,0:01:36,0:05:21,?????,?????,?????,?????,?????,Lagtime [540,590]
,0:00:36,0:00:06,0:04:36,0:05:36,0:03:36,0:01:36,0:05:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590]
,0:02:36,0:02:06,0:06:36,0:07:36,0:05:36,0:03:36,0:07:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590]
,good,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590])
,OUT-,,,OUT-,,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590])

Cutoffs (R-Squared [540,590])

Formula,Value
0.95,0.950
0.98,0.980
1.00,1.000

Cutoffs (Max V [540,590])

Formula,Value
0,0.000

