run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,abs_activity_at_20,gox_abs_activity_at_20_ref,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260211-group_mean,GOx,GOX,,,,,,,,True,
260211-group_mean,GOx with DMSO,GOX,,,,,,,,True,
260211-group_mean,GOx with EtOH,GOX,,,,,,,,True,
260211-group_mean,PMBTA-1,GOX,,,,,,,,True,
260211-group_mean,PMBTA-10,GOX,,,,,,,,True,
260211-group_mean,PMBTA-11,GOX,,,,,,,,True,
260211-group_mean,PMBTA-2,GOX,,,,,,,,True,
260211-group_mean,PMBTA-3,GOX,,,,,,,,True,
260211-group_mean,PMBTA-4,GOX,,,,,,,,True,
260211-group_mean,PMBTA-5,GOX,,,,,,,,True,
260211-group_mean,PMBTA-6,GOX,,,,,,,,True,
260211-group_mean,PMBTA-7,GOX,,,,,,,,True,
260211-group_mean,PMBTA-8,GOX,,,,,,,,True,
260211-group_mean,PMBTA-9,GOX,,,,,,,,True,
260211-group_mean,PMPC,GOX,,,,,,,,True,
260211-group_mean,PMTAC,GOX,,,,,,,,True,
