run_id,polymer_id,t50_min,t50_censored,fog,log_fog,t50_definition,source_run_ids,n_source_runs,n_t50,n_fog,t50_target_rea_percent,rea_at_20_percent,use_for_bo,fog_missing_reason
all_rounds-group_mean,GOx,13.954725321561801,0,1.0,0.0,rea50,260209-1|260209-2|260209-3|260211-1|260211-2,5,5,5,50.0,35.07552078906812,True,
all_rounds-group_mean,GOx with DMSO,11.41290793194022,0,0.9608999840489019,-0.039884950299079604,rea50,260209-1|260209-3|260211-2,3,3,3,50.0,24.68916873131646,True,
all_rounds-group_mean,GOx with EtOH,11.669799761096783,0,0.9218495737066162,-0.08137322089832645,rea50,260211-1|260211-2,2,2,2,50.0,17.014538701811595,True,
all_rounds-group_mean,PMBTA-1,9.49607041098812,0,0.8099491199545574,-0.210783848159506,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,50.0,19.27343929835887,True,
all_rounds-group_mean,PMBTA-10,14.621392376141031,0,1.0860068676706909,0.08250754531374739,rea50,260209-1|260209-2|260209-3|260211-1|260211-2|260211-3,6,6,5,50.0,38.24079708195538,True,
all_rounds-group_mean,PMBTA-11,13.98816172418652,0,1.072025377810505,0.06954973569909643,rea50,260209-1|260209-2|260209-3|260211-1|260211-2|260211-3|260211-plate7,7,7,5,50.0,31.280732824660653,True,
all_rounds-group_mean,PMBTA-2,10.48780748446373,0,0.8897237070578392,-0.11684430596093746,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,50.0,17.862725303540202,True,
all_rounds-group_mean,PMBTA-3,12.525521951419739,0,1.0607387273967204,0.05896557803154668,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,50.0,24.119020546271283,True,
all_rounds-group_mean,PMBTA-4,12.001155240395821,0,1.0376722961737221,0.0369800279360306,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,50.0,26.171845681483102,True,
all_rounds-group_mean,PMBTA-5,11.88824020471834,0,0.9988308846184205,-0.0011697993300956665,rea50,260209-3|260211-1|260211-2|260211-plate7,4,4,3,50.0,22.568574308640432,True,
all_rounds-group_mean,PMBTA-6,10.564918547500152,0,0.8581262381148271,-0.15300405964686856,rea50,260209-1|260209-3|260211-1|260211-2|260211-3,5,5,4,50.0,19.284251174194303,True,
all_rounds-group_mean,PMBTA-7,10.817038940330772,0,0.9052171410239954,-0.09958042922882548,rea50,260209-1|260209-3|260211-1|260211-2|260211-3,5,5,4,50.0,21.88381146763078,True,
all_rounds-group_mean,PMBTA-8,11.121117334648911,0,0.8755728337784852,-0.13287693965018446,rea50,260209-1|260209-3|260211-1|260211-2|260211-3,5,5,4,50.0,19.601897179891395,True,
all_rounds-group_mean,PMBTA-9,12.060523802557187,0,0.9588918013594008,-0.0419770349066071,rea50,260209-1|260209-3|260211-1|260211-2|260211-3,5,5,4,50.0,24.96558877243175,True,
all_rounds-group_mean,PMPC,13.50299239051545,0,1.0526036766848372,0.05126678688682521,rea50,260209-1|260209-2|260209-3|260211-1|260211-2|260211-3,6,6,5,50.0,26.728818645975547,True,
all_rounds-group_mean,PMTAC,9.493232395227187,0,0.8212685293053898,-0.1969051471177327,rea50,260209-1|260209-2|260209-3|260211-1|260211-2|260211-3,6,6,5,50.0,26.12440288258959,True,
all_rounds-group_mean,background,3.0221754518070276,0,0.23847893491893316,-1.4334742957455198,rea50,260209-1|260209-2|260209-3,3,3,3,50.0,0.1718409898041001,True,
