run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,abs_activity_at_20,gox_abs_activity_at_20_ref,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
all_rounds-group_mean,GOx,GOX,,,,,,,,True,
all_rounds-group_mean,GOx with DMSO,GOX,,,,,,,,True,
all_rounds-group_mean,GOx with EtOH,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-1,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-10,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-11,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-2,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-3,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-4,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-5,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-6,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-7,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-8,GOX,,,,,,,,True,
all_rounds-group_mean,PMBTA-9,GOX,,,,,,,,True,
all_rounds-group_mean,PMPC,GOX,,,,,,,,True,
all_rounds-group_mean,PMTAC,GOX,,,,,,,,True,
all_rounds-group_mean,background,GOX,,,,,,,,True,
