SEC Spectra Spectrum 2.7.0.29685
--------- Device Information -----------
Spectrum Name : ,Absorbance_0
Saving Time : ,2026/02/13 20:18:50
Spectro-Module Model Name :,SEC2021-DUVN
Spectro-Module Serial Number :,OS361AC55026616
Wavelength Start :,200
Wavelength End :,1025
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Absorbance(OD)
-----------Spectrum Setting ------------
Integration Time :,3ms
Average :,10
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,      Absorbance(OD)
200.03,      0.4491862
200.49,      0.4377845
200.95,      0.3718557
201.40,      0.2596687
201.86,      0.1502407
202.32,     0.09238657
202.78,     0.08965605
203.24,      0.1179536
203.69,      0.1338234
204.15,      0.1325009
204.61,      0.1320744
205.07,      0.1405489
205.53,      0.1653458
205.98,       0.205746
206.44,       0.254633
206.90,      0.3097462
207.36,      0.3678659
207.82,      0.4259277
208.27,      0.4848757
208.73,      0.5362146
209.19,      0.5655487
209.65,      0.5707349
210.11,      0.5568032
210.56,      0.5398583
211.02,      0.5379666
211.48,       0.552197
211.94,      0.5779317
212.40,      0.6031913
212.85,      0.6088258
213.31,      0.5941846
213.77,      0.5693083
214.23,      0.5482927
214.68,      0.5473785
215.14,      0.5672631
215.60,      0.6009599
216.06,      0.6381142
216.52,      0.6615609
216.97,       0.666525
217.43,      0.6593956
217.89,      0.6475502
218.35,      0.6406662
218.80,      0.6409329
219.26,      0.6447157
219.72,      0.6498296
220.18,      0.6536217
220.64,      0.6552767
221.09,       0.656243
221.55,      0.6569025
222.01,      0.6572469
222.47,      0.6576099
222.92,      0.6581172
223.38,      0.6587965
223.84,      0.6599322
224.30,       0.661539
224.75,      0.6631819
225.21,      0.6657119
225.67,      0.6703379
226.13,      0.6768183
226.58,       0.684725
227.04,      0.6915761
227.50,      0.6937152
227.96,      0.6912083
228.41,      0.6858615
228.87,      0.6811351
229.33,      0.6821612
229.79,      0.6895103
230.24,      0.7006459
230.70,      0.7129683
231.16,       0.722876
231.62,      0.7291169
232.07,      0.7327927
232.53,      0.7335613
232.99,      0.7308666
233.45,      0.7253933
233.90,      0.7178025
234.36,      0.7101881
234.82,      0.7056327
235.28,      0.7046004
235.73,       0.705969
236.19,      0.7082834
236.65,      0.7092044
237.10,      0.7076392
237.56,      0.7037889
238.02,      0.6972342
238.48,      0.6876084
238.93,      0.6750456
239.39,      0.6596722
239.85,       0.642302
240.30,      0.6241353
240.76,      0.6055186
241.22,      0.5864435
241.68,      0.5667902
242.13,      0.5461778
242.59,      0.5248736
243.05,      0.5035952
243.50,      0.4829175
243.96,      0.4635731
244.42,      0.4460833
244.87,      0.4305945
245.33,      0.4173538
245.79,       0.406491
246.25,       0.397915
246.70,      0.3915502
247.16,      0.3871695
247.62,       0.384465
248.07,      0.3832565
248.53,      0.3833574
248.99,      0.3847122
249.44,      0.3873681
249.90,       0.391144
250.36,      0.3957788
250.81,      0.4007939
251.27,      0.4054889
251.73,      0.4096951
252.18,      0.4136499
252.64,      0.4176927
253.10,      0.4223895
253.55,      0.4279503
254.01,      0.4341851
254.47,      0.4412208
254.92,      0.4493481
255.38,      0.4586155
255.84,      0.4690276
256.29,      0.4800295
256.75,      0.4903675
257.21,      0.4995349
257.66,      0.5077401
258.12,      0.5154917
258.58,      0.5238791
259.03,      0.5333315
259.49,      0.5434928
259.95,      0.5543016
260.40,      0.5655848
260.86,      0.5770131
261.31,      0.5885621
261.77,      0.5996112
262.23,      0.6090709
262.68,      0.6167846
263.14,      0.6231355
263.60,      0.6288803
264.05,      0.6354068
264.51,      0.6432568
264.96,      0.6521232
265.42,      0.6620073
265.88,      0.6725966
266.33,      0.6834177
266.79,       0.694412
267.25,      0.7046023
267.70,      0.7126703
268.16,      0.7184225
268.61,       0.721998
269.07,      0.7247636
269.53,       0.729038
269.98,      0.7353902
270.44,       0.743421
270.89,      0.7513387
271.35,      0.7562195
271.81,      0.7575583
272.26,      0.7562528
272.72,      0.7548804
273.17,      0.7575023
273.63,      0.7649551
274.08,      0.7760245
274.54,      0.7875679
275.00,      0.7944267
275.45,      0.7953126
275.91,      0.7917044
276.36,      0.7868239
276.82,      0.7858408
277.27,      0.7899005
277.73,      0.7972099
278.19,      0.8048284
278.64,      0.8080354
279.10,      0.8056961
279.55,      0.7996888
280.01,      0.7922462
280.46,      0.7866382
280.92,      0.7838605
281.38,       0.782764
281.83,      0.7825766
282.29,      0.7822019
282.74,      0.7810089
283.20,      0.7791787
283.65,       0.776312
284.11,      0.7717624
284.56,      0.7652767
285.02,      0.7567519
285.47,      0.7464887
285.93,      0.7351649
286.38,      0.7233208
286.84,      0.7113529
287.29,      0.6991416
287.75,      0.6862429
288.20,      0.6725616
288.66,      0.6580229
289.12,      0.6433508
289.57,      0.6297254
290.03,      0.6167909
290.48,      0.6034615
290.94,      0.5880349
291.39,      0.5683386
291.85,      0.5443827
292.30,      0.5176297
292.76,      0.4893939
293.21,      0.4609846
293.67,      0.4329706
294.12,      0.4053567
294.58,      0.3786812
295.03,       0.353791
295.48,      0.3309551
295.94,      0.3100407
296.39,      0.2906923
296.85,      0.2722319
297.30,      0.2543949
297.76,      0.2373626
298.21,      0.2209705
298.67,      0.2049633
299.12,       0.189363
299.58,      0.1741825
300.03,      0.1599859
300.49,      0.1477881
300.94,      0.1377453
301.40,      0.1294617
301.85,      0.1221752
302.30,      0.1146625
302.76,      0.1065428
303.21,     0.09812064
303.67,     0.08969713
304.12,     0.08184554
304.58,      0.0748197
305.03,     0.06844004
305.49,       0.062758
305.94,     0.05784396
306.39,     0.05365482
306.85,     0.05021292
307.30,      0.0473135
307.76,     0.04461022
308.21,     0.04199854
308.66,     0.03947315
309.12,     0.03721184
309.57,      0.0355205
310.03,     0.03441679
310.48,     0.03379594
310.94,     0.03329926
311.39,     0.03236427
311.84,     0.03093202
312.30,        0.02922
312.75,     0.02772684
313.21,      0.0272468
313.66,     0.02786954
314.11,     0.02917939
314.57,      0.0306843
315.02,     0.03163404
315.47,     0.03172383
315.93,     0.03115162
316.38,     0.02988925
316.84,     0.02789477
317.29,      0.0253762
317.74,     0.02254909
318.20,     0.01991481
318.65,     0.01826165
319.10,     0.01783051
319.56,     0.01839888
320.01,     0.01986203
320.46,     0.02197893
320.92,     0.02443927
321.37,     0.02712576
321.82,     0.02941073
322.28,      0.0303671
322.73,     0.02986542
323.19,     0.02820132
323.64,     0.02604198
324.09,     0.02455792
324.55,     0.02414548
325.00,     0.02451722
325.45,     0.02549288
325.90,     0.02671413
326.36,      0.0279777
326.81,     0.02940847
327.26,     0.03073366
327.72,     0.03146934
328.17,     0.03155942
328.62,     0.03112222
329.08,     0.03055644
329.53,     0.03056571
329.98,     0.03132369
330.44,     0.03259823
330.89,     0.03416186
331.34,     0.03562385
331.79,     0.03679882
332.25,     0.03778537
332.70,     0.03848906
333.15,     0.03874853
333.61,     0.03859834
334.06,      0.0381152
334.51,     0.03753101
334.96,     0.03727478
335.42,     0.03746657
335.87,     0.03795552
336.32,     0.03871214
336.77,     0.03964823
337.23,     0.04065966
337.68,     0.04179921
338.13,     0.04269138
338.59,     0.04270651
339.04,      0.0417929
339.49,     0.04016719
339.94,     0.03857186
340.40,     0.03827611
340.85,     0.03962444
341.30,     0.04226426
341.75,     0.04551131
342.20,     0.04823474
342.66,     0.05004735
343.11,     0.05119962
343.56,     0.05200119
344.01,     0.05296595
344.47,     0.05426399
344.92,     0.05573156
345.37,     0.05711574
345.82,     0.05808827
346.27,     0.05858699
346.73,     0.05869522
347.18,     0.05885588
347.63,     0.05973386
348.08,     0.06139905
348.53,     0.06364249
348.99,      0.0657004
349.44,     0.06636641
349.89,     0.06548155
350.34,     0.06352374
350.79,     0.06147829
351.25,     0.06090262
351.70,      0.0622092
352.15,     0.06492646
352.60,     0.06831204
353.05,     0.07116499
353.50,     0.07303926
353.96,     0.07417121
354.41,     0.07488777
354.86,     0.07572593
355.31,     0.07681631
355.76,     0.07796462
356.21,     0.07880776
356.66,     0.07882101
357.12,     0.07800884
357.57,     0.07670573
358.02,     0.07557275
358.47,     0.07561678
358.92,     0.07706711
359.37,      0.0795633
359.82,     0.08256622
360.28,     0.08524141
360.73,     0.08733079
361.18,     0.08907627
361.63,     0.09053203
362.08,     0.09181062
362.53,     0.09296005
362.98,     0.09380787
363.43,     0.09458712
363.88,      0.0957363
364.34,     0.09728272
364.79,     0.09912422
365.24,      0.1006947
365.69,      0.1010694
366.14,      0.1000852
366.59,     0.09804363
367.04,      0.0957276
367.49,     0.09436768
367.94,     0.09436069
368.39,     0.09553147
368.84,     0.09716225
369.29,     0.09805986
369.74,       0.097908
370.20,     0.09691609
370.65,     0.09610663
371.10,     0.09716196
371.55,      0.1003294
372.00,      0.1050098
372.45,       0.109404
372.90,      0.1108317
373.35,      0.1088035
