SEC Spectra Spectrum 2.7.0.29685
--------- Device Information -----------
Spectrum Name : ,Absorbance_0
Saving Time : ,2026/02/13 20:26:33
Spectro-Module Model Name :,SEC2021-DUVN
Spectro-Module Serial Number :,OS361AC55026616
Wavelength Start :,200
Wavelength End :,1025
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Absorbance(OD)
-----------Spectrum Setting ------------
Integration Time :,3ms
Average :,10
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,      Absorbance(OD)
200.03,       0.657602
200.49,      0.6169878
200.95,      0.4960733
201.40,      0.3261117
201.86,      0.1793686
202.32,      0.1075253
202.78,      0.1053602
203.24,      0.1475079
203.69,      0.1871843
204.15,      0.2127436
204.61,      0.2406362
205.07,      0.2691627
205.53,       0.294467
205.98,      0.3171365
206.44,      0.3340356
206.90,      0.3543765
207.36,      0.3928011
207.82,      0.4511956
208.27,      0.5284489
208.73,      0.6070377
209.19,      0.6460521
209.65,      0.6357663
210.11,      0.5960726
210.56,      0.5583393
211.02,      0.5512192
211.48,      0.5746751
211.94,      0.6192017
212.40,       0.667803
212.85,      0.6891733
213.31,      0.6771576
213.77,      0.6468055
214.23,      0.6173581
214.68,       0.609396
215.14,      0.6238953
215.60,       0.652114
216.06,      0.6828794
216.52,      0.6985967
216.97,      0.6958895
217.43,      0.6832268
217.89,      0.6685659
218.35,      0.6617378
218.80,      0.6644191
219.26,      0.6716487
219.72,       0.682074
220.18,      0.6942959
220.64,       0.706855
221.09,      0.7208449
221.55,      0.7315952
222.01,      0.7314734
222.47,      0.7209548
222.92,      0.7038128
223.38,      0.6883814
223.84,      0.6853837
224.30,      0.6958005
224.75,      0.7158789
225.21,       0.739229
225.67,      0.7542588
226.13,      0.7574494
226.58,      0.7529538
227.04,      0.7454816
227.50,      0.7411131
227.96,       0.741557
228.41,      0.7449397
228.87,      0.7501407
229.33,      0.7556617
229.79,      0.7605758
230.24,      0.7650145
230.70,      0.7696725
231.16,      0.7753437
231.62,      0.7820138
232.07,      0.7895671
232.53,      0.7954722
232.99,      0.7959363
233.45,      0.7908823
233.90,      0.7818571
234.36,      0.7737364
234.82,      0.7734035
235.28,      0.7818076
235.73,      0.7968864
236.19,      0.8130733
236.65,      0.8208457
237.10,      0.8178523
237.56,      0.8071224
238.02,      0.7943517
238.48,      0.7874965
238.93,       0.787616
239.39,      0.7914231
239.85,      0.7943096
240.30,      0.7895936
240.76,       0.776118
241.22,      0.7569489
241.68,      0.7355682
242.13,      0.7160681
242.59,      0.6992136
243.05,      0.6836736
243.50,      0.6684026
243.96,      0.6520691
244.42,      0.6350305
244.87,      0.6188444
245.33,      0.6042824
245.79,      0.5919704
246.25,      0.5821449
246.70,      0.5744162
247.16,      0.5694858
247.62,      0.5684929
248.07,      0.5712324
248.53,      0.5770556
248.99,       0.583938
249.44,      0.5888079
249.90,      0.5909426
250.36,      0.5910111
250.81,      0.5908425
251.27,       0.593464
251.73,      0.5995636
252.18,      0.6082379
252.64,      0.6177939
253.10,      0.6253513
253.55,      0.6301936
254.01,      0.6333662
254.47,      0.6365748
254.92,      0.6424631
255.38,      0.6518257
255.84,      0.6639475
256.29,      0.6776077
256.75,      0.6903805
257.21,       0.701114
257.66,      0.7102122
258.12,      0.7184392
258.58,      0.7272536
259.03,      0.7371853
259.49,      0.7478047
259.95,      0.7583861
260.40,      0.7677136
260.86,      0.7754769
261.31,      0.7821481
261.77,      0.7887042
262.23,      0.7966987
262.68,      0.8063698
263.14,      0.8169165
263.60,      0.8272619
264.05,       0.835713
264.51,      0.8416454
264.96,      0.8456271
265.42,      0.8476868
265.88,      0.8478786
266.33,      0.8467808
266.79,      0.8448334
267.25,      0.8434123
267.70,      0.8445311
268.16,      0.8486215
268.61,      0.8551735
269.07,       0.863385
269.53,      0.8714749
269.98,      0.8785162
270.44,      0.8848202
270.89,      0.8898837
271.35,      0.8931748
271.81,      0.8948315
272.26,      0.8948408
272.72,      0.8946329
273.17,      0.8966416
273.63,      0.9013606
274.08,      0.9082434
274.54,      0.9154784
275.00,      0.9200371
275.45,      0.9212193
275.91,      0.9198602
276.36,      0.9177475
276.82,      0.9178308
277.27,      0.9207214
277.73,       0.925298
278.19,      0.9298317
278.64,      0.9316292
279.10,      0.9301147
279.55,      0.9264761
280.01,      0.9219305
280.46,      0.9182861
280.92,      0.9162245
281.38,      0.9151549
281.83,      0.9150832
282.29,      0.9160451
282.74,      0.9177444
283.20,      0.9200752
283.65,      0.9220675
284.11,      0.9221172
284.56,      0.9197587
285.02,      0.9152089
285.47,      0.9092675
285.93,        0.90341
286.38,      0.8980582
286.84,      0.8928309
287.29,      0.8870726
287.75,      0.8796882
288.20,      0.8703785
288.66,      0.8594182
289.12,      0.8471071
289.57,      0.8340183
290.03,      0.8199324
290.48,      0.8039334
290.94,      0.7856098
291.39,      0.7646962
291.85,      0.7410604
292.30,      0.7150704
292.76,      0.6863353
293.21,      0.6540905
293.67,      0.6189626
294.12,      0.5821728
294.58,      0.5454585
295.03,      0.5110375
295.48,      0.4795272
295.94,      0.4504347
296.39,      0.4232191
296.85,      0.3969834
297.30,      0.3714564
297.76,      0.3470134
298.21,      0.3235671
298.67,      0.3008991
299.12,      0.2790127
299.58,      0.2578394
300.03,      0.2379294
300.49,      0.2203148
300.94,      0.2051502
301.40,      0.1920579
301.85,      0.1801929
302.30,      0.1681849
302.76,      0.1556637
303.21,       0.143016
303.67,      0.1306991
304.12,      0.1195347
304.58,      0.1098055
305.03,      0.1011967
305.49,     0.09363788
305.94,     0.08701666
306.39,     0.08118801
306.85,     0.07619217
307.30,     0.07173359
307.76,     0.06734945
308.21,     0.06294841
